Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1236.0,1038.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1035.0,1041.0,1043.0,1051.0,1051.0,1056.0,1063.0,1060.0,1071.0,1074.0,1091.0,1086.0,1098.0,1097.0,1111.0,1114.0,1116.0,1125.0,1131.0,1135.0,1151.0,1158.0
unmatched_applicants,1230.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1039.0,1041.0,1044.0,1045.0,1056.0,1061.0,1057.0,1075.0,1064.0,1070.0,1079.0,1091.0,1092.0,1102.0,1097.0,1106.0,1118.0,1128.0,1131.0,1139.0,1140.0,1148.0
unmatched_applicants,1231.0,1040.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1035.0,1037.0,1035.0,1035.0,1039.0,1042.0,1043.0,1045.0,1054.0,1059.0,1061.0,1061.0,1074.0,1078.0,1088.0,1086.0,1097.0,1103.0,1118.0,1105.0,1116.0,1128.0,1137.0,1136.0,1147.0,1159.0
unmatched_applicants,1217.0,1039.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1044.0,1040.0,1043.0,1063.0,1056.0,1050.0,1058.0,1072.0,1069.0,1080.0,1086.0,1085.0,1095.0,1116.0,1117.0,1117.0,1127.0,1131.0,1134.0,1127.0,1139.0,1154.0
unmatched_applicants,1234.0,1036.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1035.0,1035.0,1035.0,1035.0,1038.0,1035.0,1039.0,1039.0,1044.0,1053.0,1057.0,1064.0,1069.0,1069.0,1078.0,1083.0,1094.0,1096.0,1102.0,1115.0,1117.0,1118.0,1125.0,1129.0,1142.0,1153.0,1169.0
unmatched_applicants,1231.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1041.0,1037.0,1036.0,1038.0,1041.0,1055.0,1050.0,1060.0,1070.0,1071.0,1077.0,1084.0,1087.0,1108.0,1099.0,1107.0,1113.0,1124.0,1137.0,1134.0,1137.0,1132.0,1164.0
unmatched_applicants,1232.0,1037.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1037.0,1038.0,1038.0,1041.0,1063.0,1056.0,1063.0,1071.0,1072.0,1071.0,1076.0,1095.0,1084.0,1101.0,1096.0,1122.0,1124.0,1128.0,1131.0,1129.0,1145.0,1153.0
unmatched_applicants,1227.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1035.0,1040.0,1039.0,1049.0,1049.0,1050.0,1060.0,1063.0,1072.0,1088.0,1087.0,1090.0,1095.0,1101.0,1110.0,1114.0,1116.0,1132.0,1138.0,1139.0,1150.0,1148.0
unmatched_applicants,1229.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1039.0,1043.0,1035.0,1035.0,1046.0,1060.0,1059.0,1055.0,1065.0,1062.0,1080.0,1090.0,1087.0,1107.0,1106.0,1106.0,1119.0,1112.0,1132.0,1139.0,1144.0,1147.0,1150.0
unmatched_applicants,1220.0,1037.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1039.0,1037.0,1041.0,1045.0,1043.0,1049.0,1054.0,1058.0,1066.0,1085.0,1076.0,1092.0,1086.0,1107.0,1096.0,1105.0,1112.0,1117.0,1132.0,1135.0,1135.0,1151.0,1165.0
unfilled_spots,201.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0,16.0,16.0,21.0,28.0,25.0,36.0,39.0,56.0,51.0,63.0,62.0,76.0,79.0,81.0,90.0,96.0,100.0,116.0,123.0
unfilled_spots,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,9.0,10.0,21.0,26.0,22.0,40.0,29.0,35.0,44.0,56.0,57.0,67.0,62.0,71.0,83.0,93.0,96.0,104.0,105.0,113.0
unfilled_spots,196.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,7.0,8.0,10.0,19.0,24.0,26.0,26.0,39.0,43.0,53.0,51.0,62.0,68.0,83.0,70.0,81.0,93.0,102.0,101.0,112.0,124.0
unfilled_spots,182.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,8.0,28.0,21.0,15.0,23.0,37.0,34.0,45.0,51.0,50.0,60.0,81.0,82.0,82.0,92.0,96.0,99.0,92.0,104.0,119.0
