Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unmatched_applicants,81.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,78.0,77.0,78.0,78.0,82.0,82.0,83.0,84.0,85.0
unmatched_applicants,82.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,79.0,81.0,80.0,82.0,82.0,84.0,79.0
unmatched_applicants,84.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,77.0,76.0,77.0,77.0,79.0,80.0,82.0,83.0,83.0,83.0
unmatched_applicants,83.0,76.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,78.0,83.0,78.0,83.0,84.0,83.0
unmatched_applicants,84.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,76.0,76.0,76.0,76.0,78.0,79.0,81.0,79.0,81.0,81.0,84.0
unmatched_applicants,83.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,79.0,80.0,80.0,79.0,83.0,81.0,84.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,76.0,81.0,80.0,83.0,84.0,83.0,86.0
unmatched_applicants,83.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,80.0,79.0,83.0,84.0,84.0,83.0
unmatched_applicants,85.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,76.0,78.0,81.0,79.0,80.0,81.0,83.0,82.0
unmatched_applicants,83.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,76.0,77.0,78.0,79.0,83.0,81.0,85.0,83.0,85.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,7.0,8.0,9.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,6.0,8.0,3.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,6.0,7.0,7.0,7.0
unfilled_spots,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,2.0,7.0,8.0,7.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,5.0,5.0,8.0
unfilled_spots,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,7.0,5.0,8.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,7.0,8.0,7.0,10.0
unfilled_spots,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,7.0,8.0,8.0,7.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,3.0,4.0,5.0,7.0,6.0
unfilled_spots,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,7.0,5.0,9.0,7.0,9.0
reviews_per_program,71.5,71.5,70.575,61.075,50.95,40.525,36.0,33.875,31.0,30.975,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,70.7,62.8,42.6,36.775,34.675,29.575,31.2,30.975,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,69.525,61.95,46.575,37.975,38.625,36.575,35.4,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,71.5,62.4,48.675,38.125,33.95,30.275,29.475,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,71.5,57.975,48.9,40.65,37.1,28.025,27.625,30.0,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,71.5,60.3,44.075,36.65,32.25,33.375,28.45,32.175,33.925,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,71.5,61.775,42.225,39.525,37.6,30.725,30.75,33.4,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,71.5,66.825,44.6,34.55,34.725,33.5,30.075,29.25,34.175,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,71.5,65.4,46.7,35.05,36.85,33.4,31.75,30.775,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
reviews_per_program,71.5,71.5,68.65,57.1,41.85,32.2,34.775,34.675,32.775,31.1,34.25,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25
pct_interview_given_signal,0.0,1.0,1.0,0.9769230769230769,0.9038461538461539,0.8430769230769231,0.7435897435897436,0.6758241758241759,0.6096153846153847,0.5487179487179488,0.49846153846153846,0.45314685314685316,0.4153846153846154,0.3834319526627219,0.35604395604395606,0.3323076923076923,0.31153846153846154,0.29321266968325793,0.27692307692307694,0.2623481781376518,0.24923076923076923,0.23736263736263735
pct_interview_given_signal,0.0,1.0,1.0,0.9769230769230769,0.9096153846153846,0.8369230769230769,0.7512820512820513,0.689010989010989,0.6067307692307692,0.552991452991453,0.49846153846153846,0.45314685314685316,0.4153846153846154,0.3834319526627219,0.35604395604395606,0.3323076923076923,0.31153846153846154,0.29321266968325793,0.27692307692307694,0.2623481781376518,0.24923076923076923,0.23736263736263735
pct_interview_given_signal,0.0,1.0,1.0,0.9641025641025641,0.8826923076923077,0.8384615384615385,0.735897435897436,0.6725274725274726,0.6019230769230769,0.5538461538461539,0.49846153846153846,0.45314685314685316,0.4153846153846154,0.3834319526627219,0.35604395604395606,0.3323076923076923,0.31153846153846154,0.29321266968325793,0.27692307692307694,0.2623481781376518,0.24923076923076923,0.23736263736263735
pct_interview_given_signal,0.0,1.0,1.0,0.9846153846153847,0.9076923076923077,0.8461538461538461,0.7692307692307693,0.6846153846153846,0.6192307692307693,0.5538461538461539,0.49846153846153846,0.45314685314685316,0.4153846153846154,0.3834319526627219,0.35604395604395606,0.3323076923076923,0.31153846153846154,0.29321266968325793,0.27692307692307694,0.2623481781376518,0.24923076923076923,0.23736263736263735
pct_interview_given_signal,0.0,1.0,1.0,0.9846153846153847,0.9096153846153846,0.8338461538461538,0.7205128205128205,0.6956043956043956,0.614423076923077,0.552991452991453,0.49846153846153846,0.45314685314685316,0.4153846153846154,0.3834319526627219,0.35604395604395606,0.3323076923076923,0.31153846153846154,0.29321266968325793,0.27692307692307694,0.2623481781376518,0.24923076923076923,0.23736263736263735
