Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
unmatched_applicants,82.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,80.0,78.0,78.0,80.0,80.0,83.0,79.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,79.0,78.0,82.0,79.0,80.0,82.0,82.0
unmatched_applicants,81.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,80.0,80.0,80.0,81.0,82.0,81.0
unmatched_applicants,81.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,77.0,80.0,80.0,82.0,81.0,82.0,81.0
unmatched_applicants,81.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,79.0,80.0,80.0,81.0,81.0,81.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,81.0
unmatched_applicants,81.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,78.0,80.0,81.0,78.0,79.0,81.0,80.0
unmatched_applicants,82.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,80.0,79.0,80.0,80.0,83.0,80.0
unmatched_applicants,82.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,79.0,82.0,81.0,79.0,78.0,81.0
unmatched_applicants,82.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,79.0,81.0,79.0,79.0,82.0,82.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,7.0,3.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,3.0,4.0,6.0,6.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,6.0,5.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,6.0,5.0,6.0,5.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,2.0,3.0,5.0,4.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,4.0,7.0,4.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,5.0,3.0,2.0,5.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,3.0,6.0,6.0
reviews_per_program,81.25,81.25,81.25,81.25,77.275,67.275,47.2,45.25,39.925,48.65,41.95,43.875,40.4,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,81.25,68.375,56.8,46.375,47.625,45.225,45.35,44.875,39.825,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,74.775,69.875,54.5,44.5,49.9,41.65,45.525,44.625,42.575,44.275,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,81.25,62.475,55.5,46.775,49.075,45.475,42.35,44.125,43.45,44.6,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,76.775,72.65,54.775,45.95,45.425,48.425,45.2,48.675,44.25,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,79.65,63.65,57.025,46.9,48.725,45.525,48.575,41.525,39.625,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,80.1,80.2,67.1,53.7,44.2,42.95,45.125,47.9,46.475,43.65,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,73.825,69.275,52.7,44.225,44.375,44.175,43.875,45.1,44.9,44.275,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,75.925,65.775,54.025,40.525,50.45,46.05,44.525,45.3,41.375,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
reviews_per_program,81.25,81.25,81.25,81.25,77.925,67.025,55.875,50.35,46.475,48.325,45.875,48.35,43.825,43.875,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9815384615384616,0.9166666666666666,0.8461538461538461,0.7942307692307692,0.7521367521367521,0.7038461538461539,0.6657342657342658,0.6211538461538462,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9753846153846154,0.9243589743589744,0.8527472527472527,0.8134615384615385,0.7581196581196581,0.7015384615384616,0.6643356643356644,0.6211538461538462,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9769230769230769,0.9294871794871795,0.8791208791208791,0.8067307692307693,0.747008547008547,0.7007692307692308,0.6608391608391608,0.617948717948718,0.5715976331360947,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9661538461538461,0.9179487179487179,0.8549450549450549,0.7971153846153847,0.7299145299145299,0.7107692307692308,0.6615384615384615,0.617948717948718,0.572189349112426,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9846153846153847,0.9294871794871795,0.8758241758241758,0.7903846153846154,0.747008547008547,0.7038461538461539,0.6580419580419581,0.6173076923076923,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
