Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,93.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,101.0,105.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,94.0,95.0,98.0,98.0,98.0,98.0,98.0,99.0,100.0,102.0,103.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,93.0,94.0,96.0,98.0,98.0,98.0,98.0,99.0,98.0,100.0,102.0,103.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,90.0,92.0,93.0,94.0,96.0,98.0,98.0,98.0,99.0,98.0,99.0,100.0,101.0,103.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,92.0,94.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,101.0,103.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,93.0,95.0,96.0,98.0,98.0,98.0,98.0,99.0,99.0,100.0,100.0,102.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,94.0,96.0,98.0,98.0,98.0,98.0,98.0,99.0,100.0,102.0,103.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.0,93.0,95.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,104.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,94.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,102.0,104.0,105.0,108.0
unmatched_applicants,108.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,92.0,95.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,103.0,103.0,105.0,108.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,15.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,13.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,12.0,13.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,6.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,11.0,13.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,13.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,12.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,13.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,14.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,12.0,14.0,15.0,18.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,13.0,13.0,15.0,18.0
reviews_per_program,107.25,107.25,105.35,90.1,51.325,22.225,21.225,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,99.45,87.15,46.05,27.15,19.5,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,107.25,83.325,45.45,22.25,22.475,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,107.25,73.0,42.225,23.275,23.15,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,104.325,75.7,54.225,21.175,19.5,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,107.25,88.6,45.7,27.05,19.5,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,107.25,84.675,46.975,19.225,24.225,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,103.625,81.475,42.325,18.1,22.475,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,107.25,86.4,42.525,24.25,19.5,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
reviews_per_program,107.25,107.25,107.25,83.625,43.25,33.75,19.5,22.75,26.0,29.25,32.5,35.75,39.0,42.25,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0,81.25,84.5,87.75,91.0,94.25,97.5
pct_interview_given_signal,0.0,1.0,1.0,0.9769230769230769,0.8634615384615385,0.7338461538461538,0.6141025641025641,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,0.9923076923076923,0.9794871794871794,0.8615384615384616,0.7276923076923076,0.6153846153846154,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,1.0,0.9794871794871794,0.8480769230769231,0.7323076923076923,0.6141025641025641,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,1.0,0.9641025641025641,0.825,0.72,0.6128205128205129,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,0.9961538461538462,0.9641025641025641,0.8211538461538461,0.7261538461538461,0.6153846153846154,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,1.0,0.982051282051282,0.8615384615384616,0.7261538461538461,0.6153846153846154,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,1.0,0.9769230769230769,0.8615384615384616,0.7369230769230769,0.6128205128205129,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,0.9923076923076923,0.9794871794871794,0.8596153846153847,0.7369230769230769,0.6141025641025641,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,1.0,0.9717948717948718,0.8711538461538462,0.7276923076923076,0.6153846153846154,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_signal,0.0,1.0,1.0,0.9666666666666667,0.8673076923076923,0.7123076923076923,0.6153846153846154,0.5274725274725275,0.46153846153846156,0.41025641025641024,0.36923076923076925,0.3356643356643357,0.3076923076923077,0.28402366863905326,0.26373626373626374,0.24615384615384617,0.23076923076923078,0.2171945701357466,0.20512820512820512,0.19433198380566802,0.18461538461538463,0.17582417582417584,0.16783216783216784,0.1605351170568562,0.15384615384615385,0.1476923076923077,0.14201183431952663,0.13675213675213677,0.13186813186813187,0.1273209549071618,0.12307692307692308
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.025384615384615384,0.008222811671087533,0.0008241758241758242,0.0002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05508684863523573,0.025128205128205128,0.008488063660477453,0.0019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.025128205128205128,0.010344827586206896,0.001098901098901099,0.0002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.02666666666666667,0.013527851458885942,0.0032967032967032967,0.0005698005698005698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.054838709677419356,0.02666666666666667,0.014058355437665782,0.002197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.02487179487179487,0.008488063660477453,0.002197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.025384615384615384,0.008488063660477453,0.0002747252747252747,0.0005698005698005698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05508684863523573,0.025128205128205128,0.008753315649867375,0.0002747252747252747,0.0002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.025897435897435896,0.007161803713527852,0.0019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11188811188811189,0.08413461538461539,0.05459057071960298,0.02641025641025641,0.007692307692307693,0.00467032967032967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
pct_interview_given_application,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189,0.11188811188811189
