Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,3941.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3526.0,3535.0,3531.0,3547.0,3558.0,3584.0,3588.0,3595.0,3620.0,3632.0,3633.0,3654.0,3655.0,3677.0,3689.0,3697.0,3694.0,3709.0,3750.0,3741.0,3730.0,3746.0,3781.0,3775.0,3793.0,3801.0,3833.0
unmatched_applicants,3947.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3521.0,3526.0,3536.0,3526.0,3543.0,3568.0,3584.0,3583.0,3592.0,3615.0,3630.0,3640.0,3658.0,3660.0,3670.0,3687.0,3688.0,3688.0,3715.0,3726.0,3727.0,3727.0,3748.0,3785.0,3784.0,3783.0,3789.0,3815.0
unmatched_applicants,3929.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3521.0,3521.0,3520.0,3525.0,3528.0,3534.0,3547.0,3555.0,3576.0,3588.0,3602.0,3614.0,3626.0,3641.0,3647.0,3658.0,3668.0,3680.0,3693.0,3704.0,3704.0,3742.0,3755.0,3746.0,3742.0,3784.0,3789.0,3778.0,3797.0,3842.0
unmatched_applicants,3924.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3521.0,3547.0,3533.0,3539.0,3584.0,3598.0,3583.0,3599.0,3621.0,3624.0,3635.0,3639.0,3668.0,3667.0,3681.0,3695.0,3695.0,3704.0,3732.0,3742.0,3731.0,3747.0,3774.0,3788.0,3777.0,3792.0,3837.0
unmatched_applicants,3922.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3527.0,3525.0,3545.0,3551.0,3573.0,3587.0,3586.0,3597.0,3623.0,3636.0,3638.0,3657.0,3653.0,3671.0,3695.0,3696.0,3689.0,3702.0,3742.0,3726.0,3752.0,3755.0,3777.0,3785.0,3792.0,3801.0,3821.0
unmatched_applicants,3925.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3535.0,3532.0,3544.0,3560.0,3588.0,3583.0,3603.0,3617.0,3633.0,3636.0,3641.0,3660.0,3674.0,3679.0,3674.0,3698.0,3713.0,3732.0,3729.0,3735.0,3757.0,3780.0,3774.0,3781.0,3790.0,3825.0
unmatched_applicants,3919.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3530.0,3527.0,3548.0,3550.0,3583.0,3590.0,3593.0,3595.0,3621.0,3634.0,3632.0,3645.0,3661.0,3673.0,3695.0,3696.0,3705.0,3713.0,3730.0,3740.0,3731.0,3749.0,3786.0,3777.0,3798.0,3778.0,3818.0
unmatched_applicants,3941.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3521.0,3522.0,3539.0,3532.0,3543.0,3574.0,3580.0,3581.0,3605.0,3621.0,3627.0,3627.0,3656.0,3662.0,3667.0,3686.0,3693.0,3699.0,3698.0,3740.0,3728.0,3734.0,3741.0,3788.0,3781.0,3788.0,3788.0,3819.0
unmatched_applicants,3924.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3520.0,3521.0,3535.0,3538.0,3546.0,3561.0,3585.0,3586.0,3604.0,3626.0,3629.0,3632.0,3654.0,3652.0,3673.0,3677.0,3684.0,3705.0,3696.0,3731.0,3754.0,3746.0,3751.0,3783.0,3784.0,3778.0,3800.0,3828.0
unmatched_applicants,3923.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3528.0,3524.0,3536.0,3558.0,3565.0,3583.0,3588.0,3585.0,3612.0,3627.0,3630.0,3639.0,3667.0,3668.0,3678.0,3687.0,3705.0,3706.0,3717.0,3741.0,3752.0,3752.0,3786.0,3797.0,3783.0,3792.0,3837.0
unfilled_spots,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,11.0,27.0,38.0,64.0,68.0,75.0,100.0,112.0,113.0,134.0,135.0,157.0,169.0,177.0,174.0,189.0,230.0,221.0,210.0,226.0,261.0,255.0,273.0,281.0,313.0
unfilled_spots,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.0,6.0,23.0,48.0,64.0,63.0,72.0,95.0,110.0,120.0,138.0,140.0,150.0,167.0,168.0,168.0,195.0,206.0,207.0,207.0,228.0,265.0,264.0,263.0,269.0,295.0
unfilled_spots,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,8.0,14.0,27.0,35.0,56.0,68.0,82.0,94.0,106.0,121.0,127.0,138.0,148.0,160.0,173.0,184.0,184.0,222.0,235.0,226.0,222.0,264.0,269.0,258.0,277.0,322.0
unfilled_spots,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,13.0,19.0,64.0,78.0,63.0,79.0,101.0,104.0,115.0,119.0,148.0,147.0,161.0,175.0,175.0,184.0,212.0,222.0,211.0,227.0,254.0,268.0,257.0,272.0,317.0
unfilled_spots,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,25.0,31.0,53.0,67.0,66.0,77.0,103.0,116.0,118.0,137.0,133.0,151.0,175.0,176.0,169.0,182.0,222.0,206.0,232.0,235.0,257.0,265.0,272.0,281.0,301.0
unfilled_spots,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,24.0,40.0,68.0,63.0,83.0,97.0,113.0,116.0,121.0,140.0,154.0,159.0,154.0,178.0,193.0,212.0,209.0,215.0,237.0,260.0,254.0,261.0,270.0,305.0
unfilled_spots,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,28.0,30.0,63.0,70.0,73.0,75.0,101.0,114.0,112.0,125.0,141.0,153.0,175.0,176.0,185.0,193.0,210.0,220.0,211.0,229.0,266.0,257.0,278.0,258.0,298.0
unfilled_spots,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0,12.0,23.0,54.0,60.0,61.0,85.0,101.0,107.0,107.0,136.0,142.0,147.0,166.0,173.0,179.0,178.0,220.0,208.0,214.0,221.0,268.0,261.0,268.0,268.0,299.0
unfilled_spots,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,15.0,18.0,26.0,41.0,65.0,66.0,84.0,106.0,109.0,112.0,134.0,132.0,153.0,157.0,164.0,185.0,176.0,211.0,234.0,226.0,231.0,263.0,264.0,258.0,280.0,308.0
unfilled_spots,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,16.0,38.0,45.0,63.0,68.0,65.0,92.0,107.0,110.0,119.0,147.0,148.0,158.0,167.0,185.0,186.0,197.0,221.0,232.0,232.0,266.0,277.0,263.0,272.0,317.0
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1069.584745762712,410.8305084745763,118.0,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1069.5254237288136,420.5720338983051,121.86016949152543,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1065.3601694915253,436.14406779661016,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1069.584745762712,375.8474576271187,113.89406779661017,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1061.5635593220338,431.93220338983053,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1061.0127118644068,460.8728813559322,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1061.5042372881355,411.1525423728813,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1052.8516949152543,403.5169491525424,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1060.864406779661,400.58898305084745,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
reviews_per_program,1073.8474576271187,1073.8474576271187,1073.8474576271187,1056.6949152542372,410.29237288135596,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915,591.7118644067797,613.6271186440678,635.542372881356,657.457627118644,679.3728813559322,701.2881355932203,723.2033898305085,745.1186440677966,767.0338983050848,788.9491525423729,810.8644067796611,832.7796610169491,854.6949152542373,876.6101694915254
pct_interview_given_signal,0.0,1.0,1.0,0.9998711007991751,0.9345030935808198,0.7663959783449342,0.6388244392884764,0.5475638051044084,0.4791183294663573,0.4258829595256509,0.38329466357308584,0.3484496941573508,0.3194122196442382,0.29484204890237375,0.2737819025522042,0.25552977571539054,0.23955916473317865,0.22546744916063874,0.21294147976282546,0.20173403345951887,0.19164733178654292,0.18252126836813612,0.1742248470786754,0.16664985372742863,0.1597061098221191,0.15331786542923434,0.14742102445118688,0.14196098650855032,0.1368909512761021,0.13217057364589166,0.12776488785769527,0.12364343986228575,0.11977958236658932,0.11614989805245025,0.11273372458031937,0.10951276102088167,0.10647073988141273,0.10359315231705023,0.10086701672975944,0.09828068296745791,0.09582366589327146
pct_interview_given_signal,0.0,1.0,1.0,0.9998066511987626,0.9302494199535963,0.7663186388244393,0.6388244392884764,0.5475638051044084,0.4791183294663573,0.4258829595256509,0.38329466357308584,0.3484496941573508,0.3194122196442382,0.29484204890237375,0.2737819025522042,0.25552977571539054,0.23955916473317865,0.22546744916063874,0.21294147976282546,0.20173403345951887,0.19164733178654292,0.18252126836813612,0.1742248470786754,0.16664985372742863,0.1597061098221191,0.15331786542923434,0.14742102445118688,0.14196098650855032,0.1368909512761021,0.13217057364589166,0.12776488785769527,0.12364343986228575,0.11977958236658932,0.11614989805245025,0.11273372458031937,0.10951276102088167,0.10647073988141273,0.10359315231705023,0.10086701672975944,0.09828068296745791,0.09582366589327146
pct_interview_given_signal,0.0,1.0,1.0,0.9998711007991751,0.9333430007733952,0.7665893271461717,0.6388244392884764,0.5475638051044084,0.4791183294663573,0.4258829595256509,0.38329466357308584,0.3484496941573508,0.3194122196442382,0.29484204890237375,0.2737819025522042,0.25552977571539054,0.23955916473317865,0.22546744916063874,0.21294147976282546,0.20173403345951887,0.19164733178654292,0.18252126836813612,0.1742248470786754,0.16664985372742863,0.1597061098221191,0.15331786542923434,0.14742102445118688,0.14196098650855032,0.1368909512761021,0.13217057364589166,0.12776488785769527,0.12364343986228575,0.11977958236658932,0.11614989805245025,0.11273372458031937,0.10951276102088167,0.10647073988141273,0.10359315231705023,0.10086701672975944,0.09828068296745791,0.09582366589327146
pct_interview_given_signal,0.0,1.0,1.0,0.9996777519979376,0.9348897911832946,0.7665119876256767,0.6388244392884764,0.5475638051044084,0.4791183294663573,0.4258829595256509,0.38329466357308584,0.3484496941573508,0.3194122196442382,0.29484204890237375,0.2737819025522042,0.25552977571539054,0.23955916473317865,0.22546744916063874,0.21294147976282546,0.20173403345951887,0.19164733178654292,0.18252126836813612,0.1742248470786754,0.16664985372742863,0.1597061098221191,0.15331786542923434,0.14742102445118688,0.14196098650855032,0.1368909512761021,0.13217057364589166,0.12776488785769527,0.12364343986228575,0.11977958236658932,0.11614989805245025,0.11273372458031937,0.10951276102088167,0.10647073988141273,0.10359315231705023,0.10086701672975944,0.09828068296745791,0.09582366589327146
pct_interview_given_signal,0.0,1.0,1.0,0.9983243103892756,0.9354215003866976,0.7665893271461717,0.6388244392884764,0.5475638051044084,0.4791183294663573,0.4258829595256509,0.38329466357308584,0.3484496941573508,0.3194122196442382,0.29484204890237375,0.2737819025522042,0.25552977571539054,0.23955916473317865,0.22546744916063874,0.21294147976282546,0.20173403345951887,0.19164733178654292,0.18252126836813612,0.1742248470786754,0.16664985372742863,0.1597061098221191,0.15331786542923434,0.14742102445118688,0.14196098650855032,0.1368909512761021,0.13217057364589166,0.12776488785769527,0.12364343986228575,0.11977958236658932,0.11614989805245025,0.11273372458031937,0.10951276102088167,0.10647073988141273,0.10359315231705023,0.10086701672975944,0.09828068296745791,0.09582366589327146
