Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
unmatched_applicants,77.0,70.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,71.0,75.0,73.0,75.0,73.0,77.0,75.0,77.0
unmatched_applicants,80.0,70.0,70.0,71.0,70.0,70.0,70.0,70.0,70.0,73.0,70.0,70.0,74.0,75.0,74.0,73.0,76.0,76.0,76.0,79.0,80.0
unmatched_applicants,82.0,70.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,71.0,70.0,70.0,71.0,72.0,75.0,74.0,76.0,75.0,77.0,77.0,81.0
unmatched_applicants,81.0,71.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,71.0,72.0,70.0,71.0,72.0,74.0,74.0,77.0,76.0,74.0,78.0,78.0
unmatched_applicants,76.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,71.0,72.0,74.0,74.0,74.0,73.0,75.0,76.0,73.0,76.0,77.0
unmatched_applicants,82.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,73.0,73.0,73.0,72.0,76.0,75.0,75.0,73.0,78.0
unmatched_applicants,80.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,71.0,70.0,72.0,71.0,71.0,74.0,75.0,74.0,76.0,76.0,73.0,79.0,79.0
unmatched_applicants,79.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,72.0,74.0,73.0,73.0,75.0,77.0,73.0,76.0,77.0
unmatched_applicants,79.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,70.0,72.0,70.0,70.0,71.0,72.0,71.0,74.0,77.0,76.0,78.0,77.0,75.0
unmatched_applicants,80.0,70.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,72.0,72.0,73.0,72.0,74.0,75.0,75.0,76.0,78.0,78.0
unfilled_spots,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,7.0,5.0,7.0
unfilled_spots,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,5.0,4.0,3.0,6.0,6.0,6.0,9.0,10.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,4.0,6.0,5.0,7.0,7.0,11.0
unfilled_spots,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,4.0,7.0,6.0,4.0,8.0,8.0
unfilled_spots,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,6.0,3.0,6.0,7.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,6.0,5.0,5.0,3.0,8.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,5.0,4.0,6.0,6.0,3.0,9.0,9.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,3.0,5.0,7.0,3.0,6.0,7.0
unfilled_spots,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,7.0,6.0,8.0,7.0,5.0
unfilled_spots,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0,6.0,8.0,8.0
reviews_per_program,46.90909090909091,46.90909090909091,46.90909090909091,43.1948051948052,36.57142857142857,30.16883116883117,27.142857142857142,28.68831168831169,23.98701298701299,23.142857142857142,24.714285714285715,25.77922077922078,27.454545454545453,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.41558441558441,45.064935064935064,37.103896103896105,29.948051948051948,27.116883116883116,24.883116883116884,24.16883116883117,24.558441558441558,24.07792207792208,25.532467532467532,26.805194805194805,29.363636363636363,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.36363636363637,44.62337662337662,38.61038961038961,29.90909090909091,27.883116883116884,25.2987012987013,23.454545454545453,23.038961038961038,24.649350649350648,24.883116883116884,27.428571428571427,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.324675324675326,45.05194805194805,35.09090909090909,29.896103896103895,28.025974025974026,25.467532467532468,23.83116883116883,24.77922077922078,24.74025974025974,25.25974025974026,27.22077922077922,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.467532467532465,43.5974025974026,37.701298701298704,32.1948051948052,27.636363636363637,26.142857142857142,24.350649350649352,25.428571428571427,24.25974025974026,26.415584415584416,27.68831168831169,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.90909090909091,42.44155844155844,39.857142857142854,28.48051948051948,27.415584415584416,25.09090909090909,24.51948051948052,24.246753246753247,23.766233766233768,25.207792207792206,27.103896103896105,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,45.94805194805195,42.532467532467535,35.51948051948052,28.532467532467532,29.103896103896105,24.98701298701299,23.961038961038962,23.064935064935064,24.61038961038961,25.272727272727273,26.805194805194805,29.246753246753247,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.311688311688314,43.41558441558441,38.03896103896104,30.2987012987013,26.948051948051948,25.5974025974026,26.12987012987013,25.2987012987013,24.467532467532468,25.25974025974026,27.064935064935064,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.90909090909091,43.8051948051948,36.077922077922075,29.194805194805195,24.727272727272727,25.5974025974026,25.16883116883117,24.194805194805195,24.207792207792206,25.324675324675326,26.805194805194805,29.337662337662337,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
reviews_per_program,46.90909090909091,46.90909090909091,46.90909090909091,43.12987012987013,35.84415584415584,31.623376623376622,26.441558441558442,25.974025974025974,25.48051948051948,23.87012987012987,25.0,25.454545454545453,26.805194805194805,29.766233766233768,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674
pct_interview_given_signal,0.0,1.0,1.0,0.9689922480620154,0.9433139534883721,0.913953488372093,0.812015503875969,0.729235880398671,0.6954941860465116,0.6343669250645995,0.5825581395348837,0.5343551797040169,0.49224806201550386,0.4561717352415027,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,0.997093023255814,0.9903100775193798,0.9418604651162791,0.8837209302325582,0.8187984496124031,0.7524916943521595,0.688953488372093,0.6382428940568475,0.5837209302325581,0.5348837209302325,0.4941860465116279,0.4552772808586762,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9941860465116279,0.9375,0.8558139534883721,0.8236434108527132,0.7483388704318937,0.6954941860465116,0.6434108527131783,0.5732558139534883,0.5369978858350951,0.49224806201550386,0.4561717352415027,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9941860465116279,0.9433139534883721,0.891860465116279,0.8062015503875969,0.7533222591362126,0.6831395348837209,0.6350129198966409,0.5808139534883721,0.5375264270613108,0.49079457364341084,0.4561717352415027,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9825581395348837,0.9520348837209303,0.8709302325581395,0.8013565891472868,0.7466777408637874,0.6933139534883721,0.6272609819121447,0.5854651162790697,0.5295983086680761,0.4888565891472868,0.4561717352415027,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9844961240310077,0.9665697674418605,0.8790697674418605,0.8226744186046512,0.7358803986710963,0.6947674418604651,0.6343669250645995,0.5866279069767442,0.5375264270613108,0.49224806201550386,0.4561717352415027,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9844961240310077,0.9549418604651163,0.9046511627906977,0.810077519379845,0.7566445182724253,0.6962209302325582,0.6375968992248062,0.5848837209302326,0.5375264270613108,0.4941860465116279,0.4539355992844365,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9941860465116279,0.9534883720930233,0.9069767441860465,0.8178294573643411,0.7549833887043189,0.6795058139534884,0.6285529715762274,0.5854651162790697,0.5354122621564482,0.49079457364341084,0.4561717352415027,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
pct_interview_given_signal,0.0,1.0,1.0,0.9825581395348837,0.9563953488372093,0.8895348837209303,0.8187984496124031,0.7541528239202658,0.6911337209302325,0.6324289405684754,0.5819767441860465,0.5343551797040169,0.4941860465116279,0.45572450805008946,0.42358803986710963,0.3953488372093023,0.3706395348837209,0.3488372093023256,0.32945736434108525,0.31211750305997554,0.29651162790697677
