Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unmatched_applicants,1400.0,1214.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1213.0,1221.0,1238.0,1225.0,1248.0,1255.0,1275.0,1274.0,1285.0,1295.0,1302.0,1320.0,1317.0,1320.0,1349.0,1356.0,1361.0,1359.0,1364.0,1364.0,1379.0,1382.0,1385.0,1386.0,1381.0
unmatched_applicants,1402.0,1213.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1217.0,1232.0,1239.0,1239.0,1261.0,1272.0,1276.0,1282.0,1305.0,1323.0,1318.0,1340.0,1344.0,1337.0,1356.0,1362.0,1353.0,1351.0,1377.0,1365.0,1384.0,1379.0,1378.0,1395.0
unmatched_applicants,1393.0,1214.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1227.0,1216.0,1224.0,1231.0,1258.0,1266.0,1266.0,1297.0,1299.0,1307.0,1306.0,1325.0,1329.0,1342.0,1342.0,1356.0,1352.0,1363.0,1367.0,1372.0,1387.0,1381.0,1365.0,1397.0
unmatched_applicants,1411.0,1216.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1213.0,1212.0,1217.0,1222.0,1218.0,1226.0,1233.0,1259.0,1255.0,1267.0,1288.0,1292.0,1321.0,1328.0,1324.0,1339.0,1348.0,1333.0,1346.0,1361.0,1357.0,1371.0,1369.0,1370.0,1382.0,1383.0,1385.0
unmatched_applicants,1407.0,1217.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1216.0,1239.0,1226.0,1245.0,1265.0,1272.0,1259.0,1286.0,1298.0,1315.0,1316.0,1332.0,1336.0,1353.0,1358.0,1358.0,1360.0,1367.0,1371.0,1371.0,1357.0,1383.0,1390.0,1375.0
unmatched_applicants,1402.0,1215.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1213.0,1212.0,1212.0,1236.0,1226.0,1240.0,1263.0,1269.0,1263.0,1272.0,1297.0,1314.0,1320.0,1312.0,1330.0,1346.0,1330.0,1363.0,1372.0,1371.0,1367.0,1369.0,1390.0,1373.0,1364.0,1389.0
unmatched_applicants,1408.0,1216.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1213.0,1223.0,1218.0,1226.0,1243.0,1261.0,1260.0,1277.0,1273.0,1304.0,1316.0,1312.0,1326.0,1334.0,1346.0,1357.0,1348.0,1354.0,1355.0,1359.0,1375.0,1366.0,1383.0,1378.0,1381.0
unmatched_applicants,1392.0,1213.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1217.0,1226.0,1230.0,1238.0,1261.0,1282.0,1285.0,1297.0,1296.0,1326.0,1310.0,1330.0,1348.0,1347.0,1349.0,1364.0,1356.0,1359.0,1358.0,1370.0,1384.0,1372.0,1391.0,1395.0
unmatched_applicants,1418.0,1215.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1224.0,1231.0,1246.0,1246.0,1272.0,1274.0,1289.0,1300.0,1311.0,1314.0,1326.0,1316.0,1344.0,1351.0,1350.0,1352.0,1371.0,1360.0,1375.0,1378.0,1392.0,1369.0,1393.0
unmatched_applicants,1412.0,1218.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1226.0,1230.0,1225.0,1238.0,1252.0,1261.0,1280.0,1275.0,1293.0,1318.0,1315.0,1319.0,1327.0,1345.0,1360.0,1334.0,1368.0,1370.0,1364.0,1385.0,1374.0,1372.0,1367.0,1380.0
unfilled_spots,188.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,26.0,13.0,36.0,43.0,63.0,62.0,73.0,83.0,90.0,108.0,105.0,108.0,137.0,144.0,149.0,147.0,152.0,152.0,167.0,170.0,173.0,174.0,169.0
unfilled_spots,190.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,27.0,27.0,49.0,60.0,64.0,70.0,93.0,111.0,106.0,128.0,132.0,125.0,144.0,150.0,141.0,139.0,165.0,153.0,172.0,167.0,166.0,183.0
unfilled_spots,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,12.0,19.0,46.0,54.0,54.0,85.0,87.0,95.0,94.0,113.0,117.0,130.0,130.0,144.0,140.0,151.0,155.0,160.0,175.0,169.0,153.0,185.0
unfilled_spots,199.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,6.0,14.0,21.0,47.0,43.0,55.0,76.0,80.0,109.0,116.0,112.0,127.0,136.0,121.0,134.0,149.0,145.0,159.0,157.0,158.0,170.0,171.0,173.0
unfilled_spots,195.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,14.0,33.0,53.0,60.0,47.0,74.0,86.0,103.0,104.0,120.0,124.0,141.0,146.0,146.0,148.0,155.0,159.0,159.0,145.0,171.0,178.0,163.0
unfilled_spots,190.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,14.0,28.0,51.0,57.0,51.0,60.0,85.0,102.0,108.0,100.0,118.0,134.0,118.0,151.0,160.0,159.0,155.0,157.0,178.0,161.0,152.0,177.0
unfilled_spots,196.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,6.0,14.0,31.0,49.0,48.0,65.0,61.0,92.0,104.0,100.0,114.0,122.0,134.0,145.0,136.0,142.0,143.0,147.0,163.0,154.0,171.0,166.0,169.0
unfilled_spots,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,18.0,26.0,49.0,70.0,73.0,85.0,84.0,114.0,98.0,118.0,136.0,135.0,137.0,152.0,144.0,147.0,146.0,158.0,172.0,160.0,179.0,183.0
unfilled_spots,206.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,34.0,34.0,60.0,62.0,77.0,88.0,99.0,102.0,114.0,104.0,132.0,139.0,138.0,140.0,159.0,148.0,163.0,166.0,180.0,157.0,181.0
unfilled_spots,200.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,13.0,26.0,40.0,49.0,68.0,63.0,81.0,106.0,103.0,107.0,115.0,133.0,148.0,122.0,156.0,158.0,152.0,173.0,162.0,160.0,155.0,168.0
reviews_per_program,473.0740740740741,475.1587301587302,470.26984126984127,467.1798941798942,468.005291005291,470.9470899470899,459.2645502645503,309.8783068783069,163.96296296296296,147.015873015873,159.4814814814815,175.31216931216932,190.8941798941799,206.6031746031746,222.07407407407408,237.14814814814815,251.8042328042328,266.9259259259259,280.67724867724866,294.6190476190476,307.7936507936508,320.23809523809524,331.6190476190476,344.37566137566137,356.7142857142857,365.2433862433862,375.1058201058201,385.5079365079365,395.010582010582,399.74603174603175,409.7195767195767,415.5978835978836,421.8201058201058,428.6031746031746,431.4708994708995,436.25925925925924,438.010582010582,441.1904761904762
reviews_per_program,469.7724867724868,474.76719576719574,474.29100529100526,471.1746031746032,467.2433862433862,469.63492063492066,453.13227513227514,326.1111111111111,181.62433862433863,148.82010582010582,159.43386243386243,175.14814814814815,190.9100529100529,206.54497354497354,222.08465608465607,237.32275132275132,252.06349206349208,266.36507936507934,280.0846560846561,295.15343915343914,308.1904761904762,320.97354497354496,332.94179894179894,345.55026455026456,355.76190476190476,365.02645502645504,376.16931216931215,385.77777777777777,393.6190476190476,401.0,406.6296296296296,414.4867724867725,418.64550264550263,423.8888888888889,427.46560846560845,434.44973544973544,441.4920634920635,445.29100529100526
reviews_per_program,466.05820105820106,469.978835978836,471.65608465608466,477.6825396825397,468.14285714285717,468.7566137566138,454.1164021164021,335.46031746031747,165.6031746031746,146.984126984127,159.5026455026455,175.2804232804233,191.04761904761904,206.53968253968253,221.88359788359787,237.40740740740742,252.03703703703704,266.25925925925924,279.6825396825397,293.70899470899474,307.44973544973544,320.994708994709,331.33862433862436,344.73015873015873,353.30687830687833,366.0,374.3809523809524,384.53439153439155,394.9100529100529,400.7936507936508,406.015873015873,414.5925925925926,419.8624338624339,429.6825396825397,426.65608465608466,430.83597883597884,436.18518518518516,445.37566137566137
reviews_per_program,468.5291005291005,472.77777777777777,470.0899470899471,472.2645502645503,467.2962962962963,470.2962962962963,444.9312169312169,339.9100529100529,177.6137566137566,145.25925925925927,159.48677248677248,175.34920634920636,191.03703703703704,206.48677248677248,221.8994708994709,237.31746031746033,252.2910052910053,267.037037037037,280.29100529100526,293.7195767195767,307.5978835978836,320.4867724867725,333.24867724867727,343.1216931216931,354.41269841269843,365.32804232804233,377.978835978836,384.77777777777777,391.0687830687831,400.8253968253968,408.12698412698415,411.76719576719574,420.1216931216931,426.8624338624339,431.29100529100526,435.2804232804233,441.3703703703704,442.4232804232804
