Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1339.0,744.0,728.0,715.0,685.0,685.0,685.0,685.0,685.0,685.0,715.0,765.0,788.0,870.0,879.0,946.0,968.0,988.0,1018.0,1054.0,1079.0,1085.0,1097.0,1120.0,1152.0,1170.0,1164.0,1165.0,1218.0,1208.0,1206.0,1209.0,1263.0,1249.0,1253.0,1264.0,1262.0,1290.0,1276.0,1297.0,1306.0
unmatched_applicants,1339.0,728.0,724.0,703.0,685.0,685.0,685.0,685.0,685.0,692.0,719.0,792.0,818.0,877.0,857.0,927.0,954.0,1001.0,1018.0,1040.0,1079.0,1099.0,1123.0,1120.0,1156.0,1153.0,1188.0,1185.0,1202.0,1216.0,1221.0,1222.0,1227.0,1249.0,1255.0,1267.0,1263.0,1287.0,1266.0,1293.0,1292.0
unmatched_applicants,1297.0,712.0,714.0,703.0,685.0,685.0,685.0,686.0,685.0,689.0,710.0,770.0,794.0,840.0,880.0,922.0,963.0,1003.0,1020.0,1032.0,1066.0,1096.0,1103.0,1130.0,1172.0,1163.0,1167.0,1172.0,1184.0,1211.0,1225.0,1229.0,1227.0,1270.0,1256.0,1242.0,1273.0,1279.0,1269.0,1265.0,1295.0
unmatched_applicants,1333.0,712.0,715.0,707.0,685.0,685.0,685.0,685.0,685.0,692.0,724.0,765.0,805.0,856.0,903.0,896.0,963.0,1010.0,1013.0,1055.0,1091.0,1093.0,1104.0,1098.0,1144.0,1167.0,1181.0,1183.0,1224.0,1212.0,1229.0,1233.0,1253.0,1256.0,1258.0,1260.0,1296.0,1278.0,1287.0,1307.0,1288.0
unmatched_applicants,1320.0,727.0,718.0,712.0,685.0,685.0,685.0,685.0,685.0,687.0,725.0,780.0,793.0,844.0,883.0,920.0,957.0,989.0,1020.0,1051.0,1086.0,1130.0,1107.0,1122.0,1156.0,1165.0,1174.0,1182.0,1225.0,1219.0,1204.0,1228.0,1237.0,1234.0,1260.0,1223.0,1260.0,1276.0,1263.0,1268.0,1293.0
unmatched_applicants,1347.0,718.0,718.0,696.0,685.0,685.0,685.0,685.0,685.0,692.0,720.0,781.0,775.0,848.0,901.0,917.0,963.0,1009.0,1015.0,1042.0,1100.0,1106.0,1121.0,1117.0,1158.0,1195.0,1177.0,1169.0,1215.0,1237.0,1216.0,1212.0,1246.0,1262.0,1268.0,1269.0,1293.0,1289.0,1261.0,1289.0,1283.0
unmatched_applicants,1326.0,721.0,729.0,706.0,685.0,685.0,685.0,689.0,685.0,697.0,717.0,762.0,770.0,837.0,880.0,943.0,948.0,1012.0,1019.0,1028.0,1083.0,1082.0,1105.0,1111.0,1157.0,1167.0,1155.0,1167.0,1200.0,1204.0,1220.0,1212.0,1264.0,1255.0,1252.0,1280.0,1287.0,1262.0,1274.0,1259.0,1304.0
unmatched_applicants,1329.0,708.0,722.0,728.0,685.0,685.0,685.0,685.0,685.0,694.0,742.0,781.0,783.0,864.0,884.0,929.0,973.0,994.0,1009.0,1016.0,1087.0,1087.0,1097.0,1130.0,1160.0,1184.0,1187.0,1186.0,1211.0,1198.0,1205.0,1223.0,1251.0,1237.0,1235.0,1241.0,1288.0,1268.0,1249.0,1264.0,1274.0
unmatched_applicants,1329.0,730.0,713.0,707.0,685.0,685.0,685.0,685.0,685.0,697.0,736.0,764.0,796.0,844.0,888.0,920.0,974.0,1027.0,1029.0,1055.0,1085.0,1096.0,1099.0,1115.0,1151.0,1189.0,1165.0,1173.0,1209.0,1227.0,1201.0,1220.0,1251.0,1240.0,1262.0,1245.0,1306.0,1271.0,1302.0,1249.0,1292.0
unmatched_applicants,1319.0,721.0,714.0,702.0,685.0,685.0,685.0,685.0,685.0,695.0,721.0,773.0,795.0,842.0,894.0,926.0,972.0,992.0,1030.0,1041.0,1070.0,1086.0,1093.0,1126.0,1148.0,1176.0,1169.0,1174.0,1215.0,1214.0,1215.0,1226.0,1243.0,1254.0,1249.0,1266.0,1279.0,1273.0,1284.0,1309.0,1296.0
