Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12
unmatched_applicants,4370.0,2537.0,2473.0,2443.0,2435.0,2445.0,2528.0,2616.0,2627.0,2725.0,2802.0,2878.0,2988.0
unmatched_applicants,4412.0,2559.0,2463.0,2443.0,2437.0,2446.0,2498.0,2628.0,2658.0,2734.0,2816.0,2881.0,2986.0
unmatched_applicants,4416.0,2528.0,2458.0,2446.0,2435.0,2468.0,2519.0,2604.0,2652.0,2752.0,2807.0,2858.0,3004.0
unmatched_applicants,4409.0,2538.0,2467.0,2440.0,2435.0,2447.0,2510.0,2599.0,2634.0,2726.0,2796.0,2854.0,3018.0
unmatched_applicants,4378.0,2539.0,2473.0,2444.0,2435.0,2455.0,2508.0,2600.0,2629.0,2713.0,2837.0,2875.0,2987.0
unmatched_applicants,4384.0,2521.0,2470.0,2449.0,2435.0,2450.0,2502.0,2629.0,2635.0,2735.0,2807.0,2862.0,2985.0
unmatched_applicants,4394.0,2539.0,2473.0,2449.0,2435.0,2454.0,2509.0,2605.0,2658.0,2734.0,2805.0,2874.0,2989.0
unmatched_applicants,4388.0,2526.0,2476.0,2438.0,2435.0,2452.0,2502.0,2608.0,2656.0,2740.0,2828.0,2885.0,2985.0
unmatched_applicants,4387.0,2550.0,2457.0,2446.0,2435.0,2456.0,2506.0,2616.0,2642.0,2733.0,2817.0,2865.0,2996.0
unmatched_applicants,4467.0,2530.0,2462.0,2439.0,2436.0,2454.0,2512.0,2622.0,2670.0,2722.0,2816.0,2892.0,2970.0
unfilled_spots,1935.0,102.0,38.0,8.0,0.0,10.0,93.0,181.0,192.0,290.0,367.0,443.0,553.0
unfilled_spots,1977.0,124.0,28.0,8.0,2.0,11.0,63.0,193.0,223.0,299.0,381.0,446.0,551.0
unfilled_spots,1981.0,93.0,23.0,11.0,0.0,33.0,84.0,169.0,217.0,317.0,372.0,423.0,569.0
unfilled_spots,1974.0,103.0,32.0,5.0,0.0,12.0,75.0,164.0,199.0,291.0,361.0,419.0,583.0
unfilled_spots,1943.0,104.0,38.0,9.0,0.0,20.0,73.0,165.0,194.0,278.0,402.0,440.0,552.0
unfilled_spots,1949.0,86.0,35.0,14.0,0.0,15.0,67.0,194.0,200.0,300.0,372.0,427.0,550.0
unfilled_spots,1959.0,104.0,38.0,14.0,0.0,19.0,74.0,170.0,223.0,299.0,370.0,439.0,554.0
