Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,2741.0,2448.0,2436.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2439.0,2438.0,2459.0,2458.0,2500.0,2504.0,2508.0,2544.0,2564.0,2579.0,2583.0,2585.0,2606.0,2623.0,2624.0,2645.0,2664.0,2649.0,2664.0,2678.0,2682.0,2715.0,2702.0
unmatched_applicants,2706.0,2437.0,2439.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2453.0,2449.0,2457.0,2475.0,2489.0,2505.0,2515.0,2538.0,2569.0,2584.0,2573.0,2588.0,2639.0,2621.0,2665.0,2679.0,2677.0,2669.0,2681.0,2647.0,2714.0,2690.0
unmatched_applicants,2707.0,2442.0,2436.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2439.0,2438.0,2442.0,2456.0,2452.0,2466.0,2485.0,2506.0,2531.0,2561.0,2563.0,2565.0,2586.0,2630.0,2633.0,2637.0,2657.0,2652.0,2670.0,2661.0,2694.0,2714.0,2702.0,2718.0
unmatched_applicants,2719.0,2438.0,2439.0,2437.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2438.0,2443.0,2443.0,2461.0,2468.0,2496.0,2507.0,2520.0,2562.0,2574.0,2567.0,2586.0,2615.0,2631.0,2641.0,2638.0,2651.0,2658.0,2672.0,2674.0,2698.0,2673.0,2690.0
unmatched_applicants,2736.0,2445.0,2437.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2436.0,2438.0,2436.0,2453.0,2443.0,2467.0,2474.0,2506.0,2493.0,2540.0,2553.0,2562.0,2585.0,2606.0,2626.0,2623.0,2628.0,2630.0,2660.0,2659.0,2678.0,2672.0,2666.0,2708.0,2702.0
unmatched_applicants,2715.0,2443.0,2441.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2436.0,2435.0,2441.0,2448.0,2449.0,2466.0,2502.0,2507.0,2530.0,2570.0,2582.0,2583.0,2606.0,2613.0,2641.0,2613.0,2640.0,2649.0,2662.0,2664.0,2684.0,2694.0,2686.0,2691.0
unmatched_applicants,2727.0,2437.0,2439.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2439.0,2449.0,2454.0,2442.0,2483.0,2492.0,2507.0,2520.0,2559.0,2559.0,2578.0,2596.0,2607.0,2615.0,2626.0,2638.0,2657.0,2667.0,2653.0,2695.0,2665.0,2681.0,2684.0
unmatched_applicants,2706.0,2440.0,2439.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2438.0,2441.0,2443.0,2450.0,2449.0,2479.0,2511.0,2525.0,2524.0,2561.0,2564.0,2579.0,2576.0,2590.0,2648.0,2638.0,2658.0,2648.0,2662.0,2665.0,2688.0,2670.0,2674.0,2698.0
unmatched_applicants,2738.0,2440.0,2443.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2440.0,2441.0,2452.0,2451.0,2447.0,2482.0,2499.0,2496.0,2524.0,2543.0,2587.0,2574.0,2593.0,2625.0,2630.0,2607.0,2642.0,2662.0,2662.0,2667.0,2674.0,2690.0,2695.0,2713.0
unmatched_applicants,2704.0,2444.0,2437.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2440.0,2446.0,2465.0,2463.0,2504.0,2507.0,2532.0,2568.0,2580.0,2564.0,2572.0,2598.0,2626.0,2631.0,2649.0,2645.0,2669.0,2664.0,2696.0,2690.0,2697.0,2679.0
