Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,7417.0,6195.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6215.0,6278.0,6283.0
unmatched_applicants,7381.0,6190.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6208.0,6255.0,6278.0
unmatched_applicants,7395.0,6201.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6193.0,6215.0,6273.0,6253.0
unmatched_applicants,7384.0,6195.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6214.0,6234.0,6273.0
unmatched_applicants,7380.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6193.0,6202.0,6267.0,6247.0
unmatched_applicants,7369.0,6198.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6194.0,6215.0,6291.0,6270.0
unmatched_applicants,7420.0,6204.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6197.0,6240.0,6259.0,6282.0
unmatched_applicants,7344.0,6195.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6221.0,6289.0,6264.0
unmatched_applicants,7379.0,6197.0,6193.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6196.0,6211.0,6262.0,6267.0
unmatched_applicants,7366.0,6195.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6193.0,6225.0,6283.0,6281.0
unfilled_spots,1227.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,88.0,93.0
unfilled_spots,1191.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,65.0,88.0
unfilled_spots,1205.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,83.0,63.0
unfilled_spots,1194.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,44.0,83.0
unfilled_spots,1190.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,77.0,57.0
unfilled_spots,1179.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,101.0,80.0
unfilled_spots,1230.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,69.0,92.0
unfilled_spots,1154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,99.0,74.0
unfilled_spots,1189.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,72.0,77.0
unfilled_spots,1176.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,93.0,91.0
reviews_per_program,665.7915567282322,665.7849604221636,668.9089709762533,665.3298153034301,668.5303430079156,667.4973614775726,663.6781002638522,594.3733509234828,324.4617414248021,210.75065963060686,225.70712401055408,248.122691292876,270.3284960422164,292.3693931398417,314.2757255936676,335.4696569920844,356.6081794195251
reviews_per_program,669.802110817942,666.2704485488126,664.8430079155672,666.9920844327177,664.434036939314,667.1807387862797,666.664907651715,590.8258575197889,322.0316622691293,210.08839050131925,225.73746701846966,248.1042216358839,270.25065963060683,292.3390501319261,314.44459102902374,335.3390501319261,356.77704485488124
reviews_per_program,667.7255936675461,668.4406332453826,668.1635883905013,670.565963060686,667.8931398416887,669.4920844327177,664.9142480211082,594.740105540897,331.86015831134563,213.83245382585753,226.278364116095,248.0725593667546,270.43139841688657,292.31530343007915,314.1926121372032,335.73218997361477,356.64775725593665
reviews_per_program,667.3509234828496,667.1741424802111,665.457783641161,670.1635883905013,663.8416886543536,665.9749340369393,661.2453825857519,585.8575197889182,323.96569920844325,214.25857519788917,225.7651715039578,248.05408970976254,270.2862796833773,292.23746701846966,314.12664907651714,335.565963060686,356.8970976253298
reviews_per_program,665.8245382585752,662.2836411609499,667.6160949868074,669.4010554089709,668.3931398416887,665.8100263852243,666.9353562005277,590.7559366754617,326.2467018469657,211.93403693931398,225.81662269129288,248.122691292876,270.28364116094986,292.287598944591,314.14379947229554,335.6662269129288,356.41820580474933
reviews_per_program,667.5527704485488,667.7757255936675,670.2532981530343,668.4934036939314,666.8852242744064,667.7823218997362,668.8839050131926,589.9050131926122,316.43139841688657,211.20448548812664,225.72295514511873,248.06200527704485,270.2968337730871,292.4353562005277,313.99208443271766,335.7532981530343,356.6200527704485
reviews_per_program,668.104221635884,665.9050131926122,668.6055408970976,667.4445910290237,663.434036939314,665.4050131926122,667.3667546174142,590.6543535620053,321.2018469656992,212.3641160949868,225.74538258575197,248.0580474934037,270.36807387862797,292.24802110817944,314.0976253298153,335.3693931398417,356.49076517150394
reviews_per_program,667.4419525065963,667.7255936675461,664.0857519788918,666.6174142480211,670.0079155672823,666.2532981530343,666.3588390501319,587.457783641161,332.5145118733509,217.9617414248021,225.7084432717678,248.0857519788918,270.26781002638523,292.3641160949868,314.19656992084435,335.77836411609496,356.5620052770449
reviews_per_program,667.6385224274406,664.4630606860159,668.6332453825858,667.5540897097625,665.5672823218997,666.0461741424803,667.8390501319261,590.0514511873351,314.9076517150396,214.82321899736147,225.69656992084433,248.0857519788918,270.34036939313984,292.40501319261216,313.7532981530343,335.67018469656995,356.8746701846966
reviews_per_program,668.9920844327177,666.835092348285,664.9287598944591,665.3324538258576,666.7546174142481,670.5778364116095,662.3324538258576,597.5593667546174,325.65831134564644,213.75857519788917,225.7335092348285,248.0910290237467,270.31398416886543,292.3192612137203,314.23218997361477,335.60686015831135,356.9116094986807
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9999902708592777,0.9942203280985463,0.9430721616373962,0.8517078679395902,0.7674035280502204,0.6980757881080621,0.6407332035196112,0.5924301494476933,0.5511352903396426,0.5163162738019396,0.4857107976426978
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932447646926368,0.9431399312423816,0.8515348173145564,0.7673003757838571,0.698127755060804,0.6409177446912375,0.5924916400788833,0.5508393154575854,0.5165173671352193,0.4854809068285775
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9998637867289356,0.9940198171748849,0.9414014598540146,0.8515943947920115,0.767271558399813,0.698216859268556,0.6404893968885832,0.592539772086201,0.5512810823067039,0.5159125292256911,0.48565689745097823
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9998735224011286,0.9935532296401318,0.9444898614618765,0.8516237074924867,0.7672062174954712,0.6982688472277623,0.6408332804560786,0.5926975929503964,0.551396845129101,0.5161680931282164,0.4853176011355571
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9999610834371109,0.993786281443918,0.9414431514549781,0.8512817184762151,0.7670314133984542,0.6980757881080621,0.6408395363026236,0.5925959359794903,0.5513667421185028,0.5160139131801835,0.48596968519238243
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940787443602125,0.9425044889855623,0.8515821244280012,0.767349706016435,0.6982465657258643,0.6408082582912366,0.592296518185017,0.5516331521054091,0.5158800947736945,0.4856946263289903
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942706552468955,0.9428264868179032,0.8514840560520799,0.767273471057476,0.6982577062990618,0.6406394097755918,0.5926761885845326,0.5514477961744916,0.5164706345147713,0.48587077196358525
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9999708122938619,0.9936201087500417,0.9438937872241037,0.8512539917439053,0.7673990425923652,0.6981797297512883,0.6408770739469792,0.5924408425536524,0.5512741380830615,0.5158415841584159,0.4857736963229907
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939285773856187,0.9420192539285167,0.8513746819668726,0.7674394136008137,0.6981797297512883,0.64070506251281,0.592357981077679,0.5520529801324503,0.5160078290192502,0.48534810044693194
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9999708128617989,0.9935198698970018,0.9423288881103058,0.8512180560422589,0.7673138288546282,0.6981648790500551,0.6407676014407169,0.592531749541922,0.5512116479419618,0.516105192814183,0.48529786832951993
pct_interview_given_nosignal,0.2601541601442527,0.23416007909191974,0.20523678482817262,0.17640591088630175,0.14323333835361984,0.10857989855058671,0.07103949047125428,0.031424424804540184,0.005675131913601336,0.00017110005931468723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25859644285123395,0.23398346389233904,0.20658350525560532,0.17591652777380243,0.14425545313099694,0.10864193416304027,0.07081657545578529,0.0315676666330152,0.005655911638282823,0.00022407724141060878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2594006354023424,0.23319722110440877,0.20548235304083387,0.1748734941868609,0.1433913816223823,0.10819069745389029,0.07081750701323204,0.0314220195385661,0.006307055746760838,0.00024447236609452554,2.3985560692463136e-05,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25954627045064566,0.23365541858461236,0.20637874743435675,0.17499030861317896,0.14440446501697848,0.10887883689526999,0.07111935683364255,0.03189190323325151,0.005129135111433506,0.00025787005068579106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2601412734423761,0.23544175878567894,0.20566310082218608,0.17521211018106939,0.1432673389360857,0.10891131640053553,0.0706071142016582,0.03161529387562724,0.006331053069679543,0.0003358417104019855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.25946779182023894,0.23343755048124604,0.2047953734777011,0.1754768571899193,0.14364208478745924,0.1085241270415006,0.07052420651609233,0.03134223544380554,0.005889403150980163,0.00026465189738336106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2592536278960474,0.23411638041527813,0.20533667978016723,0.17578377664840605,0.1445071933584892,0.10899116836469065,0.0707323305621919,0.03130519583254444,0.005733052221861823,0.0002944362974206809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
