Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
unmatched_applicants,7033.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7029.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7026.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7039.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7047.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7013.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7049.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7055.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7021.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unmatched_applicants,7034.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0
unfilled_spots,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,507.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,520.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,494.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,667.3153034300792,666.4313984168865,666.9050131926122,664.7282321899736,668.4419525065963,665.0976253298153,664.2044854881267,666.1187335092349,668.3034300791556,663.9234828496042,582.1108179419525,358.0778364116095,276.6055408970976,292.4208443271768,314.05936675461743,335.65963060686016
reviews_per_program,664.9208443271768,666.7229551451187,664.2493403693932,668.3087071240105,667.2361477572559,667.7664907651715,668.4538258575197,665.4195250659631,667.3601583113457,661.9841688654353,569.7651715039577,356.5672823218997,280.098944591029,292.5263852242744,314.0474934036939,335.7664907651715
reviews_per_program,669.0646437994723,662.6583113456464,666.6002638522427,667.7361477572559,668.2058047493404,666.9472295514512,662.0039577836411,667.3245382585752,665.7176781002638,661.0065963060686,577.269129287599,350.59498680738784,278.6662269129288,292.60686015831135,314.15435356200527,335.5131926121372
reviews_per_program,667.0514511873351,665.7414248021108,670.1543535620053,667.1266490765172,670.8218997361478,664.0448548812665,666.5131926121372,665.9313984168865,664.895778364116,663.4287598944591,567.5,350.84696569920845,276.754617414248,292.4089709762533,314.26912928759896,335.4525065963061
reviews_per_program,666.009234828496,667.8878627968338,664.8786279683377,669.1174142480211,669.5158311345647,666.4986807387863,662.9815303430079,667.7757255936675,668.0211081794196,661.2005277044855,570.8852242744064,352.76912928759896,274.967018469657,292.802110817942,313.9089709762533,335.5395778364116
reviews_per_program,666.9472295514512,665.1807387862797,667.3786279683377,666.3878627968338,664.8548812664908,667.688654353562,669.868073878628,665.6675461741424,669.4419525065963,661.4327176781003,577.8891820580475,351.0052770448549,280.2862796833773,292.24934036939317,314.1873350923483,335.8245382585752
