Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
unmatched_applicants,8108.0,6521.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6539.0,6538.0,6570.0,6734.0,6855.0,6844.0,6920.0,7103.0,7175.0,7215.0,7298.0,7372.0,7422.0,7455.0,7537.0,7535.0,7582.0,7674.0,7710.0,7718.0,7763.0,7831.0
unmatched_applicants,8072.0,6537.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6539.0,6530.0,6590.0,6728.0,6856.0,6858.0,6985.0,7049.0,7211.0,7200.0,7284.0,7381.0,7427.0,7493.0,7504.0,7602.0,7581.0,7658.0,7682.0,7728.0,7783.0,7827.0
unmatched_applicants,8075.0,6531.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6533.0,6550.0,6621.0,6668.0,6868.0,6861.0,6960.0,7076.0,7247.0,7222.0,7288.0,7368.0,7434.0,7503.0,7526.0,7565.0,7603.0,7715.0,7691.0,7723.0,7732.0,7806.0
unmatched_applicants,8137.0,6524.0,6522.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6521.0,6535.0,6540.0,6594.0,6716.0,6856.0,6840.0,6974.0,7105.0,7190.0,7207.0,7321.0,7384.0,7468.0,7473.0,7496.0,7582.0,7626.0,7671.0,7693.0,7707.0,7764.0,7834.0
unmatched_applicants,8034.0,6525.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6527.0,6525.0,6602.0,6724.0,6827.0,6854.0,6974.0,7109.0,7218.0,7211.0,7314.0,7390.0,7433.0,7513.0,7539.0,7561.0,7609.0,7635.0,7704.0,7721.0,7741.0,7854.0
unmatched_applicants,8093.0,6522.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6531.0,6535.0,6591.0,6712.0,6838.0,6844.0,6995.0,7058.0,7162.0,7212.0,7285.0,7355.0,7423.0,7465.0,7542.0,7548.0,7617.0,7675.0,7715.0,7700.0,7720.0,7842.0
unmatched_applicants,8118.0,6525.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6550.0,6555.0,6626.0,6749.0,6837.0,6887.0,7003.0,7080.0,7242.0,7230.0,7287.0,7381.0,7450.0,7475.0,7527.0,7558.0,7602.0,7684.0,7703.0,7767.0,7753.0,7817.0
unmatched_applicants,8059.0,6531.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6546.0,6547.0,6628.0,6711.0,6820.0,6865.0,6953.0,7115.0,7200.0,7245.0,7269.0,7376.0,7442.0,7464.0,7499.0,7561.0,7607.0,7652.0,7691.0,7713.0,7740.0,7781.0
unmatched_applicants,8084.0,6538.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6529.0,6554.0,6587.0,6720.0,6861.0,6849.0,6968.0,7089.0,7175.0,7210.0,7280.0,7347.0,7467.0,7517.0,7565.0,7596.0,7599.0,7679.0,7744.0,7679.0,7729.0,7802.0
unmatched_applicants,8127.0,6523.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6520.0,6557.0,6548.0,6598.0,6701.0,6879.0,6846.0,7015.0,7062.0,7206.0,7199.0,7309.0,7345.0,7464.0,7455.0,7528.0,7577.0,7600.0,7705.0,7704.0,7690.0,7704.0,7769.0
unfilled_spots,1589.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,51.0,215.0,336.0,325.0,401.0,584.0,656.0,696.0,779.0,853.0,903.0,936.0,1018.0,1016.0,1063.0,1155.0,1191.0,1199.0,1244.0,1312.0
unfilled_spots,1553.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,71.0,209.0,337.0,339.0,466.0,530.0,692.0,681.0,765.0,862.0,908.0,974.0,985.0,1083.0,1062.0,1139.0,1163.0,1209.0,1264.0,1308.0
unfilled_spots,1556.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,31.0,102.0,149.0,349.0,342.0,441.0,557.0,728.0,703.0,769.0,849.0,915.0,984.0,1007.0,1046.0,1084.0,1196.0,1172.0,1204.0,1213.0,1287.0
unfilled_spots,1618.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,21.0,75.0,197.0,337.0,321.0,455.0,586.0,671.0,688.0,802.0,865.0,949.0,954.0,977.0,1063.0,1107.0,1152.0,1174.0,1188.0,1245.0,1315.0
unfilled_spots,1515.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,83.0,205.0,308.0,335.0,455.0,590.0,699.0,692.0,795.0,871.0,914.0,994.0,1020.0,1042.0,1090.0,1116.0,1185.0,1202.0,1222.0,1335.0
unfilled_spots,1574.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,72.0,193.0,319.0,325.0,476.0,539.0,643.0,693.0,766.0,836.0,904.0,946.0,1023.0,1029.0,1098.0,1156.0,1196.0,1181.0,1201.0,1323.0
unfilled_spots,1599.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,36.0,107.0,230.0,318.0,368.0,484.0,561.0,723.0,711.0,768.0,862.0,931.0,956.0,1008.0,1039.0,1083.0,1165.0,1184.0,1248.0,1234.0,1298.0
unfilled_spots,1540.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,109.0,192.0,301.0,346.0,434.0,596.0,681.0,726.0,750.0,857.0,923.0,945.0,980.0,1042.0,1088.0,1133.0,1172.0,1194.0,1221.0,1262.0
unfilled_spots,1565.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,68.0,201.0,342.0,330.0,449.0,570.0,656.0,691.0,761.0,828.0,948.0,998.0,1046.0,1077.0,1080.0,1160.0,1225.0,1160.0,1210.0,1283.0
unfilled_spots,1608.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,29.0,79.0,182.0,360.0,327.0,496.0,543.0,687.0,680.0,790.0,826.0,945.0,936.0,1009.0,1058.0,1081.0,1186.0,1185.0,1171.0,1185.0,1250.0
reviews_per_program,669.0976253298153,666.3245382585752,665.3232189973614,665.5303430079156,665.9525065963061,664.7941952506596,474.31398416886543,192.30079155672823,180.74406332453825,203.30738786279684,225.77968337730871,248.06860158311346,270.28891820580475,292.32981530343005,314.1517150395778,335.27836411609496,357.02374670184696,377.2598944591029,397.20976253298153,416.8575197889182,435.4366754617414,453.0065963060686,470.00263852242745,487.2612137203166,504.0303430079156,517.5382585751979,529.1306068601583,544.9459102902375,556.0277044854881,566.179419525066,575.3377308707124,586.4036939313984,595.2770448548813
reviews_per_program,668.4683377308708,667.5105540897098,669.1160949868074,666.8271767810027,668.4551451187335,659.8337730870712,478.62269129287597,191.80738786279684,180.7335092348285,203.29287598944592,225.72559366754618,248.13984168865434,270.3575197889182,292.4894459102902,314.15963060686016,335.91424802110816,356.82717678100266,376.91292875989444,397.17018469656995,416.17810026385223,434.8627968337731,453.2071240105541,470.86147757255935,487.06992084432716,502.7810026385224,517.467018469657,531.0501319261214,543.5,554.302110817942,567.5303430079156,576.8720316622691,585.9076517150396,596.8799472295515
reviews_per_program,665.868073878628,665.0488126649077,667.6292875989446,664.7506596306068,666.924802110818,666.0910290237467,472.7717678100264,187.92084432717678,180.7532981530343,203.26385224274406,225.77044854881265,248.03034300791558,270.3179419525066,292.2387862796834,314.0910290237467,335.6029023746702,356.7598944591029,376.59630606860156,396.84564643799473,416.6569920844327,435.69920844327174,453.14775725593665,470.5448548812665,487.64775725593665,502.9802110817942,517.7572559366755,532.0593667546174,542.7176781002638,553.6451187335092,567.1292875989446,578.38654353562,586.9736147757257,595.1187335092349
reviews_per_program,667.6609498680739,666.3562005277045,665.4947229551451,665.9182058047494,667.5197889182058,664.6662269129288,462.8311345646438,192.3245382585752,180.7467018469657,203.28891820580475,225.7467018469657,248.15171503957782,270.32717678100266,292.5118733509235,314.11345646437996,335.5065963060686,356.51715039577834,377.1411609498681,397.3693931398417,416.457783641161,435.3957783641161,453.32981530343005,470.4986807387863,487.6833773087071,503.06860158311343,517.4142480211082,531.532981530343,545.1345646437994,556.122691292876,566.9960422163589,575.4894459102902,586.2651715039577,594.9010554089709
reviews_per_program,665.2519788918206,665.4261213720316,665.7836411609499,665.6701846965699,668.844327176781,664.1029023746702,472.2757255936676,195.37598944591028,180.75065963060686,203.26385224274406,225.72559366754618,248.13984168865434,270.32585751978894,292.31002638522426,313.89841688654354,335.7282321899736,356.5065963060686,377.5765171503958,396.9366754617414,417.21767810026387,435.15963060686016,453.0514511873351,471.31398416886543,485.8944591029024,502.8232189973615,517.467018469657,531.6187335092349,542.8166226912929,555.2071240105541,567.1372031662269,576.8799472295515,587.278364116095,593.8100263852243
