Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,252.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,248.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,252.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,248.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,249.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,248.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,253.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,250.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,249.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,249.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,270.0740740740741,268.51851851851853,261.3333333333333,216.0,69.88888888888889,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.5925925925926
reviews_per_program,264.51851851851853,266.0740740740741,249.55555555555554,207.14814814814815,53.74074074074074,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.62962962962963
reviews_per_program,268.6666666666667,273.0,262.77777777777777,215.74074074074073,79.29629629629629,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.4074074074074
reviews_per_program,265.81481481481484,265.3703703703704,255.4814814814815,198.4814814814815,67.29629629629629,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.55555555555556
reviews_per_program,267.48148148148147,267.48148148148147,262.3703703703704,217.88888888888889,86.48148148148148,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667
reviews_per_program,261.25925925925924,267.962962962963,256.7037037037037,210.62962962962962,78.48148148148148,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.48148148148148
reviews_per_program,262.1111111111111,265.8888888888889,250.88888888888889,227.03703703703704,62.888888888888886,55.370370370370374,66.44444444444444,77.51851851851852,88.51851851851852,99.66666666666667
reviews_per_program,263.037037037037,264.22222222222223,249.66666666666666,229.03703703703704,62.81481481481482,55.370370370370374,66.44444444444444,77.44444444444444,88.5925925925926,99.66666666666667
reviews_per_program,267.6296296296296,268.7037037037037,249.77777777777777,218.25925925925927,72.44444444444444,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.62962962962963
reviews_per_program,262.14814814814815,264.55555555555554,251.33333333333334,218.33333333333334,70.85185185185185,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667
pct_interview_given_signal,0.0,1.0,0.9949832775919732,0.9565217391304348,0.818561872909699,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41304347826086957,0.3674228337671997
pct_interview_given_signal,0.0,1.0,0.9882943143812709,0.9498327759197325,0.8244147157190636,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41304347826086957,0.36728624535315985
pct_interview_given_signal,0.0,1.0,0.9966555183946488,0.9609810479375697,0.8135451505016722,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41321622751986614,0.368107302533532
pct_interview_given_signal,0.0,1.0,0.9966555183946488,0.9620958751393534,0.8168896321070234,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41304347826086957,0.36755952380952384
pct_interview_given_signal,0.0,1.0,0.9933110367892977,0.9453734671125975,0.8177257525083612,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41304347826086957,0.3671497584541063
pct_interview_given_signal,0.0,1.0,0.9916387959866221,0.9576365663322185,0.8168896321070234,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41304347826086957,0.3678332092330603
pct_interview_given_signal,0.0,1.0,0.9916387959866221,0.959866220735786,0.818561872909699,0.6608695652173913,0.5507246376811594,0.4720496894409938,0.41338912133891215,0.3671497584541063
pct_interview_given_signal,0.0,1.0,0.9765886287625418,0.9654403567447045,0.8210702341137124,0.6608695652173913,0.5507246376811594,0.47250119560019127,0.41304347826086957,0.3671497584541063
