Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
unmatched_applicants,248.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,248.0,247.0,248.0,247.0
unmatched_applicants,257.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,248.0,247.0,247.0,248.0
unmatched_applicants,253.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,255.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,248.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,248.0,247.0,247.0
unmatched_applicants,249.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,249.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,248.0,247.0
unmatched_applicants,250.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,248.0,247.0,247.0
unmatched_applicants,248.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unmatched_applicants,253.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,262.6666666666667,266.9259259259259,253.62962962962962,195.88888888888889,60.48148148148148,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.5925925925926,121.62962962962963,132.66666666666666,143.66666666666666,153.74074074074073,164.96296296296296
reviews_per_program,267.81481481481484,265.8888888888889,246.25925925925927,175.66666666666666,53.7037037037037,55.370370370370374,66.44444444444444,77.51851851851852,88.51851851851852,99.62962962962963,110.66666666666667,121.48148148148148,132.2962962962963,143.4814814814815,154.62962962962962,164.77777777777777
reviews_per_program,267.037037037037,267.77777777777777,248.96296296296296,175.88888888888889,70.66666666666667,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.55555555555556,110.70370370370371,121.29629629629629,132.40740740740742,143.4814814814815,153.37037037037038,164.0
reviews_per_program,269.81481481481484,263.037037037037,253.85185185185185,198.5185185185185,63.0,55.370370370370374,66.44444444444444,77.48148148148148,88.5925925925926,99.62962962962963,110.62962962962963,121.37037037037037,132.33333333333334,143.03703703703704,153.4814814814815,164.37037037037038
reviews_per_program,269.0740740740741,263.55555555555554,260.5925925925926,193.1851851851852,72.5925925925926,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.62962962962963,121.55555555555556,131.7037037037037,143.40740740740742,154.33333333333334,164.77777777777777
reviews_per_program,266.0,270.037037037037,249.1851851851852,195.22222222222223,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.66666666666667,110.55555555555556,121.62962962962963,132.74074074074073,143.4814814814815,153.85185185185185,163.14814814814815
reviews_per_program,269.4074074074074,269.3703703703704,248.03703703703704,203.77777777777777,70.51851851851852,55.370370370370374,66.4074074074074,77.51851851851852,88.51851851851852,99.62962962962963,110.66666666666667,121.44444444444444,132.74074074074073,143.44444444444446,153.96296296296296,164.77777777777777
