Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,283.0,247.0,247.0,247.0,247.0,248.0,248.0,249.0,248.0,249.0,251.0,258.0,258.0,260.0,261.0,263.0,263.0,266.0,268.0
unmatched_applicants,284.0,247.0,247.0,247.0,247.0,248.0,247.0,249.0,249.0,252.0,253.0,255.0,260.0,263.0,263.0,262.0,263.0,263.0,268.0
unmatched_applicants,288.0,247.0,247.0,247.0,247.0,247.0,248.0,248.0,248.0,249.0,254.0,257.0,259.0,262.0,260.0,262.0,263.0,265.0,269.0
unmatched_applicants,283.0,247.0,247.0,247.0,247.0,247.0,247.0,248.0,249.0,252.0,255.0,257.0,258.0,262.0,263.0,263.0,265.0,267.0,272.0
unmatched_applicants,286.0,247.0,247.0,248.0,247.0,247.0,247.0,249.0,250.0,251.0,254.0,257.0,259.0,261.0,263.0,262.0,263.0,264.0,268.0
unmatched_applicants,282.0,247.0,247.0,248.0,247.0,247.0,248.0,248.0,249.0,252.0,252.0,256.0,258.0,261.0,261.0,263.0,264.0,269.0,269.0
unmatched_applicants,285.0,247.0,247.0,247.0,247.0,247.0,249.0,249.0,248.0,250.0,251.0,257.0,260.0,262.0,262.0,262.0,266.0,266.0,268.0
unmatched_applicants,283.0,247.0,247.0,247.0,247.0,247.0,248.0,249.0,249.0,250.0,254.0,255.0,260.0,263.0,262.0,262.0,265.0,267.0,270.0
unmatched_applicants,285.0,247.0,247.0,248.0,247.0,247.0,247.0,249.0,249.0,250.0,253.0,258.0,258.0,262.0,263.0,262.0,265.0,267.0,271.0
unmatched_applicants,286.0,247.0,247.0,247.0,248.0,248.0,248.0,248.0,248.0,251.0,253.0,255.0,258.0,263.0,263.0,260.0,261.0,268.0,269.0
unfilled_spots,36.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,11.0,11.0,13.0,14.0,16.0,16.0,19.0,21.0
unfilled_spots,37.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,6.0,8.0,13.0,16.0,16.0,15.0,16.0,16.0,21.0
unfilled_spots,41.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,10.0,12.0,15.0,13.0,15.0,16.0,18.0,22.0
unfilled_spots,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,10.0,11.0,15.0,16.0,16.0,18.0,20.0,25.0
unfilled_spots,39.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,10.0,12.0,14.0,16.0,15.0,16.0,17.0,21.0
unfilled_spots,35.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,9.0,11.0,14.0,14.0,16.0,17.0,22.0,22.0
unfilled_spots,38.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,10.0,13.0,15.0,15.0,15.0,19.0,19.0,21.0
unfilled_spots,36.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,7.0,8.0,13.0,16.0,15.0,15.0,18.0,20.0,23.0
unfilled_spots,38.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,11.0,11.0,15.0,16.0,15.0,18.0,20.0,24.0
unfilled_spots,39.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,8.0,11.0,16.0,16.0,13.0,14.0,21.0,22.0
reviews_per_program,270.22222222222223,69.03703703703704,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.4074074074074,77.51851851851852,88.5925925925926,99.66666666666667,110.66666666666667,121.70370370370371,132.33333333333334,143.37037037037038,153.40740740740742,164.66666666666666,175.5185185185185,184.96296296296296,195.77777777777777
reviews_per_program,269.25925925925924,85.85185185185185,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.55555555555556,110.70370370370371,121.62962962962963,132.25925925925927,143.55555555555554,154.07407407407408,164.14814814814815,174.25925925925927,184.14814814814815,195.4814814814815
reviews_per_program,264.5925925925926,68.85185185185185,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.51851851851852,110.5925925925926,121.70370370370371,132.2962962962963,143.59259259259258,153.92592592592592,164.11111111111111,174.11111111111111,185.0,194.5185185185185
reviews_per_program,264.85185185185185,79.70370370370371,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.55555555555556,110.74074074074075,121.74074074074075,132.66666666666666,143.11111111111111,153.8148148148148,164.55555555555554,174.66666666666666,186.03703703703704,195.2962962962963
reviews_per_program,262.51851851851853,70.88888888888889,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.62962962962963,110.62962962962963,121.5925925925926,131.92592592592592,143.59259259259258,153.77777777777777,164.92592592592592,175.8148148148148,183.85185185185185,192.92592592592592
