Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
unmatched_applicants,291.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,274.0,276.0,278.0,278.0,278.0,279.0,280.0,281.0,283.0,284.0
unmatched_applicants,289.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,274.0,276.0,276.0,278.0,278.0,278.0,278.0,279.0,280.0,281.0,284.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,274.0,275.0,276.0,277.0,278.0,278.0,279.0,278.0,281.0,282.0,283.0
unmatched_applicants,289.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,274.0,274.0,276.0,278.0,278.0,278.0,278.0,280.0,281.0,282.0,285.0
unmatched_applicants,289.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,274.0,275.0,276.0,278.0,278.0,278.0,278.0,280.0,280.0,283.0,285.0
unmatched_applicants,289.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,274.0,276.0,278.0,278.0,277.0,278.0,279.0,281.0,282.0,283.0
unmatched_applicants,289.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,275.0,275.0,278.0,277.0,277.0,279.0,279.0,279.0,280.0,283.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,274.0,276.0,278.0,278.0,278.0,279.0,279.0,281.0,283.0,284.0
unmatched_applicants,288.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,274.0,273.0,276.0,278.0,278.0,278.0,278.0,279.0,282.0,283.0,285.0
unmatched_applicants,290.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,275.0,275.0,278.0,277.0,277.0,278.0,280.0,281.0,283.0,284.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,6.0,6.0,7.0,8.0,9.0,11.0,12.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,12.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,6.0,6.0,7.0,6.0,9.0,10.0,11.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,8.0,9.0,10.0,13.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,6.0,6.0,6.0,8.0,8.0,11.0,13.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,6.0,5.0,6.0,7.0,9.0,10.0,11.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,5.0,5.0,7.0,7.0,7.0,8.0,11.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,6.0,6.0,7.0,7.0,9.0,11.0,12.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,6.0,6.0,6.0,6.0,7.0,10.0,11.0,13.0
unfilled_spots,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,5.0,5.0,6.0,8.0,9.0,11.0,12.0
reviews_per_program,267.9259259259259,39.03703703703704,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.66666666666667,110.66666666666667,121.44444444444444,132.55555555555554,142.77777777777777,154.11111111111111,164.62962962962962,175.1851851851852,185.07407407407408,195.33333333333334,205.07407407407408,213.14814814814815
reviews_per_program,268.81481481481484,37.074074074074076,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.48148148148148,110.66666666666667,121.62962962962963,132.5185185185185,142.8148148148148,153.66666666666666,164.85185185185185,174.88888888888889,185.25925925925927,194.85185185185185,204.92592592592592,212.25925925925927
reviews_per_program,267.6666666666667,11.074074074074074,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.4074074074074,77.51851851851852,88.55555555555556,99.55555555555556,110.62962962962963,121.77777777777777,132.59259259259258,143.2962962962963,153.74074074074073,164.55555555555554,176.0,184.88888888888889,193.5185185185185,203.22222222222223,215.62962962962962
reviews_per_program,268.51851851851853,30.555555555555557,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.48148148148148,88.5925925925926,99.66666666666667,110.70370370370371,121.4074074074074,132.22222222222223,143.07407407407408,153.77777777777777,164.74074074074073,175.1851851851852,184.8148148148148,194.77777777777777,203.44444444444446,212.7037037037037
reviews_per_program,268.18518518518516,20.0,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.48148148148148,88.5925925925926,99.55555555555556,110.66666666666667,121.5925925925926,132.5185185185185,143.37037037037038,153.55555555555554,164.77777777777777,175.33333333333334,184.59259259259258,192.03703703703704,202.88888888888889,214.59259259259258
reviews_per_program,269.44444444444446,11.074074074074074,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.62962962962963,110.70370370370371,121.55555555555556,132.85185185185185,143.40740740740742,154.1851851851852,164.37037037037038,174.4814814814815,183.88888888888889,194.40740740740742,202.03703703703704,215.7037037037037
reviews_per_program,265.48148148148147,30.25925925925926,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.4074074074074,110.66666666666667,121.5925925925926,132.2962962962963,142.96296296296296,153.96296296296296,163.77777777777777,173.62962962962962,182.88888888888889,192.8148148148148,204.11111111111111,212.96296296296296
reviews_per_program,267.44444444444446,41.148148148148145,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.44444444444444,99.62962962962963,110.74074074074075,121.4074074074074,132.74074074074073,143.44444444444446,154.1851851851852,163.92592592592592,175.62962962962962,184.66666666666666,192.62962962962962,204.59259259259258,214.33333333333334
reviews_per_program,262.77777777777777,40.370370370370374,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.4074074074074,77.51851851851852,88.5925925925926,99.66666666666667,110.70370370370371,121.77777777777777,132.2962962962963,143.2962962962963,154.37037037037038,163.8148148148148,174.40740740740742,183.44444444444446,193.11111111111111,203.8148148148148,214.11111111111111
reviews_per_program,268.3333333333333,21.62962962962963,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.55555555555556,99.66666666666667,110.29629629629629,121.51851851851852,132.44444444444446,143.11111111111111,154.1851851851852,164.2962962962963,174.03703703703704,185.44444444444446,193.77777777777777,204.33333333333334,212.25925925925927
pct_interview_given_signal,0.0,0.6187290969899666,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.0903010033444816,0.07904642409033877,0.07023411371237458,0.06325301204819277,0.05763952424519671,0.05280804694048617,0.0490272373540856,0.04542177361211247,0.04251968503937008,0.03995771670190275,0.0378226936161697,0.03583617747440273,0.03413400758533502,0.032841007819287574
pct_interview_given_signal,0.0,0.6220735785953178,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.0903010033444816,0.07901337792642141,0.07036485480268057,0.06325301204819277,0.05755176613885506,0.05282280603689212,0.04901452282157676,0.0455531453362256,0.042462368007189395,0.040025412960609914,0.037784886045581764,0.03592472913894697,0.03415868425808784,0.03297853777700227
pct_interview_given_signal,0.0,0.6321070234113713,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10540992749581707,0.0903010033444816,0.07904642409033877,0.0703125,0.06327418814864412,0.05748175182481752,0.052793296089385475,0.04884983199793228,0.045531197301854974,0.042538825118163405,0.03977272727272727,0.03786057692307692,0.03617224880382775,0.03444505194095134,0.03246307110958434
pct_interview_given_signal,0.0,0.6120401337792643,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.09034416826003824,0.07901337792642141,0.07023411371237458,0.06323185011709602,0.05765710799267846,0.052941176470588235,0.048925705410302875,0.04552023121387283,0.042491007194244604,0.03995771670190275,0.03787575150300601,0.03593839132915003,0.03440742763517204,0.03290962911370364
pct_interview_given_signal,0.0,0.6287625418060201,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.09034416826003824,0.07901337792642141,0.0703125,0.06325301204819277,0.057569296375266525,0.05282280603689212,0.048824593128390596,0.045586107091172216,0.04248145650708024,0.039923954372623575,0.037921348314606744,0.036451301832208294,0.03450164293537788,0.03261995167414567
pct_interview_given_signal,0.0,0.6321070234113713,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.0903010033444816,0.07901337792642141,0.07026022304832713,0.06323185011709602,0.05758683729433273,0.052690270420964594,0.04881198347107438,0.0453999519577228,0.04258675078864353,0.04011887072808321,0.038066465256797584,0.03600685844922842,0.034647112740604946,0.03245192307692308
pct_interview_given_signal,0.0,0.6220735785953178,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.0903010033444816,0.07901337792642141,0.07041728763040238,0.06325301204819277,0.057569296375266525,0.05291153415453528,0.04896373056994819,0.04546547991339909,0.042740841248303935,0.040315699658703075,0.03827460510328068,0.03630426431041106,0.03429504627109418,0.0328695652173913
pct_interview_given_signal,0.0,0.6153846153846154,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.0903010033444816,0.07914572864321608,0.07026022304832713,0.06321070234113713,0.05765710799267846,0.052734375,0.048799380325329204,0.0453999519577228,0.04270221418888387,0.03985660059046816,0.03790613718411552,0.03633916554508748,0.03421433743664012,0.03265940902021773
pct_interview_given_signal,0.0,0.6086956521739131,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10540992749581707,0.0903010033444816,0.07901337792642141,0.07023411371237458,0.06323185011709602,0.05748175182481752,0.05291153415453528,0.04884983199793228,0.04534548944337812,0.04273117793352928,0.04013590995965173,0.03815869170199879,0.03624856156501726,0.03434490278030165,0.03269330565646082
pct_interview_given_signal,0.0,0.6254180602006689,0.31605351170568563,0.21070234113712374,0.15802675585284282,0.12642140468227425,0.10535117056856187,0.0903010033444816,0.07904642409033877,0.07023411371237458,0.06346541302887844,0.057604388905821396,0.05285234899328859,0.04891304347826087,0.0453999519577228,0.04260595130748422,0.04022132368589062,0.037747153984421807,0.03612385321100917,0.03425774877650897,0.03297853777700227
pct_interview_given_nosignal,0.02612662427426044,0.0005824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.026040231468724168,0.00044365572315882877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.026151930261519303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.026068965517241378,0.0008670520231213873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.026101367214473137,0.00014388489208633093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.02597938144329897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0263671875,0.0004339649934905251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.026173660157872872,0.0007234843003906816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0266384778012685,0.0010300176574455562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.02608695652173913,0.0002942041776993233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.02612662427426044,0.026370866471326915,0.026220865704772476,0.026489138051857042,0.026374546469439018,0.02615916955017301,0.026415094339622643,0.02642248007828883,0.02624635467296209,0.02624635467296209,0.026148312119535142,0.026973026973026972,0.025911708253358926,0.026533763863540644,0.025982952983227937,0.026068965517241378,0.02615916955017301,0.02586206896551724,0.026264591439688716,0.026228143213988343,0.026396648044692737
pct_interview_given_application,0.026040231468724168,0.02676674691969976,0.02560628641105541,0.025791484716157206,0.026740237691001697,0.02627189324437031,0.026363509555028596,0.02638559262878682,0.026170036001107726,0.027015437392795882,0.026507713884992987,0.026209957010123422,0.026363509555028596,0.02672889266016122,0.026694915254237287,0.026297481563934882,0.02590815627141878,0.026141078838174275,0.02629016553067186,0.026076158940397352,0.026297481563934882
pct_interview_given_application,0.026151930261519303,0.026025888185072982,0.026341463414634145,0.026500280426247896,0.026374546469439018,0.02616279069767442,0.026492851135407905,0.026500280426247896,0.026507713884992987,0.026177285318559555,0.026083356334529396,0.02630480167014614,0.025784447476125513,0.026608475292130087,0.026356156742434807,0.026202689588243448,0.026224503954488693,0.0263671875,0.02663097083274623,0.02646317558106973,0.025865608320788287
pct_interview_given_application,0.026068965517241378,0.026180911483584986,0.025879775434752842,0.02572128470332063,0.02658975801913337,0.026065370293752586,0.026058182820901696,0.02627189324437031,0.02609055770292656,0.025766871165644172,0.025668884965367376,0.026522593320235755,0.026608475292130087,0.026264591439688716,0.026345135210482297,0.025819672131147543,0.025915261209378856,0.02653003930376193,0.02648542600896861,0.026426174496644295,0.026400335242352285
pct_interview_given_application,0.026101367214473137,0.02607256173265278,0.026370866471326915,0.02629016553067186,0.025770384510499046,0.025965105096853965,0.026319454115025762,0.026556133202191936,0.02631212585270778,0.02592237004526128,0.026036644165863067,0.02649656526005888,0.026007981285262143,0.026541216121331274,0.02623542476401999,0.026526315789473683,0.026319454115025762,0.026050999310820125,0.026578540289692025,0.026330454165505713,0.026170036001107726
pct_interview_given_application,0.02597938144329897,0.02588686481303931,0.026228143213988343,0.026155549404926655,0.02608695652173913,0.026645989003242634,0.026396648044692737,0.02644836272040302,0.026119402985074626,0.026199057388411422,0.026094159878503383,0.026040231468724168,0.02583732057416268,0.02585499316005472,0.025738798856053385,0.026068965517241378,0.026018722466960353,0.026627218934911243,0.026188166828322017,0.02644836272040302,0.02593304061470911
pct_interview_given_application,0.0263671875,0.0262063227953411,0.0267819186623211,0.026691145318457846,0.026220865704772476,0.025982952983227937,0.026123013130615064,0.026474296119904747,0.026224503954488693,0.026337792642140468,0.02630846325167038,0.026319454115025762,0.026356156742434807,0.02630480167014614,0.026108578532946538,0.02644466209598433,0.026337792642140468,0.026400335242352285,0.027077363896848138,0.02623542476401999,0.02644466209598433
pct_interview_given_application,0.026173660157872872,0.02621359223300971,0.026762956669498725,0.02632678646050982,0.026282853566958697,0.026552402360213542,0.026065370293752586,0.025777414075286414,0.0267819186623211,0.02627919911012236,0.026374546469439018,0.026330454165505713,0.026363509555028596,0.02627189324437031,0.026104972375690608,0.026930749501282415,0.026018722466960353,0.026415094339622643,0.026774330641733957,0.02623542476401999,0.026025888185072982
pct_interview_given_application,0.0266384778012685,0.0266384778012685,0.025936599423631124,0.02567237163814181,0.0262865090403338,0.026522593320235755,0.025883319638455218,0.02602947252444567,0.025679347826086957,0.026199057388411422,0.026363509555028596,0.02626094205919133,0.026740237691001697,0.026188166828322017,0.02621359223300971,0.026293823038397328,0.026239067055393587,0.026500280426247896,0.026433566433566435,0.026188166828322017,0.026036644165863067
pct_interview_given_application,0.02608695652173913,0.02663097083274623,0.026563598032326073,0.026452064380685793,0.02627189324437031,0.025975810885101706,0.02626094205919133,0.025795004776852735,0.026356156742434807,0.026378227494766225,0.026341463414634145,0.025975810885101706,0.026804708551978442,0.02654867256637168,0.026392961876832845,0.026552402360213542,0.026702458321559763,0.02627189324437031,0.02642248007828883,0.026345135210482297,0.02631212585270778
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
