Parameter,0,1,2,3,4,5,6,7,8,9,10
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,80.0,78.0
unmatched_applicants,84.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,79.0
unmatched_applicants,81.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,78.0
unmatched_applicants,79.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,80.0,76.0
unmatched_applicants,82.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,80.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
unfilled_spots,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,109.92307692307692,109.0,89.0,77.53846153846153,40.30769230769231,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616,84.61538461538461
reviews_per_program,109.6923076923077,109.76923076923077,103.0,77.3076923076923,40.38461538461539,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.0,84.46153846153847
reviews_per_program,109.38461538461539,109.53846153846153,103.0,77.15384615384616,40.38461538461539,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616,84.61538461538461
reviews_per_program,109.6923076923077,109.15384615384616,102.53846153846153,83.38461538461539,40.15384615384615,42.30769230769231,50.76923076923077,59.23076923076923,67.53846153846153,76.15384615384616,84.46153846153847
reviews_per_program,109.76923076923077,109.76923076923077,102.61538461538461,76.84615384615384,46.38461538461539,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,75.6923076923077,84.53846153846153
reviews_per_program,109.61538461538461,109.53846153846153,102.38461538461539,77.15384615384616,46.30769230769231,42.30769230769231,50.76923076923077,59.23076923076923,67.53846153846153,76.15384615384616,84.61538461538461
reviews_per_program,109.38461538461539,109.38461538461539,102.92307692307692,77.15384615384616,53.30769230769231,48.46153846153846,50.76923076923077,59.23076923076923,67.53846153846153,76.15384615384616,84.61538461538461
reviews_per_program,109.38461538461539,109.46153846153847,96.15384615384616,77.23076923076923,46.38461538461539,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616,84.3076923076923
reviews_per_program,109.6923076923077,109.23076923076923,103.15384615384616,76.92307692307692,46.46153846153846,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616,84.53846153846153
reviews_per_program,109.3076923076923,109.92307692307692,109.46153846153847,78.0,46.38461538461539,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616,84.61538461538461
pct_interview_given_signal,0.0,1.0,0.990909090909091,0.9,0.7636363636363637,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.3434343434343434,0.3090909090909091
pct_interview_given_signal,0.0,1.0,0.9954545454545455,0.9090909090909091,0.759090909090909,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.3441295546558704,0.30965391621129323
pct_interview_given_signal,0.0,1.0,0.9954545454545455,0.9090909090909091,0.7613636363636364,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.3434343434343434,0.3090909090909091
pct_interview_given_signal,0.0,1.0,1.0,0.9333333333333333,0.7659090909090909,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38724373576309795,0.3434343434343434,0.30965391621129323
pct_interview_given_signal,0.0,1.0,1.0,0.9242424242424242,0.7636363636363637,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.34552845528455284,0.3093721565059145
pct_interview_given_signal,0.0,1.0,0.9954545454545455,0.9151515151515152,0.759090909090909,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38724373576309795,0.3434343434343434,0.3090909090909091
pct_interview_given_signal,0.0,1.0,0.9954545454545455,0.9181818181818182,0.7386363636363636,0.6163636363636363,0.5151515151515151,0.44155844155844154,0.38724373576309795,0.3434343434343434,0.3090909090909091
pct_interview_given_signal,0.0,1.0,0.9863636363636363,0.9242424242424242,0.7522727272727273,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.3434343434343434,0.3102189781021898
pct_interview_given_signal,0.0,1.0,0.9863636363636363,0.9212121212121213,0.7568181818181818,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.3434343434343434,0.3093721565059145
pct_interview_given_signal,0.0,1.0,1.0,0.8909090909090909,0.7659090909090909,0.6181818181818182,0.5151515151515151,0.44155844155844154,0.38636363636363635,0.3434343434343434,0.3090909090909091
pct_interview_given_nosignal,0.23792862141357593,0.17597551644988524,0.1012448132780083,0.03941338221814849,0.004052684903748734,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23842917251051893,0.17463933181473046,0.10016556291390728,0.03663003663003663,0.0061162079510703364,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2390998593530239,0.1750380517503805,0.10016556291390728,0.036596523330283626,0.005060728744939271,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23842917251051893,0.17570664629488159,0.09975062344139651,0.029357798165137616,0.003061224489795918,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23826208829712683,0.17463933181473046,0.09966777408637874,0.03202195791399817,0.004048582995951417,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23859649122807017,0.1750380517503805,0.1010016694490818,0.03473491773308958,0.006166495375128468,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2390998593530239,0.17530487804878048,0.10024855012427507,0.033820840950639856,0.015321756894790603,0.001152073732718894,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2390998593530239,0.17517136329017516,0.10199004975124377,0.031876138433515486,0.009155645981688708,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23842917251051893,0.17557251908396945,0.10182119205298014,0.03290676416819013,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.23926812104152007,0.17437452615617893,0.09975062344139651,0.041970802919708027,0.003036437246963563,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.23792862141357593,0.2399435426958363,0.23859649122807017,0.23926812104152007,0.23826208829712683,0.23792862141357593,0.23826208829712683,0.23809523809523808,0.23876404494382023,0.2390998593530239,0.23876404494382023
pct_interview_given_application,0.23842917251051893,0.23826208829712683,0.23809523809523808,0.2390998593530239,0.23926812104152007,0.23926812104152007,0.24079320113314448,0.23842917251051893,0.23826208829712683,0.2399435426958363,0.23943661971830985
pct_interview_given_application,0.2390998593530239,0.23876404494382023,0.23809523809523808,0.23893183415319746,0.23809523809523808,0.23792862141357593,0.23842917251051893,0.2390998593530239,0.23842917251051893,0.23859649122807017,0.23842917251051893
pct_interview_given_application,0.23842917251051893,0.23960535588442566,0.23893183415319746,0.23943661971830985,0.23943661971830985,0.23926812104152007,0.23776223776223776,0.23842917251051893,0.2399435426958363,0.23826208829712683,0.23893183415319746
pct_interview_given_application,0.23826208829712683,0.23826208829712683,0.23876404494382023,0.23893183415319746,0.23809523809523808,0.23842917251051893,0.23826208829712683,0.23842917251051893,0.23876404494382023,0.24079320113314448,0.23893183415319746
pct_interview_given_application,0.23859649122807017,0.23876404494382023,0.2397743300423131,0.23876404494382023,0.24062278839348902,0.23943661971830985,0.23809523809523808,0.2390998593530239,0.23926812104152007,0.24028268551236748,0.23809523809523808
pct_interview_given_application,0.2390998593530239,0.2390998593530239,0.23826208829712683,0.23876404494382023,0.23960535588442566,0.2397743300423131,0.23926812104152007,0.23876404494382023,0.2397743300423131,0.23776223776223776,0.23842917251051893
pct_interview_given_application,0.2390998593530239,0.23893183415319746,0.23842917251051893,0.23809523809523808,0.23893183415319746,0.23960535588442566,0.23876404494382023,0.23876404494382023,0.2390998593530239,0.23826208829712683,0.2390998593530239
pct_interview_given_application,0.23842917251051893,0.23943661971830985,0.23809523809523808,0.23876404494382023,0.23943661971830985,0.23842917251051893,0.23776223776223776,0.23826208829712683,0.2397743300423131,0.23809523809523808,0.23859649122807017
