Parameter,0,1,2,3,4
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
reviews_per_program,109.23076923076923,109.46153846153847,109.3076923076923,109.92307692307692,93.53846153846153
reviews_per_program,109.92307692307692,109.38461538461539,109.23076923076923,109.61538461538461,93.23076923076923
reviews_per_program,109.07692307692308,109.38461538461539,110.0,108.92307692307692,82.46153846153847
reviews_per_program,109.3076923076923,108.76923076923077,109.61538461538461,110.0,88.61538461538461
reviews_per_program,109.61538461538461,109.15384615384616,110.0,109.76923076923077,93.61538461538461
reviews_per_program,109.6923076923077,109.0,109.76923076923077,109.38461538461539,88.0
reviews_per_program,109.38461538461539,109.76923076923077,109.61538461538461,109.46153846153847,88.38461538461539
reviews_per_program,108.6923076923077,109.46153846153847,109.53846153846153,109.61538461538461,88.15384615384616
reviews_per_program,109.46153846153847,108.84615384615384,109.53846153846153,109.07692307692308,87.84615384615384
reviews_per_program,109.92307692307692,108.38461538461539,109.6923076923077,109.76923076923077,88.53846153846153
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9863636363636363
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9795454545454545
