Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,258.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,204.0,201.0
unmatched_applicants,253.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,202.0
unmatched_applicants,245.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,206.0
unmatched_applicants,248.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,206.0
unmatched_applicants,258.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,201.0,201.0,201.0,202.0
unmatched_applicants,270.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,258.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
unmatched_applicants,254.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0
unmatched_applicants,263.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0
unmatched_applicants,253.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,201.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
unfilled_spots,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
unfilled_spots,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
unfilled_spots,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
unfilled_spots,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
reviews_per_program,225.72151898734177,228.70886075949366,223.74683544303798,222.50632911392404,225.22784810126583,226.29113924050634,218.48101265822785,223.35443037974684,213.126582278481,166.0506329113924,106.17721518987342,85.82278481012658,97.11392405063292,97.9367088607595,105.15189873417721,112.72151898734177,119.45569620253164,126.59493670886076,132.81012658227849
reviews_per_program,221.62025316455697,222.9367088607595,225.81012658227849,227.9493670886076,223.63291139240508,227.9620253164557,218.55696202531647,220.59493670886076,212.2405063291139,161.86075949367088,114.27848101265823,87.92405063291139,93.40506329113924,100.43037974683544,105.53164556962025,112.50632911392405,119.84810126582279,126.63291139240506,133.54430379746836
reviews_per_program,218.64556962025316,216.1772151898734,220.77215189873417,229.16455696202533,223.63291139240508,221.2405063291139,225.26582278481013,222.1139240506329,217.22784810126583,170.21518987341773,108.0126582278481,93.74683544303798,90.44303797468355,98.12658227848101,105.36708860759494,112.74683544303798,119.50632911392405,126.43037974683544,133.22784810126583
reviews_per_program,220.27848101265823,226.0379746835443,222.9240506329114,224.36708860759492,228.45569620253164,224.39240506329114,220.70886075949366,224.873417721519,211.9367088607595,159.0253164556962,118.0886075949367,90.60759493670886,92.9367088607595,98.18987341772151,105.53164556962025,112.56962025316456,120.0126582278481,126.58227848101266,133.77215189873417
reviews_per_program,228.26582278481013,221.68354430379748,227.1772151898734,223.1772151898734,223.9493670886076,225.08860759493672,220.50632911392404,224.79746835443038,208.39240506329114,157.59493670886076,118.15189873417721,91.87341772151899,90.69620253164557,98.07594936708861,105.35443037974683,112.89873417721519,119.9873417721519,126.13924050632912,133.08860759493672
reviews_per_program,231.15189873417722,219.08860759493672,221.59493670886076,224.50632911392404,228.0126582278481,222.16455696202533,221.25316455696202,228.21518987341773,197.9873417721519,168.40506329113924,110.17721518987342,94.45569620253164,90.79746835443038,98.17721518987342,105.56962025316456,112.64556962025317,119.81012658227849,126.20253164556962,133.8227848101266
reviews_per_program,221.53164556962025,220.58227848101265,222.54430379746836,222.126582278481,222.0126582278481,225.73417721518987,228.126582278481,227.39240506329114,209.73417721518987,164.41772151898735,107.18987341772151,91.49367088607595,92.65822784810126,98.21518987341773,105.29113924050633,112.39240506329114,120.0506329113924,125.59493670886076,133.91139240506328
reviews_per_program,217.21518987341773,225.20253164556962,226.65822784810126,223.9240506329114,219.83544303797467,223.41772151898735,223.873417721519,216.54430379746836,206.46835443037975,164.0759493670886,106.55696202531645,91.18987341772151,90.62025316455696,98.18987341772151,105.22784810126582,112.30379746835443,119.0253164556962,125.75949367088607,133.1772151898734
