Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,267.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,204.0,205.0,210.0,216.0,217.0,218.0,219.0,223.0,223.0,225.0,234.0,242.0,242.0,243.0,239.0,249.0,247.0,264.0,263.0,269.0,267.0,267.0,265.0
unmatched_applicants,274.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,205.0,210.0,209.0,211.0,216.0,221.0,221.0,224.0,225.0,230.0,225.0,235.0,231.0,241.0,247.0,256.0,259.0,255.0,258.0,260.0,267.0,265.0,272.0
unmatched_applicants,263.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,205.0,206.0,208.0,212.0,208.0,221.0,220.0,220.0,220.0,226.0,229.0,229.0,235.0,241.0,242.0,248.0,245.0,254.0,251.0,261.0,271.0,273.0,262.0,286.0
unmatched_applicants,254.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,202.0,201.0,207.0,205.0,210.0,215.0,218.0,222.0,219.0,226.0,228.0,225.0,225.0,238.0,232.0,244.0,247.0,251.0,251.0,244.0,265.0,254.0,263.0,259.0,263.0
unmatched_applicants,268.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,207.0,208.0,205.0,208.0,214.0,216.0,220.0,227.0,225.0,229.0,235.0,233.0,230.0,239.0,244.0,244.0,257.0,259.0,255.0,259.0,265.0,261.0,265.0
unmatched_applicants,268.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,205.0,207.0,209.0,218.0,218.0,221.0,221.0,222.0,221.0,229.0,227.0,237.0,238.0,239.0,248.0,257.0,252.0,262.0,255.0,260.0,265.0,258.0,258.0
unmatched_applicants,261.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,205.0,205.0,211.0,211.0,212.0,217.0,222.0,219.0,221.0,225.0,229.0,231.0,234.0,240.0,245.0,239.0,249.0,259.0,249.0,257.0,268.0,275.0,255.0,270.0
unmatched_applicants,259.0,203.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,204.0,205.0,213.0,209.0,211.0,216.0,222.0,223.0,228.0,219.0,225.0,227.0,231.0,226.0,240.0,244.0,252.0,254.0,259.0,262.0,257.0,263.0,262.0,278.0
unmatched_applicants,272.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,212.0,210.0,220.0,214.0,218.0,217.0,222.0,220.0,222.0,234.0,233.0,236.0,243.0,243.0,245.0,244.0,268.0,260.0,267.0,266.0,272.0,264.0
unmatched_applicants,269.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,201.0,206.0,206.0,209.0,208.0,214.0,218.0,220.0,221.0,220.0,222.0,226.0,231.0,234.0,240.0,240.0,246.0,249.0,253.0,268.0,258.0,247.0,258.0,268.0,268.0
unfilled_spots,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,9.0,15.0,16.0,17.0,18.0,22.0,22.0,24.0,33.0,41.0,41.0,42.0,38.0,48.0,46.0,63.0,62.0,68.0,66.0,66.0,64.0
unfilled_spots,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,8.0,10.0,15.0,20.0,20.0,23.0,24.0,29.0,24.0,34.0,30.0,40.0,46.0,55.0,58.0,54.0,57.0,59.0,66.0,64.0,71.0
unfilled_spots,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,7.0,11.0,7.0,20.0,19.0,19.0,19.0,25.0,28.0,28.0,34.0,40.0,41.0,47.0,44.0,53.0,50.0,60.0,70.0,72.0,61.0,85.0
unfilled_spots,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,4.0,9.0,14.0,17.0,21.0,18.0,25.0,27.0,24.0,24.0,37.0,31.0,43.0,46.0,50.0,50.0,43.0,64.0,53.0,62.0,58.0,62.0
unfilled_spots,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,4.0,7.0,13.0,15.0,19.0,26.0,24.0,28.0,34.0,32.0,29.0,38.0,43.0,43.0,56.0,58.0,54.0,58.0,64.0,60.0,64.0
unfilled_spots,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,8.0,17.0,17.0,20.0,20.0,21.0,20.0,28.0,26.0,36.0,37.0,38.0,47.0,56.0,51.0,61.0,54.0,59.0,64.0,57.0,57.0
unfilled_spots,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,10.0,10.0,11.0,16.0,21.0,18.0,20.0,24.0,28.0,30.0,33.0,39.0,44.0,38.0,48.0,58.0,48.0,56.0,67.0,74.0,54.0,69.0
unfilled_spots,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,12.0,8.0,10.0,15.0,21.0,22.0,27.0,18.0,24.0,26.0,30.0,25.0,39.0,43.0,51.0,53.0,58.0,61.0,56.0,62.0,61.0,77.0
unfilled_spots,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,19.0,13.0,17.0,16.0,21.0,19.0,21.0,33.0,32.0,35.0,42.0,42.0,44.0,43.0,67.0,59.0,66.0,65.0,71.0,63.0
unfilled_spots,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,8.0,7.0,13.0,17.0,19.0,20.0,19.0,21.0,25.0,30.0,33.0,39.0,39.0,45.0,48.0,52.0,67.0,57.0,46.0,57.0,67.0,67.0
reviews_per_program,223.29113924050634,217.36708860759492,223.43037974683546,217.64556962025316,224.68354430379748,227.69620253164558,221.26582278481013,213.68354430379748,180.0253164556962,122.88607594936708,89.84810126582279,83.29113924050633,90.64556962025317,98.31645569620254,105.34177215189874,112.43037974683544,119.43037974683544,126.41772151898734,132.55696202531647,139.8227848101266,146.30379746835442,151.9746835443038,157.79746835443038,163.18987341772151,169.1772151898734,173.8987341772152,178.43037974683546,185.77215189873417,188.40506329113924,192.0379746835443,193.72151898734177,196.91139240506328,198.48101265822785,204.25316455696202,203.58227848101265,205.35443037974684,208.63291139240508,212.9873417721519,210.7594936708861,212.30379746835442,216.29113924050634
reviews_per_program,226.73417721518987,222.67088607594937,223.0379746835443,223.91139240506328,221.72151898734177,225.20253164556962,224.8860759493671,216.79746835443038,179.34177215189874,120.31645569620254,90.53164556962025,85.41772151898734,90.84810126582279,98.15189873417721,105.37974683544304,113.21518987341773,119.46835443037975,126.30379746835443,133.60759493670886,139.873417721519,146.32911392405063,152.83544303797467,156.72151898734177,165.22784810126583,170.34177215189874,174.34177215189874,180.22784810126583,184.60759493670886,184.18987341772151,194.70886075949366,194.51898734177215,197.16455696202533,200.35443037974684,201.70886075949366,209.13924050632912,208.64556962025316,209.74683544303798,212.53164556962025,214.73417721518987,211.8227848101266,213.30379746835442
reviews_per_program,221.44303797468353,226.29113924050634,231.36708860759492,216.126582278481,223.08860759493672,218.1772151898734,227.36708860759492,216.0126582278481,169.0253164556962,124.0886075949367,88.30379746835443,87.40506329113924,90.63291139240506,98.0126582278481,105.32911392405063,113.0632911392405,119.0506329113924,126.75949367088607,133.7594936708861,140.72151898734177,145.79746835443038,152.64556962025316,158.8987341772152,161.68354430379748,167.9367088607595,172.58227848101265,176.41772151898735,182.39240506329114,184.9367088607595,191.54430379746836,195.70886075949366,195.83544303797467,199.7594936708861,203.72151898734177,207.37974683544303,208.9493670886076,209.0759493670886,214.0,213.873417721519,214.18987341772151,220.48101265822785
reviews_per_program,219.43037974683546,224.26582278481013,224.15189873417722,223.83544303797467,222.25316455696202,219.40506329113924,225.18987341772151,216.74683544303798,187.67088607594937,113.79746835443038,85.88607594936708,83.20253164556962,92.22784810126582,98.20253164556962,105.44303797468355,112.46835443037975,119.83544303797468,125.9367088607595,133.1139240506329,139.1772151898734,145.35443037974684,152.15189873417722,159.58227848101265,162.58227848101265,166.9367088607595,174.126582278481,178.08860759493672,183.83544303797467,185.9367088607595,187.73417721518987,194.0759493670886,197.126582278481,202.0,201.20253164556962,205.0632911392405,202.8860759493671,208.20253164556962,212.21518987341773,214.34177215189874,213.91139240506328,214.74683544303798
reviews_per_program,219.45569620253164,221.0,225.41772151898735,226.77215189873417,227.0632911392405,225.41772151898735,221.77215189873417,219.18987341772151,188.15189873417722,122.83544303797468,88.67088607594937,83.10126582278481,90.63291139240506,98.18987341772151,105.27848101265823,112.60759493670886,119.34177215189874,126.75949367088607,133.22784810126583,139.46835443037975,145.79746835443038,151.8860759493671,158.22784810126583,161.91139240506328,169.9620253164557,173.1772151898734,176.49367088607596,182.26582278481013,186.2405063291139,190.40506329113924,187.37974683544303,195.86075949367088,198.20253164556962,203.59493670886076,209.41772151898735,206.31645569620252,205.36708860759492,207.58227848101265,209.68354430379748,211.72151898734177,218.13924050632912
