Parameter,0,1,2,3,4
unmatched_applicants,248.0,201.0,201.0,201.0,201.0
unmatched_applicants,251.0,201.0,201.0,201.0,201.0
unmatched_applicants,260.0,201.0,201.0,201.0,201.0
unmatched_applicants,250.0,201.0,201.0,201.0,201.0
unmatched_applicants,261.0,201.0,201.0,201.0,201.0
unmatched_applicants,264.0,201.0,201.0,201.0,201.0
unmatched_applicants,257.0,201.0,201.0,201.0,201.0
unmatched_applicants,240.0,201.0,201.0,201.0,201.0
unmatched_applicants,265.0,201.0,201.0,201.0,201.0
unmatched_applicants,257.0,201.0,201.0,201.0,201.0
unfilled_spots,47.0,0.0,0.0,0.0,0.0
unfilled_spots,50.0,0.0,0.0,0.0,0.0
unfilled_spots,59.0,0.0,0.0,0.0,0.0
unfilled_spots,49.0,0.0,0.0,0.0,0.0
unfilled_spots,60.0,0.0,0.0,0.0,0.0
unfilled_spots,63.0,0.0,0.0,0.0,0.0
unfilled_spots,56.0,0.0,0.0,0.0,0.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0
unfilled_spots,64.0,0.0,0.0,0.0,0.0
unfilled_spots,56.0,0.0,0.0,0.0,0.0
reviews_per_program,224.67088607594937,225.20253164556962,220.50632911392404,226.29113924050634,224.84810126582278
reviews_per_program,222.9873417721519,223.8987341772152,226.48101265822785,225.86075949367088,224.30379746835442
reviews_per_program,227.50632911392404,215.2405063291139,224.36708860759492,225.30379746835442,228.0253164556962
reviews_per_program,219.69620253164558,225.77215189873417,220.74683544303798,222.40506329113924,227.62025316455697
reviews_per_program,226.8227848101266,223.68354430379748,217.56962025316454,224.30379746835442,222.20253164556962
reviews_per_program,219.36708860759492,220.58227848101265,226.30379746835442,227.15189873417722,221.67088607594937
reviews_per_program,225.72151898734177,225.36708860759492,230.1139240506329,222.8860759493671,221.1012658227848
reviews_per_program,222.13924050632912,223.70886075949366,218.1139240506329,224.69620253164558,228.59493670886076
reviews_per_program,228.55696202531647,223.31645569620252,226.73417721518987,217.8987341772152,223.41772151898735
reviews_per_program,231.35443037974684,222.77215189873417,222.0379746835443,220.9240506329114,233.59493670886076
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_nosignal,0.31393317933404696,0.2892624476500698,0.2696338306004192,0.2347636815920398,0.2066766447582482
pct_interview_given_nosignal,0.3163033605812897,0.2910059102346539,0.26201030310291124,0.23526112426773027,0.20725659096841556
pct_interview_given_nosignal,0.31002058643520836,0.303139286802804,0.26465783263750225,0.2359080114985627,0.2033551030861826
pct_interview_given_nosignal,0.321041714680802,0.28850728084933575,0.2693183917246475,0.23933303746909276,0.20377261645066086
pct_interview_given_nosignal,0.3109548523913165,0.2912956888472352,0.27354596622889304,0.23707843999246372,0.2095263227338699
pct_interview_given_nosignal,0.32152336987882285,0.29553693468829856,0.26223021582733813,0.23377508050532575,0.2101084943106642
pct_interview_given_nosignal,0.31247196052041276,0.2890438825922697,0.25758200341558213,0.23875782682942256,0.21073585030853959
pct_interview_given_nosignal,0.3175109692859992,0.2912615672953028,0.2728123245805526,0.23661777610630563,0.20277086126540253
pct_interview_given_nosignal,0.3085954807266283,0.2917913512879188,0.261696781141558,0.24485957060387883,0.20820768323062802
pct_interview_given_nosignal,0.304864036767522,0.29252941176470587,0.26763752065104324,0.24112161471640264,0.19778303649271392
pct_interview_given_application,0.31393317933404696,0.3131920634028441,0.3198622273249139,0.31168540582871845,0.3136857512807521
pct_interview_given_application,0.3163033605812897,0.3150158299412031,0.3114241001564945,0.31227932522557866,0.3144469525959368
pct_interview_given_application,0.31002058643520836,0.3276876029169607,0.31435825105782794,0.31305129501657397,0.3093149772399245
pct_interview_given_application,0.321041714680802,0.31240188383045525,0.3195137335856414,0.31713147410358566,0.3098654209765321
pct_interview_given_application,0.3109548523913165,0.3153188840473092,0.3241796602280661,0.3144469525959368,0.31742053093312067
pct_interview_given_application,0.32152336987882285,0.3197520945713302,0.3116679718089272,0.31050431875174145,0.3181818181818182
pct_interview_given_application,0.31247196052041276,0.31296337901595145,0.3065075086638429,0.3164470695138573,0.3190015457720273
pct_interview_given_application,0.3175109692859992,0.3152832003621343,0.323370669142824,0.3138978085741648,0.3085442161802979
pct_interview_given_application,0.3085954807266283,0.3158372066659109,0.31107637338097366,0.3236900197513652,0.31569405099150144
pct_interview_given_application,0.304864036767522,0.31660889823285415,0.3176557778917964,0.31925743425199105,0.30193995881651675
pct_of_app_match_via_signal_given_matched,0.0,0.9723618090452262,0.9949748743718593,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.949748743718593,0.9949748743718593,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.957286432160804,0.9974874371859297,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9698492462311558,1.0,0.9974874371859297,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9623115577889447,0.9874371859296482,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9396984924623115,0.9849246231155779,0.9974874371859297,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9422110552763819,0.992462311557789,1.0,1.0
