Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
unmatched_applicants,4987.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4659.0,4655.0,4658.0,4690.0,4708.0,4705.0,4717.0,4752.0,4751.0,4773.0,4782.0,4788.0,4790.0,4821.0,4825.0,4834.0,4846.0,4871.0,4868.0,4872.0,4872.0,4906.0,4913.0,4906.0,4918.0
unmatched_applicants,4985.0,4648.0,4648.0,4648.0,4648.0,4648.0,4652.0,4664.0,4656.0,4674.0,4672.0,4709.0,4711.0,4734.0,4748.0,4757.0,4768.0,4778.0,4785.0,4797.0,4834.0,4841.0,4839.0,4835.0,4871.0,4883.0,4883.0,4890.0,4905.0,4909.0,4899.0,4908.0
unmatched_applicants,4981.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4656.0,4659.0,4662.0,4691.0,4706.0,4724.0,4724.0,4741.0,4756.0,4772.0,4785.0,4794.0,4800.0,4836.0,4833.0,4833.0,4851.0,4879.0,4863.0,4882.0,4864.0,4925.0,4925.0,4906.0,4920.0
unmatched_applicants,4975.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4654.0,4653.0,4663.0,4686.0,4706.0,4704.0,4724.0,4727.0,4747.0,4777.0,4784.0,4797.0,4795.0,4835.0,4839.0,4832.0,4865.0,4863.0,4890.0,4870.0,4889.0,4909.0,4902.0,4907.0,4905.0
unmatched_applicants,4968.0,4648.0,4648.0,4648.0,4648.0,4649.0,4650.0,4658.0,4652.0,4665.0,4691.0,4704.0,4705.0,4733.0,4738.0,4756.0,4770.0,4778.0,4780.0,4798.0,4829.0,4835.0,4841.0,4840.0,4866.0,4877.0,4874.0,4882.0,4901.0,4900.0,4906.0,4914.0
unmatched_applicants,4989.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4657.0,4657.0,4661.0,4685.0,4704.0,4704.0,4718.0,4738.0,4763.0,4781.0,4787.0,4776.0,4793.0,4835.0,4828.0,4827.0,4850.0,4873.0,4873.0,4870.0,4889.0,4912.0,4909.0,4896.0,4924.0
unmatched_applicants,4985.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4655.0,4652.0,4663.0,4685.0,4693.0,4703.0,4728.0,4752.0,4750.0,4765.0,4792.0,4776.0,4788.0,4818.0,4835.0,4823.0,4835.0,4870.0,4882.0,4878.0,4882.0,4916.0,4916.0,4909.0,4927.0
unmatched_applicants,5001.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4655.0,4653.0,4671.0,4690.0,4702.0,4713.0,4726.0,4744.0,4753.0,4773.0,4773.0,4788.0,4792.0,4829.0,4825.0,4843.0,4850.0,4862.0,4883.0,4880.0,4870.0,4911.0,4916.0,4912.0,4919.0
unmatched_applicants,4993.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4655.0,4652.0,4675.0,4678.0,4707.0,4698.0,4715.0,4738.0,4758.0,4772.0,4786.0,4798.0,4806.0,4827.0,4830.0,4846.0,4834.0,4868.0,4879.0,4869.0,4873.0,4916.0,4909.0,4914.0,4906.0
unmatched_applicants,4991.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4652.0,4655.0,4678.0,4688.0,4700.0,4710.0,4719.0,4739.0,4755.0,4777.0,4784.0,4790.0,4798.0,4814.0,4834.0,4822.0,4843.0,4874.0,4872.0,4882.0,4875.0,4904.0,4909.0,4910.0,4915.0
unfilled_spots,339.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,10.0,42.0,60.0,57.0,69.0,104.0,103.0,125.0,134.0,140.0,142.0,173.0,177.0,186.0,198.0,223.0,220.0,224.0,224.0,258.0,265.0,258.0,270.0
unfilled_spots,337.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,8.0,26.0,24.0,61.0,63.0,86.0,100.0,109.0,120.0,130.0,137.0,149.0,186.0,193.0,191.0,187.0,223.0,235.0,235.0,242.0,257.0,261.0,251.0,260.0
unfilled_spots,333.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,14.0,43.0,58.0,76.0,76.0,93.0,108.0,124.0,137.0,146.0,152.0,188.0,185.0,185.0,203.0,231.0,215.0,234.0,216.0,277.0,277.0,258.0,272.0
unfilled_spots,327.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,15.0,38.0,58.0,56.0,76.0,79.0,99.0,129.0,136.0,149.0,147.0,187.0,191.0,184.0,217.0,215.0,242.0,222.0,241.0,261.0,254.0,259.0,257.0
unfilled_spots,320.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,4.0,17.0,43.0,56.0,57.0,85.0,90.0,108.0,122.0,130.0,132.0,150.0,181.0,187.0,193.0,192.0,218.0,229.0,226.0,234.0,253.0,252.0,258.0,266.0
unfilled_spots,341.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,13.0,37.0,56.0,56.0,70.0,90.0,115.0,133.0,139.0,128.0,145.0,187.0,180.0,179.0,202.0,225.0,225.0,222.0,241.0,264.0,261.0,248.0,276.0
unfilled_spots,337.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,15.0,37.0,45.0,55.0,80.0,104.0,102.0,117.0,144.0,128.0,140.0,170.0,187.0,175.0,187.0,222.0,234.0,230.0,234.0,268.0,268.0,261.0,279.0
unfilled_spots,353.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,23.0,42.0,54.0,65.0,78.0,96.0,105.0,125.0,125.0,140.0,144.0,181.0,177.0,195.0,202.0,214.0,235.0,232.0,222.0,263.0,268.0,264.0,271.0
unfilled_spots,345.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,27.0,30.0,59.0,50.0,67.0,90.0,110.0,124.0,138.0,150.0,158.0,179.0,182.0,198.0,186.0,220.0,231.0,221.0,225.0,268.0,261.0,266.0,258.0
unfilled_spots,343.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,30.0,40.0,52.0,62.0,71.0,91.0,107.0,129.0,136.0,142.0,150.0,166.0,186.0,174.0,195.0,226.0,224.0,234.0,227.0,256.0,261.0,262.0,267.0
reviews_per_program,535.5440729483282,518.161094224924,72.62310030395136,54.38297872340426,72.51063829787235,90.63829787234043,108.7629179331307,126.88753799392097,144.9939209726444,163.03951367781156,181.06686930091186,199.01215805471125,216.8145896656535,234.6322188449848,252.0273556231003,269.49240121580544,286.1793313069909,302.5227963525836,318.62613981762917,334.2644376899696,348.90273556231006,364.0851063829787,377.14589665653494,392.0,400.9726443768997,416.4954407294833,425.42857142857144,435.0121580547112,445.7112462006079,454.5683890577508,464.06382978723406,471.82978723404256
reviews_per_program,539.9696048632219,527.9422492401216,74.29787234042553,54.38297872340426,72.51063829787235,90.63829787234043,108.7629179331307,126.87537993920972,145.0030395136778,163.03343465045592,181.08814589665653,199.10030395136778,216.85410334346506,234.3981762917933,251.90577507598783,269.1063829787234,286.2826747720365,302.531914893617,318.27659574468083,334.41641337386017,349.94224924012155,364.42857142857144,377.1914893617021,390.33130699088144,402.16413373860183,412.0851063829787,424.887537993921,436.88449848024317,443.82370820668694,453.24316109422494,464.4376899696049,470.83586626139817
reviews_per_program,532.0334346504559,523.9878419452888,78.89057750759878,54.38297872340426,72.51063829787235,90.63829787234043,108.75987841945289,126.87841945288754,144.9787234042553,163.06079027355622,181.08510638297872,199.04559270516717,216.9939209726444,234.45896656534956,251.838905775076,269.35258358662617,286.2887537993921,302.21884498480244,318.7963525835866,333.8662613981763,348.96656534954406,363.5501519756839,377.05775075987845,391.2279635258359,402.57142857142856,414.06686930091183,426.9726443768997,436.1550151975684,446.741641337386,457.4468085106383,462.5501519756839,471.49240121580544
reviews_per_program,536.4954407294833,532.5501519756839,81.31003039513678,54.38297872340426,72.51063829787235,90.63829787234043,108.75987841945289,126.86018237082067,144.98784194528875,163.04255319148936,181.03951367781156,199.07598784194528,216.72948328267478,234.48024316109422,251.82370820668692,269.2279635258359,285.6231003039514,302.629179331307,318.5288753799392,334.53495440729483,349.7294832826748,362.8328267477204,377.1975683890578,390.5562310030395,402.8328267477204,413.3130699088146,425.838905775076,437.3829787234043,446.8723404255319,452.6352583586626,463.85714285714283,469.2370820668693
reviews_per_program,535.3100303951368,526.4924012158054,79.57446808510639,54.38297872340426,72.51063829787235,90.63829787234043,108.7629179331307,126.87234042553192,144.9787234042553,162.98176291793314,181.11550151975683,199.03951367781156,216.7659574468085,234.71732522796353,251.9969604863222,269.08814589665656,286.370820668693,302.9696048632219,318.1793313069909,334.1003039513678,348.81762917933133,363.57142857142856,377.951367781155,390.67477203647417,402.0516717325228,413.96656534954406,425.6352583586626,434.6565349544073,445.8996960486322,453.94224924012155,460.97872340425533,469.4012158054711
reviews_per_program,535.1489361702128,526.4164133738602,60.790273556231,54.38297872340426,72.51063829787235,90.63829787234043,108.75987841945289,126.87234042553192,144.98784194528875,163.09118541033433,181.12462006079028,199.04863221884497,216.7933130699088,234.2887537993921,252.34954407294833,269.0121580547112,285.887537993921,302.5531914893617,318.63829787234044,334.741641337386,349.66261398176295,362.99088145896656,377.0729483282675,389.45288753799394,401.8328267477204,413.9179331306991,424.0729483282675,437.6899696048632,445.51671732522794,453.67477203647417,461.37993920972644,471.75075987841944
reviews_per_program,532.7568389057751,527.5227963525836,67.01519756838906,54.38297872340426,72.51063829787235,90.63829787234043,108.75987841945289,126.87234042553192,144.9756838905775,163.06686930091186,181.06686930091186,198.9452887537994,216.73252279635258,234.5744680851064,251.82978723404256,269.0121580547112,286.1246200607903,302.62006079027356,318.6595744680851,334.0759878419453,348.67477203647417,364.0273556231003,377.48328267477206,390.33130699088144,402.7355623100304,415.88145896656533,427.88449848024317,432.8632218844985,449.2948328267477,455.46200607902733,462.5562310030395,470.5045592705167
reviews_per_program,531.4376899696049,527.1306990881459,63.659574468085104,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.88753799392097,144.98176291793314,163.0516717325228,181.11854103343464,198.9756838905775,216.74164133738603,234.4164133738602,252.10638297872342,269.08814589665656,285.98480243161094,302.6352583586626,318.6808510638298,334.1063829787234,349.0303951367781,363.4802431610942,378.24924012158056,390.3434650455927,401.5927051671733,414.3677811550152,427.048632218845,436.370820668693,446.09422492401217,456.7841945288754,462.75683890577506,470.7629179331307
reviews_per_program,531.5957446808511,527.7963525835867,71.64133738601824,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.88753799392097,144.99088145896656,163.0790273556231,181.11246200607903,199.0212765957447,216.82674772036475,234.62310030395136,252.0303951367781,269.419452887538,285.97872340425533,302.67173252279633,319.01519756838906,334.0273556231003,349.53495440729483,364.30395136778117,377.5683890577508,390.08814589665656,402.8723404255319,415.0516717325228,426.98480243161094,436.75683890577506,445.84802431610944,454.65045592705167,462.4954407294833,472.2218844984802
reviews_per_program,533.1945288753799,520.0243161094224,68.28571428571429,54.38297872340426,72.51063829787235,90.63829787234043,108.7629179331307,126.88449848024317,144.95440729483283,163.0030395136778,181.08510638297872,198.98176291793314,216.75683890577508,234.50151975683892,252.06382978723406,269.7082066869301,286.24316109422494,302.7294832826748,318.0303951367781,333.5744680851064,349.6048632218845,363.13981762917933,378.0516717325228,390.85410334346506,403.55927051671733,414.58966565349544,426.8510638297872,434.84802431610944,445.67173252279633,452.72340425531917,463.3343465045593,467.72036474164133
