Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,4785.0,4364.0,4364.0,4364.0,4364.0,4364.0,4370.0,4375.0,4372.0,4386.0,4407.0,4420.0,4436.0,4457.0,4479.0,4491.0,4509.0,4513.0,4539.0,4547.0,4589.0,4607.0,4590.0,4602.0,4638.0,4641.0,4633.0,4643.0,4669.0,4689.0,4662.0,4682.0,4709.0,4696.0,4693.0,4719.0,4736.0,4752.0,4723.0,4737.0,4745.0
unmatched_applicants,4791.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4372.0,4369.0,4393.0,4410.0,4435.0,4441.0,4451.0,4460.0,4489.0,4523.0,4529.0,4539.0,4547.0,4590.0,4590.0,4589.0,4603.0,4641.0,4634.0,4652.0,4650.0,4677.0,4669.0,4655.0,4694.0,4714.0,4706.0,4714.0,4725.0,4728.0,4728.0,4741.0,4725.0,4759.0
unmatched_applicants,4782.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4377.0,4373.0,4387.0,4412.0,4424.0,4430.0,4451.0,4474.0,4492.0,4516.0,4541.0,4531.0,4544.0,4592.0,4597.0,4599.0,4594.0,4627.0,4641.0,4662.0,4624.0,4673.0,4688.0,4676.0,4690.0,4703.0,4698.0,4727.0,4710.0,4728.0,4745.0,4737.0,4738.0,4758.0
unmatched_applicants,4789.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4371.0,4369.0,4391.0,4405.0,4429.0,4426.0,4451.0,4476.0,4483.0,4511.0,4520.0,4534.0,4557.0,4594.0,4582.0,4600.0,4602.0,4644.0,4650.0,4646.0,4641.0,4671.0,4685.0,4685.0,4668.0,4715.0,4732.0,4697.0,4695.0,4732.0,4727.0,4759.0,4732.0,4757.0
unmatched_applicants,4767.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0,4370.0,4367.0,4393.0,4407.0,4416.0,4424.0,4448.0,4467.0,4490.0,4503.0,4520.0,4529.0,4548.0,4583.0,4581.0,4579.0,4593.0,4646.0,4630.0,4670.0,4636.0,4680.0,4668.0,4663.0,4699.0,4712.0,4723.0,4722.0,4707.0,4739.0,4751.0,4746.0,4752.0,4749.0
unmatched_applicants,4779.0,4364.0,4364.0,4364.0,4364.0,4364.0,4369.0,4372.0,4374.0,4396.0,4409.0,4424.0,4436.0,4460.0,4484.0,4498.0,4522.0,4532.0,4539.0,4542.0,4590.0,4570.0,4596.0,4600.0,4651.0,4647.0,4642.0,4639.0,4660.0,4682.0,4685.0,4713.0,4707.0,4719.0,4729.0,4696.0,4732.0,4752.0,4744.0,4715.0,4764.0
unmatched_applicants,4765.0,4364.0,4364.0,4364.0,4364.0,4364.0,4365.0,4376.0,4370.0,4379.0,4408.0,4423.0,4449.0,4449.0,4480.0,4486.0,4520.0,4528.0,4539.0,4538.0,4578.0,4583.0,4601.0,4608.0,4646.0,4648.0,4642.0,4638.0,4686.0,4688.0,4682.0,4673.0,4704.0,4718.0,4722.0,4727.0,4731.0,4741.0,4737.0,4722.0,4745.0
unmatched_applicants,4772.0,4364.0,4364.0,4364.0,4364.0,4364.0,4373.0,4371.0,4377.0,4384.0,4406.0,4433.0,4440.0,4452.0,4487.0,4480.0,4500.0,4528.0,4532.0,4540.0,4566.0,4591.0,4581.0,4598.0,4628.0,4635.0,4641.0,4634.0,4680.0,4683.0,4689.0,4679.0,4707.0,4713.0,4709.0,4700.0,4745.0,4738.0,4748.0,4752.0,4762.0
unmatched_applicants,4778.0,4364.0,4364.0,4364.0,4364.0,4364.0,4366.0,4365.0,4374.0,4377.0,4407.0,4433.0,4428.0,4448.0,4462.0,4499.0,4500.0,4511.0,4536.0,4542.0,4581.0,4578.0,4575.0,4594.0,4625.0,4640.0,4639.0,4641.0,4680.0,4676.0,4676.0,4684.0,4717.0,4698.0,4706.0,4715.0,4730.0,4736.0,4742.0,4732.0,4753.0
unmatched_applicants,4790.0,4364.0,4364.0,4364.0,4364.0,4364.0,4367.0,4368.0,4366.0,4376.0,4405.0,4424.0,4430.0,4463.0,4477.0,4484.0,4523.0,4530.0,4534.0,4537.0,4590.0,4591.0,4598.0,4606.0,4646.0,4632.0,4633.0,4629.0,4687.0,4678.0,4684.0,4694.0,4713.0,4705.0,4716.0,4721.0,4730.0,4714.0,4712.0,4737.0,4752.0
unfilled_spots,421.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,8.0,22.0,43.0,56.0,72.0,93.0,115.0,127.0,145.0,149.0,175.0,183.0,225.0,243.0,226.0,238.0,274.0,277.0,269.0,279.0,305.0,325.0,298.0,318.0,345.0,332.0,329.0,355.0,372.0,388.0,359.0,373.0,381.0
unfilled_spots,427.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,29.0,46.0,71.0,77.0,87.0,96.0,125.0,159.0,165.0,175.0,183.0,226.0,226.0,225.0,239.0,277.0,270.0,288.0,286.0,313.0,305.0,291.0,330.0,350.0,342.0,350.0,361.0,364.0,364.0,377.0,361.0,395.0
unfilled_spots,418.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,23.0,48.0,60.0,66.0,87.0,110.0,128.0,152.0,177.0,167.0,180.0,228.0,233.0,235.0,230.0,263.0,277.0,298.0,260.0,309.0,324.0,312.0,326.0,339.0,334.0,363.0,346.0,364.0,381.0,373.0,374.0,394.0
unfilled_spots,425.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,27.0,41.0,65.0,62.0,87.0,112.0,119.0,147.0,156.0,170.0,193.0,230.0,218.0,236.0,238.0,280.0,286.0,282.0,277.0,307.0,321.0,321.0,304.0,351.0,368.0,333.0,331.0,368.0,363.0,395.0,368.0,393.0
unfilled_spots,403.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,29.0,43.0,52.0,60.0,84.0,103.0,126.0,139.0,156.0,165.0,184.0,219.0,217.0,215.0,229.0,282.0,266.0,306.0,272.0,316.0,304.0,299.0,335.0,348.0,359.0,358.0,343.0,375.0,387.0,382.0,388.0,385.0
unfilled_spots,415.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,10.0,32.0,45.0,60.0,72.0,96.0,120.0,134.0,158.0,168.0,175.0,178.0,226.0,206.0,232.0,236.0,287.0,283.0,278.0,275.0,296.0,318.0,321.0,349.0,343.0,355.0,365.0,332.0,368.0,388.0,380.0,351.0,400.0
unfilled_spots,401.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,15.0,44.0,59.0,85.0,85.0,116.0,122.0,156.0,164.0,175.0,174.0,214.0,219.0,237.0,244.0,282.0,284.0,278.0,274.0,322.0,324.0,318.0,309.0,340.0,354.0,358.0,363.0,367.0,377.0,373.0,358.0,381.0
unfilled_spots,408.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,13.0,20.0,42.0,69.0,76.0,88.0,123.0,116.0,136.0,164.0,168.0,176.0,202.0,227.0,217.0,234.0,264.0,271.0,277.0,270.0,316.0,319.0,325.0,315.0,343.0,349.0,345.0,336.0,381.0,374.0,384.0,388.0,398.0
unfilled_spots,414.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,13.0,43.0,69.0,64.0,84.0,98.0,135.0,136.0,147.0,172.0,178.0,217.0,214.0,211.0,230.0,261.0,276.0,275.0,277.0,316.0,312.0,312.0,320.0,353.0,334.0,342.0,351.0,366.0,372.0,378.0,368.0,389.0
unfilled_spots,426.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,12.0,41.0,60.0,66.0,99.0,113.0,120.0,159.0,166.0,170.0,173.0,226.0,227.0,234.0,242.0,282.0,268.0,269.0,265.0,323.0,314.0,320.0,330.0,349.0,341.0,352.0,357.0,366.0,350.0,348.0,373.0,388.0
reviews_per_program,537.9908814589666,535.1185410334347,211.9756838905775,55.869300911854104,72.51063829787235,90.63829787234043,108.7629179331307,126.87537993920972,144.98176291793314,163.01215805471125,181.01823708206686,199.0243161094225,216.88753799392097,234.3434650455927,251.9696048632219,269.6534954407295,286.0547112462006,302.64741641337383,318.9635258358663,333.5197568389058,349.60182370820667,363.3829787234043,377.951367781155,390.58358662613983,402.1671732522796,413.4255319148936,425.0121580547112,436.6170212765957,445.4133738601824,454.322188449848,461.8723404255319,471.1337386018237,478.1550151975684,484.37993920972644,489.9483282674772,492.2158054711246,499.6595744680851,503.9574468085106,504.80547112462006,511.2826747720365,513.5592705167173
reviews_per_program,536.6018237082067,535.419452887538,216.7659574468085,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.87537993920972,144.9696048632219,163.0547112462006,181.07294832826747,198.93009118541033,216.77203647416414,234.43768996960486,251.93313069908814,269.18844984802433,285.9452887537994,302.8085106382979,318.3191489361702,334.5927051671733,349.2158054711246,364.9179331306991,377.90273556231006,389.67173252279633,403.45896656534956,416.44072948328267,426.5045592705167,436.2857142857143,445.3677811550152,456.13981762917933,460.7294832826748,470.13981762917933,475.8419452887538,484.3647416413374,488.0364741641337,492.94224924012155,500.48632218844983,502.35562310030394,506.86018237082067,506.370820668693,513.8328267477203
reviews_per_program,534.6960486322189,529.2492401215806,219.419452887538,55.851063829787236,72.51063829787235,90.63829787234043,108.7629179331307,126.89057750759878,144.98480243161094,163.04559270516717,181.14893617021278,198.9483282674772,216.95136778115503,234.49240121580547,251.80243161094225,268.4468085106383,286.4224924012158,302.58966565349544,318.8723404255319,334.29787234042556,348.7325227963526,363.1975683890578,378.3465045592705,390.3829787234043,401.63829787234044,413.69604863221883,425.2370820668693,437.16413373860183,446.90881458966567,454.5775075987842,462.82370820668694,471.0273556231003,476.72340425531917,483.2036474164134,490.09726443768994,494.2613981762918,497.17021276595744,505.93617021276594,506.79939209726444,510.6413373860182,513.9604863221884
reviews_per_program,536.4042553191489,528.355623100304,195.5835866261398,55.82066869300912,72.51063829787235,90.63829787234043,108.76595744680851,126.8693009118541,144.9452887537994,163.04255319148936,181.01823708206686,198.93920972644378,216.72948328267478,234.56838905775075,251.90881458966567,268.80547112462006,285.6413373860182,302.419452887538,318.7629179331307,333.41641337386017,348.49240121580544,363.0364741641337,377.30091185410333,391.09422492401217,404.1246200607903,413.69300911854106,427.9574468085106,435.0607902735562,445.6170212765957,453.2948328267477,461.8662613981763,469.8966565349544,478.8510638297872,482.1489361702128,488.3647416413374,492.2857142857143,496.90273556231006,502.6565349544073,509.30699088145894,514.3373860182371,511.9483282674772
