Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unmatched_applicants,1836.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1725.0,1726.0,1725.0,1735.0,1731.0,1741.0,1740.0,1749.0,1751.0,1756.0,1763.0,1761.0,1769.0,1768.0,1767.0,1773.0
unmatched_applicants,1821.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1729.0,1723.0,1738.0,1734.0,1739.0,1740.0,1744.0,1754.0,1748.0,1754.0,1761.0,1772.0,1765.0,1766.0,1768.0
unmatched_applicants,1847.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1724.0,1730.0,1732.0,1740.0,1741.0,1743.0,1752.0,1750.0,1753.0,1764.0,1761.0,1760.0,1770.0,1773.0
unmatched_applicants,1832.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1723.0,1724.0,1725.0,1736.0,1728.0,1740.0,1742.0,1749.0,1746.0,1756.0,1761.0,1755.0,1760.0,1766.0,1764.0,1769.0
unmatched_applicants,1829.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1723.0,1725.0,1733.0,1734.0,1728.0,1734.0,1749.0,1742.0,1751.0,1758.0,1758.0,1760.0,1759.0,1763.0,1763.0,1778.0
unmatched_applicants,1839.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1726.0,1735.0,1735.0,1736.0,1737.0,1751.0,1751.0,1752.0,1753.0,1756.0,1762.0,1769.0,1768.0,1771.0
unmatched_applicants,1835.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1724.0,1723.0,1727.0,1730.0,1728.0,1742.0,1745.0,1749.0,1744.0,1750.0,1762.0,1760.0,1766.0,1769.0,1769.0,1773.0
unmatched_applicants,1837.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1729.0,1733.0,1734.0,1732.0,1741.0,1745.0,1752.0,1750.0,1765.0,1755.0,1770.0,1772.0,1773.0,1772.0
unmatched_applicants,1840.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1726.0,1729.0,1731.0,1733.0,1731.0,1744.0,1744.0,1749.0,1754.0,1757.0,1757.0,1761.0,1763.0,1771.0,1771.0
unmatched_applicants,1844.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1729.0,1731.0,1732.0,1732.0,1740.0,1747.0,1748.0,1750.0,1764.0,1757.0,1760.0,1770.0,1770.0,1769.0,1769.0
unfilled_spots,113.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,12.0,8.0,18.0,17.0,26.0,28.0,33.0,40.0,38.0,46.0,45.0,44.0,50.0
unfilled_spots,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,15.0,11.0,16.0,17.0,21.0,31.0,25.0,31.0,38.0,49.0,42.0,43.0,45.0
unfilled_spots,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,9.0,17.0,18.0,20.0,29.0,27.0,30.0,41.0,38.0,37.0,47.0,50.0
unfilled_spots,109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.0,5.0,17.0,19.0,26.0,23.0,33.0,38.0,32.0,37.0,43.0,41.0,46.0
unfilled_spots,106.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,11.0,5.0,11.0,26.0,19.0,28.0,35.0,35.0,37.0,36.0,40.0,40.0,55.0
unfilled_spots,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0,12.0,13.0,14.0,28.0,28.0,29.0,30.0,33.0,39.0,46.0,45.0,48.0
unfilled_spots,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,7.0,5.0,19.0,22.0,26.0,21.0,27.0,39.0,37.0,43.0,46.0,46.0,50.0
unfilled_spots,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,11.0,9.0,18.0,22.0,29.0,27.0,42.0,32.0,47.0,49.0,50.0,49.0
unfilled_spots,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,8.0,10.0,8.0,21.0,21.0,26.0,31.0,34.0,34.0,38.0,40.0,48.0,48.0
unfilled_spots,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,9.0,9.0,17.0,24.0,25.0,27.0,41.0,34.0,37.0,47.0,47.0,46.0,46.0
