Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,274.0,210.0,210.0,208.0,208.0,208.0,210.0,210.0,209.0,211.0
unmatched_applicants,276.0,211.0,210.0,208.0,208.0,208.0,208.0,210.0,214.0,216.0
unmatched_applicants,293.0,209.0,208.0,209.0,208.0,208.0,208.0,208.0,210.0,216.0
unmatched_applicants,278.0,212.0,213.0,208.0,208.0,208.0,209.0,210.0,208.0,212.0
unmatched_applicants,283.0,216.0,209.0,209.0,208.0,209.0,208.0,209.0,209.0,214.0
unmatched_applicants,283.0,209.0,208.0,209.0,208.0,208.0,208.0,209.0,213.0,213.0
unmatched_applicants,280.0,213.0,209.0,208.0,208.0,208.0,209.0,208.0,211.0,214.0
unmatched_applicants,268.0,212.0,209.0,208.0,208.0,208.0,210.0,214.0,213.0,211.0
unmatched_applicants,278.0,212.0,210.0,208.0,208.0,208.0,208.0,209.0,213.0,212.0
unmatched_applicants,286.0,214.0,210.0,208.0,208.0,208.0,209.0,211.0,210.0,212.0
unfilled_spots,66.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
unfilled_spots,68.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0
unfilled_spots,85.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0
unfilled_spots,70.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0
unfilled_spots,75.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0
unfilled_spots,75.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0
unfilled_spots,72.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0
unfilled_spots,60.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,3.0
unfilled_spots,70.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0
unfilled_spots,78.0,6.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0
reviews_per_program,114.82644628099173,118.07438016528926,114.39669421487604,91.75206611570248,52.81818181818182,35.925619834710744,28.776859504132233,28.99173553719008,31.446280991735538,35.37190082644628
reviews_per_program,114.0,116.46280991735537,113.44628099173553,94.15702479338843,58.31404958677686,37.049586776859506,30.570247933884296,28.289256198347108,31.421487603305785,35.40495867768595
reviews_per_program,119.19834710743801,117.25619834710744,111.80165289256199,93.72727272727273,52.88429752066116,34.45454545454545,26.60330578512397,28.884297520661157,31.47107438016529,35.37190082644628
reviews_per_program,117.04132231404958,116.0909090909091,112.41322314049587,94.28099173553719,53.925619834710744,35.239669421487605,27.41322314049587,29.016528925619834,31.47107438016529,35.40495867768595
reviews_per_program,115.2892561983471,113.55371900826447,113.36363636363636,97.3801652892562,58.099173553719005,36.53719008264463,31.50413223140496,28.264462809917354,31.47107438016529,35.3801652892562
reviews_per_program,114.1900826446281,114.57851239669421,113.54545454545455,93.15702479338843,57.12396694214876,37.66115702479339,29.553719008264462,29.867768595041323,31.47107438016529,35.396694214876035
reviews_per_program,114.47933884297521,115.74380165289256,115.45454545454545,92.25619834710744,58.06611570247934,37.446280991735534,27.570247933884296,30.03305785123967,32.86776859504132,35.396694214876035
reviews_per_program,116.12396694214875,114.95867768595042,112.09917355371901,92.4297520661157,58.43801652892562,35.37190082644628,28.09917355371901,30.65289256198347,31.47107438016529,35.33884297520661
reviews_per_program,113.47107438016529,119.05785123966942,114.07438016528926,92.96694214876032,60.107438016528924,38.64462809917355,27.34710743801653,28.975206611570247,31.429752066115704,35.3801652892562
reviews_per_program,116.75206611570248,118.49586776859505,115.47107438016529,92.0495867768595,58.30578512396694,35.578512396694215,27.363636363636363,28.239669421487605,31.47107438016529,35.37190082644628
pct_interview_given_signal,0.0,1.0,0.9989495798319328,0.9593837535014006,0.8823529411764706,0.761344537815126,0.6502100840336135,0.562124849939976,0.49303547963206307,0.4383177570093458
pct_interview_given_signal,0.0,1.0,1.0,0.9642857142857143,0.8807773109243697,0.7588235294117647,0.6509103641456583,0.5627627627627627,0.4934245134139926,0.43790849673202614
pct_interview_given_signal,0.0,1.0,0.9989495798319328,0.9796918767507002,0.8613445378151261,0.7672268907563026,0.6537114845938375,0.5609243697478992,0.49264705882352944,0.4383177570093458
pct_interview_given_signal,0.0,1.0,1.0,0.9705882352941176,0.8707983193277311,0.7642857142857142,0.6498599439775911,0.5624249699879952,0.49264705882352944,0.43790849673202614
pct_interview_given_signal,0.0,1.0,0.9989495798319328,0.9726890756302521,0.8797268907563025,0.7504201680672269,0.6460084033613446,0.5624249699879952,0.49264705882352944,0.438215370240598
pct_interview_given_signal,0.0,1.0,0.9978991596638656,0.9628851540616247,0.8676470588235294,0.7495798319327731,0.6498599439775911,0.5609609609609609,0.49264705882352944,0.4380107401354191
pct_interview_given_signal,0.0,1.0,0.9989495798319328,0.9677871148459384,0.8702731092436975,0.7487394957983193,0.6533613445378151,0.56062424969988,0.49185924369747897,0.4380107401354191
pct_interview_given_signal,0.0,1.0,0.9915966386554622,0.9635854341736695,0.8707983193277311,0.7525210084033613,0.6525394045534151,0.5606606606606607,0.49264705882352944,0.43872778297474274
pct_interview_given_signal,0.0,1.0,0.9957983193277311,0.9754901960784313,0.8592436974789915,0.7525210084033613,0.6512605042016807,0.5607925547883519,0.49329476728898236,0.438215370240598
pct_interview_given_signal,0.0,1.0,0.9978991596638656,0.9642857142857143,0.8839285714285714,0.7508403361344538,0.6516106442577031,0.562124849939976,0.49264705882352944,0.4383177570093458
pct_interview_given_nosignal,0.13502231178926155,0.10136847440446022,0.07007575757575757,0.040875676548994266,0.015749296906388106,0.005490263361070601,0.0016325829180271524,0.0002816636935499014,0.0,0.0
pct_interview_given_nosignal,0.1360011599246049,0.1028202115158637,0.07173913043478261,0.03876029206151934,0.016049681425921444,0.005813953488372093,0.0014983254010223867,0.0001817520901490367,0.0,0.0
pct_interview_given_nosignal,0.13007002704014423,0.10210035005834306,0.07299558080808081,0.03833172613307618,0.019374435596420655,0.0043391477913737745,0.0008180330848936557,0.0006625023660798789,0.0,0.0
pct_interview_given_nosignal,0.13246716565456856,0.10316115245744603,0.07182277497085114,0.03817091220690193,0.018174239266360984,0.00497338801151732,0.0017736786094359701,0.0001894477597802406,0.0,0.0
pct_interview_given_nosignal,0.13448028673835125,0.10554885404101327,0.07119766009852217,0.037984556586849696,0.016441717791411042,0.007739938080495356,0.002826404084609774,0.00018296587686396487,0.0,0.0
pct_interview_given_nosignal,0.13577477021061013,0.10457125784284434,0.07073561989152853,0.03925101848950172,0.018536908308507117,0.00818869603916333,0.0018570102135561746,0.0007545746085644218,0.0,0.0
pct_interview_given_nosignal,0.1354317066127635,0.10348141030379185,0.0699327133892795,0.04006488240064882,0.01772418258336031,0.007870060281312792,0.0009227646027498385,0.0007348888480617307,0.0003077870113881194,0.0
pct_interview_given_nosignal,0.1335136289232083,0.10421319041238648,0.0720470006184292,0.0403518682915019,0.01815305187775835,0.007240821194309566,0.0011662330671929667,0.0008229700073152889,0.0,0.0
pct_interview_given_nosignal,0.1366351056081573,0.10050251256281408,0.07000075431847326,0.038464601417536035,0.019510608893585888,0.00732379803549888,0.001467620620069712,0.0007652573177731012,0.0,0.0
pct_interview_given_nosignal,0.1327953564097119,0.10099552734093205,0.07049330085261876,0.04041140265630062,0.016047227072420386,0.0076329331046312175,0.001422475106685633,0.00027896596615212943,0.0,0.0
pct_interview_given_application,0.13502231178926155,0.13130818226359628,0.1325607687959299,0.13587310784384732,0.1307408181754826,0.13364679062477738,0.1294328687732855,0.13416291210755918,0.129880919412905,0.13308740068104427
pct_interview_given_application,0.1360011599246049,0.13312517740562022,0.13562753036437247,0.13117046566913718,0.13116129483325176,0.13009708737864079,0.13209407125756936,0.1308776335984373,0.1368444087825516,0.135647143890094
pct_interview_given_application,0.13007002704014423,0.13222441499859036,0.1376981796829125,0.13523644752018454,0.13319133830315938,0.13493490613536646,0.13537306970702842,0.1349834508562383,0.13155680224403926,0.13553933964308937
pct_interview_given_application,0.13246716565456856,0.13355164803872713,0.13577477021061013,0.13151069050122677,0.13497373911792215,0.13553933964308937,0.13274837248797056,0.13507091943264454,0.13685439159614823,0.13396172522136532
pct_interview_given_application,0.13448028673835125,0.13653566229985445,0.13453815261044177,0.1316583619903151,0.13277655885059098,0.13392347230154197,0.13570601851851852,0.1315291313187969,0.131197985873138,0.13292708849996457
pct_interview_given_application,0.13577477021061013,0.1353144835545297,0.1335896888129317,0.13218714768883877,0.13411495567629397,0.13778920308483292,0.13767796858946132,0.1346540338788401,0.1360011599246049,0.14033512866546977
pct_interview_given_application,0.1354317066127635,0.13395215994287754,0.13230834332463504,0.1363570286378834,0.13155680224403926,0.13096900307176768,0.13700430877090483,0.13194542129694753,0.1383991147178163,0.13407661520869069
pct_interview_given_application,0.1335136289232083,0.1348670021567218,0.1350806451612903,0.13575511976264562,0.13483792136850428,0.13287059990084282,0.1339808598771604,0.13150147203140333,0.1324391104835863,0.1343743284864981
pct_interview_given_application,0.1366351056081573,0.13022351797862003,0.1320289957069463,0.13414372542009295,0.13206617388243577,0.13413413413413414,0.1363570286378834,0.13608995284729777,0.13476043387687667,0.13463470647337447
pct_interview_given_application,0.1327953564097119,0.1308411214953271,0.13316297558205564,0.13617886178861788,0.13466369966262293,0.1336182336182336,0.13998955301843147,0.13318188272043163,0.1370543541788428,0.13334281043428814
pct_of_app_match_via_signal_given_matched,0.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9584905660377359,0.9962406015037594,0.996268656716418,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9400749063670412,0.996268656716418,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9583333333333334,0.9961977186311787,0.996268656716418,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9346153846153846,0.9925093632958801,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.951310861423221,0.9925373134328358,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9505703422053232,0.9962546816479401,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9318181818181818,0.9887640449438202,0.996268656716418,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9356060606060606,0.9962406015037594,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9618320610687023,0.9887218045112782,1.0,1.0,1.0,1.0,1.0,1.0,1.0
