Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,265.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,239.0,236.0,238.0,244.0,245.0,238.0,243.0,244.0,246.0,249.0,250.0,252.0,248.0,254.0,252.0
unmatched_applicants,266.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,238.0,241.0,237.0,236.0,243.0,246.0,248.0,245.0,244.0,247.0,251.0,251.0,251.0,253.0,253.0
unmatched_applicants,259.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,237.0,240.0,240.0,239.0,241.0,242.0,244.0,247.0,244.0,250.0,250.0,248.0,250.0,251.0,255.0
unmatched_applicants,258.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,237.0,240.0,240.0,242.0,242.0,245.0,246.0,246.0,249.0,247.0,250.0,249.0,251.0,254.0
unmatched_applicants,258.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,236.0,240.0,239.0,239.0,244.0,245.0,246.0,246.0,246.0,246.0,251.0,250.0,250.0,250.0,253.0
unmatched_applicants,265.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,235.0,236.0,237.0,241.0,243.0,242.0,241.0,251.0,248.0,249.0,252.0,250.0,247.0,251.0,253.0
unmatched_applicants,265.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,237.0,236.0,237.0,241.0,241.0,242.0,246.0,247.0,248.0,250.0,248.0,252.0,253.0,253.0,253.0
unmatched_applicants,269.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,236.0,236.0,237.0,240.0,240.0,240.0,245.0,243.0,248.0,247.0,252.0,253.0,253.0,254.0,253.0
unmatched_applicants,265.0,236.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,234.0,235.0,234.0,238.0,237.0,240.0,243.0,242.0,244.0,248.0,249.0,248.0,251.0,254.0,250.0,252.0,254.0
unmatched_applicants,266.0,234.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,239.0,236.0,236.0,243.0,244.0,244.0,247.0,248.0,244.0,251.0,255.0,252.0,250.0,257.0
unfilled_spots,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,4.0,10.0,11.0,4.0,9.0,10.0,12.0,15.0,16.0,18.0,14.0,20.0,18.0
unfilled_spots,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,2.0,9.0,12.0,14.0,11.0,10.0,13.0,17.0,17.0,17.0,19.0,19.0
unfilled_spots,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,5.0,7.0,8.0,10.0,13.0,10.0,16.0,16.0,14.0,16.0,17.0,21.0
unfilled_spots,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,6.0,6.0,8.0,8.0,11.0,12.0,12.0,15.0,13.0,16.0,15.0,17.0,20.0
unfilled_spots,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,5.0,5.0,10.0,11.0,12.0,12.0,12.0,12.0,17.0,16.0,16.0,16.0,19.0
unfilled_spots,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,7.0,9.0,8.0,7.0,17.0,14.0,15.0,18.0,16.0,13.0,17.0,19.0
unfilled_spots,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,7.0,7.0,8.0,12.0,13.0,14.0,16.0,14.0,18.0,19.0,19.0,19.0
unfilled_spots,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,11.0,9.0,14.0,13.0,18.0,19.0,19.0,20.0,19.0
unfilled_spots,31.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,6.0,9.0,8.0,10.0,14.0,15.0,14.0,17.0,20.0,16.0,18.0,20.0
unfilled_spots,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,2.0,9.0,10.0,10.0,13.0,14.0,10.0,17.0,21.0,18.0,16.0,23.0
reviews_per_program,115.24793388429752,116.9504132231405,112.07438016528926,115.67768595041322,114.5702479338843,94.18181818181819,67.88429752066116,48.264462809917354,37.1900826446281,36.72727272727273,39.27272727272727,43.87603305785124,47.082644628099175,50.917355371900825,54.752066115702476,58.388429752066116,61.87603305785124,65.47933884297521,69.1900826446281,72.46280991735537,75.52066115702479,79.43801652892562,81.72727272727273,83.52892561983471,87.56198347107438,88.85950413223141,93.14876033057851,94.65289256198348,95.58677685950413,97.6694214876033
reviews_per_program,118.24793388429752,117.85123966942149,115.64462809917356,119.5702479338843,111.82644628099173,98.34710743801652,71.08264462809917,42.0,40.446280991735534,36.93388429752066,39.289256198347104,43.14049586776859,47.049586776859506,50.83471074380165,54.87603305785124,58.62809917355372,62.43801652892562,66.10743801652893,69.26446280991736,72.63636363636364,75.95867768595042,79.26446280991736,83.10743801652893,84.56198347107438,86.6694214876033,91.81818181818181,92.70247933884298,94.84297520661157,96.16528925619835,99.20661157024793
reviews_per_program,117.29752066115702,112.0,116.91735537190083,117.19834710743801,111.08264462809917,102.66115702479338,75.00826446280992,47.45454545454545,35.85950413223141,36.8099173553719,39.30578512396694,43.20661157024794,47.099173553719005,50.950413223140494,54.67768595041322,58.65289256198347,62.06611570247934,65.5702479338843,69.53719008264463,72.16528925619835,75.93388429752066,78.86776859504133,81.5702479338843,84.43801652892562,86.76859504132231,89.60330578512396,92.70247933884298,94.29752066115702,96.52892561983471,97.46280991735537
reviews_per_program,115.48760330578513,112.11570247933884,115.47107438016529,115.66115702479338,115.75206611570248,100.1900826446281,72.4297520661157,47.62809917355372,35.760330578512395,35.388429752066116,39.289256198347104,43.247933884297524,47.082644628099175,50.87603305785124,54.67768595041322,58.29752066115702,62.256198347107436,65.45454545454545,68.91735537190083,72.29752066115702,75.94214876033058,78.6694214876033,82.17355371900827,85.37190082644628,87.76859504132231,89.06611570247934,93.74380165289256,95.3801652892562,95.01652892561984,98.6198347107438
reviews_per_program,117.98347107438016,115.94214876033058,114.26446280991736,117.29752066115702,111.2396694214876,99.27272727272727,71.16528925619835,43.12396694214876,34.3801652892562,35.396694214876035,39.28099173553719,43.14049586776859,46.98347107438016,51.02479338842975,54.77685950413223,58.65289256198347,62.00826446280992,65.6198347107438,69.30578512396694,72.2892561983471,76.27272727272727,78.89256198347107,82.29752066115702,85.52892561983471,87.39669421487604,88.52066115702479,92.15702479338843,93.79338842975207,96.5702479338843,99.47107438016529
reviews_per_program,117.60330578512396,116.73553719008264,112.31404958677686,118.87603305785125,112.63636363636364,94.22314049586777,74.71900826446281,49.47107438016529,36.29752066115702,35.396694214876035,39.27272727272727,43.15702479338843,47.06611570247934,50.96694214876033,54.421487603305785,58.28099173553719,62.31404958677686,65.52066115702479,69.32231404958678,72.85950413223141,76.35537190082644,79.66115702479338,82.46280991735537,84.89256198347107,87.26446280991736,90.02479338842976,92.2396694214876,95.11570247933884,97.64462809917356,99.61157024793388
reviews_per_program,115.37190082644628,117.9504132231405,113.86776859504133,118.41322314049587,114.12396694214875,104.88429752066116,72.66115702479338,50.71900826446281,36.56198347107438,35.36363636363637,39.256198347107436,43.1900826446281,47.107438016528924,50.93388429752066,54.65289256198347,58.107438016528924,62.19834710743802,65.73553719008264,69.11570247933884,72.60330578512396,76.24793388429752,78.59504132231405,82.43801652892562,85.2892561983471,87.78512396694215,90.33884297520662,92.78512396694215,94.56198347107438,96.29752066115702,98.21487603305785
reviews_per_program,117.61157024793388,114.90082644628099,116.8099173553719,112.43801652892562,110.8099173553719,99.59504132231405,75.15702479338843,44.710743801652896,36.66942148760331,36.84297520661157,39.32231404958678,43.16528925619835,47.09090909090909,50.93388429752066,54.78512396694215,58.51239669421488,62.03305785123967,65.67768595041322,69.53719008264463,72.71900826446281,76.10743801652893,79.26446280991736,81.33884297520662,85.49586776859505,87.55371900826447,89.48760330578513,92.9504132231405,95.24793388429752,96.44628099173553,97.69421487603306
reviews_per_program,116.63636363636364,118.9090909090909,115.60330578512396,119.25619834710744,112.67768595041322,98.2396694214876,74.32231404958678,51.00826446280992,36.56198347107438,37.70247933884298,39.28099173553719,43.1900826446281,47.06611570247934,50.85123966942149,54.47933884297521,58.22314049586777,62.1900826446281,65.42148760330579,69.21487603305785,71.41322314049587,75.34710743801652,78.7603305785124,82.63636363636364,84.18181818181819,86.62809917355372,90.45454545454545,92.5702479338843,93.99173553719008,97.23140495867769,99.37190082644628
reviews_per_program,116.0909090909091,116.75206611570248,114.75206611570248,115.64462809917356,114.52066115702479,101.39669421487604,70.86776859504133,46.421487603305785,37.14876033057851,36.09090909090909,39.247933884297524,43.19834710743802,47.082644628099175,50.87603305785124,54.6198347107438,58.247933884297524,62.30578512396694,65.60330578512396,68.9090909090909,72.5702479338843,76.14876033057851,78.38842975206612,82.02479338842976,84.76859504132231,87.26446280991736,89.90082644628099,92.06611570247934,93.77685950413223,96.85950413223141,98.59504132231405
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9773109243697479,0.9278711484593838,0.8523409363745498,0.7578781512605042,0.6772684752104771,0.6111111111111112,0.5559386973180077,0.5097419694576093,0.4713520532381107,0.43833962264150944,0.4110403397027601,0.3878723120074796,0.36652783036728515,0.3468705207835643,0.3312043795620438,0.31779382797110967,0.3021223470661673,0.2936596218020022,0.2873256159097655,0.27409155261915996,0.2700892857142857,0.25765238221985626,0.2535580197328211,0.2510807539339443,0.2457268573362667
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9994747899159664,0.9823529411764705,0.9366024518388791,0.8531972380666466,0.7557773109243697,0.6774042950513539,0.6108540176693311,0.5563218390804597,0.5101001229580187,0.4721183547390668,0.43734939759036146,0.40936002255427123,0.3843812045003309,0.3630453806725841,0.346498031261186,0.3304130162703379,0.31596126645631595,0.3027838598686268,0.28878281622911695,0.2838154808444097,0.2769142748164394,0.2613861386138614,0.2588927520727467,0.25304984315092366,0.249570299071846,0.24191936021326224
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9978991596638656,0.9743697478991596,0.9317226890756303,0.8451380552220888,0.7584756898817345,0.6765530126109295,0.6105971404541631,0.5554705432287682,0.5095630812423232,0.4710462287104623,0.43893591293833134,0.40918698041425955,0.3866844207723036,0.3660196622132594,0.34513905395768957,0.3325698579935868,0.3160644318676535,0.30430682175416535,0.29422492401215805,0.28423216208280316,0.2765977712163063,0.26784726065301606,0.2588927520727467,0.2545135845749343,0.24863013698630138,0.2462477741032816
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9984243697478992,0.9819327731092437,0.9292717086834734,0.8535414165666266,0.7591911764705882,0.6781877627276973,0.6108540176693311,0.5549398050831263,0.5097419694576093,0.47173489278752434,0.43893591293833134,0.41168131556563653,0.3855037833532457,0.36666666666666664,0.3482431946276532,0.3319615912208505,0.31603003591250406,0.30507406240151275,0.2920647691843508,0.28112294288480155,0.2734463276836158,0.26946274473415605,0.25601692673895793,0.2516246425786327,0.2525876315560581,0.24335875303779436
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9936974789915967,0.9752100840336134,0.9376750700280112,0.8496398559423769,0.7591911764705882,0.6780294186318001,0.6109825373448349,0.5563218390804597,0.5108179419525066,0.4703595724003887,0.43814121907060954,0.40918698041425955,0.3870451819272291,0.36574307304785897,0.3462914381111376,0.3319995427003544,0.3146603098927294,0.30421118793211815,0.2916248242619,0.2806068219151609,0.2746099290780142,0.2711231444309588,0.260425073984396,0.2558815754692043,0.2485237483953787,0.24127617148554337
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9978991596638656,0.980672268907563,0.9334500875656743,0.8468468468468469,0.7588652482269503,0.6780294186318001,0.6111111111111112,0.5561087705859824,0.5099209833187006,0.47089346521809633,0.441002277904328,0.41179807146908676,0.38514588859416443,0.36629667003027244,0.34620886981402005,0.3294010889292196,0.314319731572681,0.30127606598194834,0.291040288634997,0.2827102803738318,0.27502604413296716,0.26659322500688515,0.26019173909147925,0.25232426796420193,0.24578925095217943,0.24093586658923088
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9989495798319328,0.9920168067226891,0.9247198879551821,0.8382352941176471,0.7568988173455979,0.6786632390745502,0.6113684210526316,0.5556831228473019,0.5094736842105263,0.4711990913516145,0.4391350370482383,0.41302801877400086,0.38586234387456814,0.3650993210963037,0.34724381202917615,0.33056346044393853,0.314762627357468,0.3053627760252366,0.2911278195488722,0.2813953488372093,0.27339484089625304,0.26566645320647697,0.258662153736528,0.25380178290508654,0.24922760041194644,0.24436216762032986
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9984243697478992,0.9794117647058823,0.9310224089635855,0.8537537537537537,0.7588018917498687,0.677095493812748,0.6103404791929382,0.5560022975301551,0.5096525096525096,0.4711990913516145,0.4380751244531604,0.4101694915254237,0.38689048760991207,0.3654209135522839,0.34513905395768957,0.3300375042618479,0.31534368552502984,0.3027838598686268,0.2950619792725056,0.28071532141130984,0.2741174249575231,0.26819357222016993,0.2582021872499333,0.2519739696312364,0.24884318766066837,0.24566449538956095
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9968487394957983,0.9815126050420168,0.92784588441331,0.8412364945978391,0.757551878119254,0.6763194768799626,0.6109825373448349,0.5556831228473019,0.5099209833187006,0.4719648951730863,0.4405339805825243,0.4122072391767211,0.3859136212624585,0.36685194542698335,0.3467462686567164,0.3360722138641361,0.31852583086541625,0.30472193074501575,0.29042904290429045,0.28509719222462204,0.2770463651974814,0.26532663316582916,0.2592625658423355,0.2553415985228172,0.24683382915427116,0.24151696606786427
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9989495798319328,0.9861344537815127,0.9257703081232493,0.8472388955582233,0.7584033613445378,0.6776377217553688,0.6114971572962729,0.5555768127032715,0.5097419694576093,0.47173489278752434,0.43940081706763506,0.4120317820658343,0.38519697572622363,0.36583522297808013,0.3482849604221636,0.33071404168090196,0.3151725634903408,0.30616763310490247,0.29259445843828713,0.2831237203860778,0.27502604413296716,0.2669608383894098,0.26068222621184917,0.2559266766546224,0.2477815699658703,0.24341994970662195
pct_interview_given_nosignal,0.20824668339906777,0.17755027422303474,0.15481005630898564,0.1174317765932055,0.08285004142502071,0.05023029460328496,0.023345588235294118,0.005809203957520196,0.0017069701280227596,0.0008412197686645636,0.0,0.0002209456473707468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2029633771316746,0.17614625652930935,0.14968177287017867,0.11319018404907975,0.08407525617335797,0.04930313588850174,0.020970094821298323,0.005876220263482134,0.0024509803921568627,0.00020820320632937748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20460790530543224,0.18568369531966963,0.14793482379689277,0.11573747353563868,0.08275634685130234,0.049475642760487146,0.02146832759077657,0.008044611024773746,0.0017566116912267006,0.0007164056903080545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
