Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
unmatched_applicants,266.0,211.0,208.0,208.0,208.0,208.0,209.0,208.0,208.0,214.0,212.0,215.0,216.0,216.0,224.0,220.0,232.0,227.0,230.0,233.0,242.0,240.0,242.0,240.0,247.0,247.0,242.0,249.0,255.0,250.0,250.0,254.0,256.0
unmatched_applicants,271.0,214.0,208.0,209.0,208.0,208.0,208.0,209.0,210.0,210.0,211.0,218.0,215.0,216.0,221.0,226.0,235.0,231.0,230.0,229.0,236.0,237.0,238.0,237.0,246.0,251.0,249.0,247.0,250.0,254.0,251.0,249.0,258.0
unmatched_applicants,269.0,211.0,208.0,208.0,208.0,208.0,208.0,209.0,208.0,210.0,215.0,216.0,216.0,220.0,224.0,222.0,228.0,228.0,231.0,234.0,238.0,237.0,240.0,245.0,244.0,250.0,247.0,252.0,251.0,254.0,254.0,255.0,262.0
unmatched_applicants,277.0,213.0,209.0,208.0,208.0,208.0,208.0,210.0,208.0,210.0,215.0,216.0,216.0,220.0,222.0,224.0,224.0,231.0,234.0,228.0,242.0,239.0,243.0,237.0,248.0,244.0,245.0,243.0,246.0,254.0,249.0,255.0,254.0
unmatched_applicants,283.0,213.0,208.0,208.0,208.0,208.0,209.0,209.0,210.0,209.0,213.0,217.0,216.0,216.0,221.0,226.0,228.0,227.0,232.0,236.0,235.0,237.0,247.0,240.0,241.0,245.0,248.0,246.0,255.0,255.0,246.0,253.0,256.0
unmatched_applicants,284.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,209.0,210.0,214.0,213.0,219.0,222.0,224.0,229.0,224.0,227.0,231.0,234.0,238.0,243.0,239.0,243.0,241.0,251.0,240.0,246.0,252.0,248.0,258.0,253.0,258.0
unmatched_applicants,262.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,210.0,212.0,215.0,214.0,220.0,220.0,220.0,226.0,225.0,230.0,234.0,230.0,237.0,243.0,235.0,238.0,249.0,247.0,241.0,242.0,253.0,257.0,262.0,251.0,258.0
unmatched_applicants,274.0,214.0,209.0,209.0,208.0,208.0,208.0,208.0,209.0,209.0,212.0,212.0,215.0,214.0,224.0,228.0,226.0,227.0,230.0,232.0,233.0,244.0,242.0,240.0,244.0,244.0,242.0,248.0,257.0,252.0,250.0,252.0,255.0
unmatched_applicants,271.0,212.0,209.0,208.0,208.0,208.0,209.0,208.0,209.0,213.0,211.0,215.0,217.0,223.0,222.0,222.0,230.0,226.0,234.0,228.0,240.0,239.0,239.0,243.0,248.0,250.0,246.0,242.0,242.0,252.0,258.0,254.0,257.0
unmatched_applicants,264.0,213.0,209.0,208.0,208.0,208.0,208.0,210.0,209.0,210.0,215.0,217.0,218.0,218.0,220.0,225.0,225.0,229.0,226.0,227.0,236.0,235.0,236.0,238.0,249.0,249.0,244.0,246.0,252.0,249.0,252.0,248.0,256.0
