Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unmatched_applicants,227.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,210.0,210.0,209.0,209.0,216.0,213.0,212.0,219.0,214.0,217.0,216.0,219.0,222.0,226.0,225.0,221.0,233.0,221.0,225.0,224.0,226.0,224.0,225.0,226.0
unmatched_applicants,232.0,208.0,210.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,212.0,208.0,210.0,211.0,212.0,213.0,217.0,217.0,216.0,217.0,216.0,218.0,222.0,224.0,222.0,223.0,222.0,223.0,230.0,232.0,226.0,225.0,225.0,231.0
unmatched_applicants,231.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,211.0,208.0,210.0,210.0,212.0,211.0,210.0,213.0,219.0,214.0,219.0,220.0,225.0,224.0,225.0,225.0,227.0,221.0,228.0,225.0,220.0,232.0,227.0,228.0
unmatched_applicants,234.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,211.0,208.0,210.0,210.0,213.0,214.0,212.0,216.0,213.0,215.0,220.0,223.0,223.0,223.0,227.0,225.0,225.0,230.0,226.0,225.0,222.0,225.0,230.0,223.0
unmatched_applicants,233.0,209.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,210.0,217.0,212.0,213.0,213.0,214.0,219.0,218.0,222.0,222.0,225.0,218.0,227.0,225.0,225.0,226.0,229.0,229.0,227.0,226.0,227.0,229.0
unmatched_applicants,233.0,210.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,212.0,208.0,208.0,210.0,211.0,214.0,213.0,215.0,213.0,219.0,219.0,222.0,217.0,221.0,224.0,220.0,224.0,222.0,223.0,230.0,228.0,224.0,223.0,231.0,228.0
unmatched_applicants,230.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,208.0,209.0,209.0,214.0,214.0,213.0,222.0,216.0,221.0,218.0,219.0,219.0,214.0,224.0,221.0,223.0,222.0,223.0,225.0,226.0,231.0,224.0,229.0,227.0
unmatched_applicants,231.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,210.0,210.0,209.0,213.0,214.0,214.0,215.0,215.0,216.0,219.0,217.0,219.0,226.0,222.0,225.0,223.0,233.0,230.0,227.0,224.0,225.0,227.0,224.0
unmatched_applicants,237.0,208.0,208.0,208.0,209.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,208.0,210.0,208.0,218.0,215.0,215.0,216.0,213.0,218.0,217.0,225.0,221.0,223.0,220.0,223.0,222.0,220.0,229.0,229.0,227.0,221.0,222.0,230.0,232.0
unmatched_applicants,233.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,210.0,208.0,214.0,212.0,211.0,216.0,216.0,219.0,220.0,220.0,219.0,219.0,221.0,224.0,224.0,219.0,230.0,222.0,225.0,227.0,233.0,223.0
