Parameter,0,1,2,3,4,5
unmatched_applicants,249.0,209.0,208.0,208.0,208.0,208.0
unmatched_applicants,259.0,210.0,208.0,208.0,208.0,208.0
unmatched_applicants,249.0,212.0,208.0,208.0,208.0,208.0
unmatched_applicants,246.0,212.0,208.0,209.0,208.0,208.0
unmatched_applicants,251.0,209.0,208.0,209.0,208.0,208.0
unmatched_applicants,248.0,209.0,208.0,208.0,208.0,208.0
unmatched_applicants,248.0,210.0,208.0,209.0,208.0,208.0
unmatched_applicants,246.0,209.0,208.0,208.0,208.0,208.0
unmatched_applicants,247.0,212.0,208.0,208.0,208.0,208.0
unmatched_applicants,240.0,213.0,209.0,208.0,208.0,208.0
unfilled_spots,41.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,51.0,2.0,0.0,0.0,0.0,0.0
unfilled_spots,41.0,4.0,0.0,0.0,0.0,0.0
unfilled_spots,38.0,4.0,0.0,1.0,0.0,0.0
unfilled_spots,43.0,1.0,0.0,1.0,0.0,0.0
unfilled_spots,40.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,40.0,2.0,0.0,1.0,0.0,0.0
unfilled_spots,38.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,39.0,4.0,0.0,0.0,0.0,0.0
unfilled_spots,32.0,5.0,1.0,0.0,0.0,0.0
reviews_per_program,115.01652892561984,114.1900826446281,112.54545454545455,115.00826446280992,107.77685950413223,91.32231404958678
reviews_per_program,122.00826446280992,117.11570247933884,117.84297520661157,116.35537190082644,108.36363636363636,92.77685950413223
reviews_per_program,114.86776859504133,120.58677685950413,114.7603305785124,116.79338842975207,110.39669421487604,93.20661157024793
reviews_per_program,115.35537190082644,117.12396694214875,115.64462809917356,117.0909090909091,112.7603305785124,93.57851239669421
reviews_per_program,114.86776859504133,114.16528925619835,117.72727272727273,114.88429752066116,112.51239669421487,94.69421487603306
reviews_per_program,113.74380165289256,115.42148760330579,117.24793388429752,114.53719008264463,109.99173553719008,92.63636363636364
reviews_per_program,115.83471074380165,118.68595041322314,116.25619834710744,112.94214876033058,112.95867768595042,92.03305785123968
reviews_per_program,114.18181818181819,117.34710743801652,116.85123966942149,113.56198347107438,107.59504132231405,90.0909090909091
reviews_per_program,114.86776859504133,116.0909090909091,116.65289256198348,113.74380165289256,107.19834710743801,90.29752066115702
reviews_per_program,116.90082644628099,115.91735537190083,114.00826446280992,118.12396694214875,108.93388429752066,93.28099173553719
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9873949579831933,0.9714285714285714
pct_interview_given_signal,0.0,1.0,1.0,0.9992997198879552,0.9847689075630253,0.9781512605042016
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9921218487394958,0.969327731092437
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9968487394957983,0.9642857142857143
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9957983193277311,0.9668067226890756
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9963235294117647,0.961764705882353
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9968487394957983,0.9735294117647059
pct_interview_given_signal,0.0,1.0,1.0,0.9964985994397759,0.9894957983193278,0.9638655462184874
pct_interview_given_signal,0.0,1.0,1.0,0.9985994397759104,0.9926470588235294,0.965546218487395
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9957983193277311,0.9588235294117647
pct_interview_given_nosignal,0.21182726162247612,0.18529345626264898,0.15758724143375968,0.12171684817424727,0.08656885790710869,0.054452054794520546
pct_interview_given_nosignal,0.199688410214726,0.1805038335158817,0.14999624257909372,0.11926605504587157,0.08802296964725184,0.052475666525603044
pct_interview_given_nosignal,0.2121015900424491,0.17513283740701382,0.1543219421679295,0.11964735516372796,0.08567961165048543,0.05401078530502191
pct_interview_given_nosignal,0.21120504370253618,0.18049065420560748,0.15305574725864582,0.11930926216640503,0.0865123177061877,0.05515668553087254
pct_interview_given_nosignal,0.2121015900424491,0.18533513270355376,0.1501542165049274,0.12186322456506053,0.08534112111624889,0.054733102106420774
pct_interview_given_nosignal,0.21419748601322386,0.18324684951816161,0.15081224027200604,0.12227495776687314,0.08642381383109941,0.05508651676001003
pct_interview_given_nosignal,0.2103310502283105,0.1780338494778538,0.15219214639725506,0.12420330119300539,0.08722379132746304,0.05376160858822527
pct_interview_given_nosignal,0.21337579617834396,0.18013553887633899,0.1513611890498218,0.12300371027585094,0.08870362651104627,0.0577891667403022
pct_interview_given_nosignal,0.2121015900424491,0.18215312062486183,0.15163716478006534,0.12241615056703933,0.0879248732651874,0.054750673854447436
pct_interview_given_nosignal,0.20841286673736303,0.18243542435424354,0.15541540138596902,0.11815001943256899,0.08654874537227479,0.05642633228840126
