Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1144.0,847.0,844.0,844.0,844.0,844.0,849.0,860.0,857.0,867.0,894.0,892.0,911.0,919.0,926.0,941.0,964.0,965.0,980.0,978.0,992.0,1015.0,1013.0,1012.0,1055.0,1063.0,1047.0,1064.0,1076.0,1069.0,1076.0,1085.0,1123.0,1090.0,1106.0,1088.0,1119.0,1120.0,1124.0,1117.0,1117.0
unmatched_applicants,1136.0,846.0,844.0,844.0,844.0,845.0,846.0,860.0,861.0,874.0,887.0,904.0,906.0,923.0,940.0,949.0,955.0,975.0,971.0,986.0,1016.0,1012.0,997.0,1016.0,1053.0,1038.0,1050.0,1041.0,1081.0,1087.0,1078.0,1071.0,1089.0,1105.0,1104.0,1099.0,1103.0,1116.0,1133.0,1114.0,1120.0
unmatched_applicants,1142.0,850.0,844.0,844.0,844.0,844.0,848.0,859.0,861.0,872.0,891.0,899.0,907.0,914.0,931.0,934.0,964.0,964.0,977.0,976.0,998.0,1003.0,1014.0,1006.0,1042.0,1051.0,1055.0,1052.0,1081.0,1070.0,1087.0,1083.0,1098.0,1094.0,1090.0,1100.0,1095.0,1118.0,1114.0,1125.0,1118.0
unmatched_applicants,1140.0,846.0,844.0,844.0,844.0,844.0,845.0,866.0,859.0,870.0,886.0,897.0,905.0,931.0,930.0,931.0,962.0,966.0,975.0,968.0,1003.0,1008.0,1010.0,1006.0,1052.0,1054.0,1049.0,1041.0,1080.0,1081.0,1078.0,1087.0,1110.0,1101.0,1101.0,1116.0,1131.0,1136.0,1131.0,1120.0,1131.0
unmatched_applicants,1154.0,845.0,844.0,844.0,844.0,844.0,844.0,848.0,859.0,868.0,893.0,906.0,908.0,918.0,930.0,938.0,953.0,971.0,976.0,970.0,1003.0,1007.0,1004.0,1012.0,1050.0,1065.0,1049.0,1050.0,1093.0,1084.0,1094.0,1059.0,1098.0,1098.0,1116.0,1095.0,1107.0,1131.0,1103.0,1117.0,1135.0
unmatched_applicants,1145.0,847.0,844.0,844.0,844.0,844.0,849.0,854.0,857.0,874.0,889.0,901.0,902.0,920.0,937.0,940.0,954.0,971.0,970.0,980.0,1003.0,1002.0,1005.0,1021.0,1046.0,1054.0,1047.0,1041.0,1075.0,1079.0,1067.0,1094.0,1108.0,1096.0,1101.0,1116.0,1115.0,1121.0,1113.0,1112.0,1110.0
unmatched_applicants,1138.0,847.0,844.0,844.0,844.0,849.0,846.0,865.0,866.0,881.0,885.0,913.0,897.0,918.0,925.0,936.0,966.0,963.0,977.0,983.0,1014.0,996.0,1012.0,1005.0,1034.0,1030.0,1035.0,1041.0,1067.0,1070.0,1074.0,1084.0,1105.0,1122.0,1090.0,1106.0,1116.0,1094.0,1124.0,1103.0,1118.0
unmatched_applicants,1140.0,848.0,844.0,844.0,844.0,844.0,852.0,861.0,855.0,864.0,894.0,908.0,904.0,919.0,927.0,942.0,958.0,969.0,976.0,981.0,1007.0,1014.0,1012.0,1008.0,1028.0,1042.0,1054.0,1040.0,1084.0,1066.0,1082.0,1072.0,1103.0,1115.0,1105.0,1086.0,1119.0,1111.0,1126.0,1130.0,1147.0
unmatched_applicants,1150.0,845.0,844.0,844.0,844.0,844.0,845.0,857.0,865.0,874.0,891.0,906.0,913.0,911.0,925.0,936.0,963.0,970.0,960.0,982.0,1006.0,995.0,1018.0,1004.0,1032.0,1046.0,1029.0,1044.0,1070.0,1069.0,1074.0,1088.0,1104.0,1093.0,1093.0,1094.0,1124.0,1111.0,1111.0,1107.0,1125.0
unmatched_applicants,1144.0,847.0,844.0,844.0,844.0,846.0,850.0,859.0,862.0,880.0,886.0,905.0,912.0,924.0,930.0,939.0,960.0,974.0,972.0,968.0,1008.0,1007.0,1010.0,1030.0,1047.0,1053.0,1054.0,1043.0,1078.0,1068.0,1072.0,1076.0,1106.0,1083.0,1088.0,1098.0,1108.0,1114.0,1115.0,1132.0,1129.0
unfilled_spots,300.0,3.0,0.0,0.0,0.0,0.0,5.0,16.0,13.0,23.0,50.0,48.0,67.0,75.0,82.0,97.0,120.0,121.0,136.0,134.0,148.0,171.0,169.0,168.0,211.0,219.0,203.0,220.0,232.0,225.0,232.0,241.0,279.0,246.0,262.0,244.0,275.0,276.0,280.0,273.0,273.0
unfilled_spots,292.0,2.0,0.0,0.0,0.0,1.0,2.0,16.0,17.0,30.0,43.0,60.0,62.0,79.0,96.0,105.0,111.0,131.0,127.0,142.0,172.0,168.0,153.0,172.0,209.0,194.0,206.0,197.0,237.0,243.0,234.0,227.0,245.0,261.0,260.0,255.0,259.0,272.0,289.0,270.0,276.0
unfilled_spots,298.0,6.0,0.0,0.0,0.0,0.0,4.0,15.0,17.0,28.0,47.0,55.0,63.0,70.0,87.0,90.0,120.0,120.0,133.0,132.0,154.0,159.0,170.0,162.0,198.0,207.0,211.0,208.0,237.0,226.0,243.0,239.0,254.0,250.0,246.0,256.0,251.0,274.0,270.0,281.0,274.0
unfilled_spots,296.0,2.0,0.0,0.0,0.0,0.0,1.0,22.0,15.0,26.0,42.0,53.0,61.0,87.0,86.0,87.0,118.0,122.0,131.0,124.0,159.0,164.0,166.0,162.0,208.0,210.0,205.0,197.0,236.0,237.0,234.0,243.0,266.0,257.0,257.0,272.0,287.0,292.0,287.0,276.0,287.0
unfilled_spots,310.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,24.0,49.0,62.0,64.0,74.0,86.0,94.0,109.0,127.0,132.0,126.0,159.0,163.0,160.0,168.0,206.0,221.0,205.0,206.0,249.0,240.0,250.0,215.0,254.0,254.0,272.0,251.0,263.0,287.0,259.0,273.0,291.0
unfilled_spots,301.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,13.0,30.0,45.0,57.0,58.0,76.0,93.0,96.0,110.0,127.0,126.0,136.0,159.0,158.0,161.0,177.0,202.0,210.0,203.0,197.0,231.0,235.0,223.0,250.0,264.0,252.0,257.0,272.0,271.0,277.0,269.0,268.0,266.0
unfilled_spots,294.0,3.0,0.0,0.0,0.0,5.0,2.0,21.0,22.0,37.0,41.0,69.0,53.0,74.0,81.0,92.0,122.0,119.0,133.0,139.0,170.0,152.0,168.0,161.0,190.0,186.0,191.0,197.0,223.0,226.0,230.0,240.0,261.0,278.0,246.0,262.0,272.0,250.0,280.0,259.0,274.0
unfilled_spots,296.0,4.0,0.0,0.0,0.0,0.0,8.0,17.0,11.0,20.0,50.0,64.0,60.0,75.0,83.0,98.0,114.0,125.0,132.0,137.0,163.0,170.0,168.0,164.0,184.0,198.0,210.0,196.0,240.0,222.0,238.0,228.0,259.0,271.0,261.0,242.0,275.0,267.0,282.0,286.0,303.0
unfilled_spots,306.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,21.0,30.0,47.0,62.0,69.0,67.0,81.0,92.0,119.0,126.0,116.0,138.0,162.0,151.0,174.0,160.0,188.0,202.0,185.0,200.0,226.0,225.0,230.0,244.0,260.0,249.0,249.0,250.0,280.0,267.0,267.0,263.0,281.0
unfilled_spots,300.0,3.0,0.0,0.0,0.0,2.0,6.0,15.0,18.0,36.0,42.0,61.0,68.0,80.0,86.0,95.0,116.0,130.0,128.0,124.0,164.0,163.0,166.0,186.0,203.0,209.0,210.0,199.0,234.0,224.0,228.0,232.0,262.0,239.0,244.0,254.0,264.0,270.0,271.0,288.0,285.0
reviews_per_program,330.0125786163522,329.67295597484275,332.0062893081761,210.27672955974842,64.79245283018868,55.84905660377358,67.01886792452831,78.18867924528301,89.34591194968553,100.47169811320755,111.55345911949685,122.68553459119497,133.59119496855345,144.49685534591194,155.31446540880503,165.9559748427673,176.40251572327045,186.27044025157232,196.61635220125785,205.69811320754718,215.72327044025158,223.54088050314465,232.76729559748426,240.91194968553458,248.06289308176102,256.38993710691824,263.0691823899371,270.29559748427675,274.44025157232704,277.2704402515723,287.9874213836478,288.937106918239,291.2830188679245,296.5660377358491,299.0566037735849,304.4339622641509,309.4339622641509,311.9182389937107,312.2327044025157,314.84276729559747,318.0377358490566
reviews_per_program,326.1194968553459,322.3018867924528,330.6792452830189,205.9496855345912,64.46540880503144,55.84905660377358,67.01886792452831,78.15723270440252,89.34591194968553,100.49056603773585,111.57232704402516,122.53459119496856,133.66037735849056,144.36477987421384,155.28930817610063,165.71069182389937,175.68553459119497,186.37106918238993,196.49056603773585,205.8679245283019,215.38993710691824,223.9433962264151,232.0188679245283,239.9308176100629,248.32075471698113,256.54088050314465,262.22641509433964,267.54088050314465,275.47798742138366,280.0314465408805,283.6981132075472,289.45911949685535,297.45283018867923,297.748427672956,299.71069182389937,305.12578616352204,305.3018867924528,309.59119496855345,313.42138364779873,312.22641509433964,313.8301886792453
reviews_per_program,325.7358490566038,335.07547169811323,329.35849056603774,208.50943396226415,69.57861635220125,55.84905660377358,67.01886792452831,78.18867924528301,89.30188679245283,100.44025157232704,111.61635220125787,122.65408805031447,133.57232704402514,144.42767295597486,155.25786163522014,165.76729559748426,176.23899371069183,186.20754716981133,196.37106918238993,206.34591194968553,215.73584905660377,223.23899371069183,232.45911949685535,240.69811320754718,248.38993710691824,255.40251572327045,264.9685534591195,268.2012578616352,275.64150943396226,277.2012578616352,284.1635220125786,293.0062893081761,294.22641509433964,296.9622641509434,301.57861635220127,305.0503144654088,306.15723270440253,309.20754716981133,314.8050314465409,311.62264150943395,316.5157232704403
