Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,726.0,570.0,569.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,732.0,579.0,568.0,568.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,726.0,573.0,570.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,711.0,578.0,572.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,741.0,580.0,570.0,567.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,742.0,578.0,574.0,568.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,718.0,572.0,565.0,567.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,721.0,572.0,570.0,572.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,726.0,585.0,570.0,567.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,721.0,580.0,569.0,566.0,564.0,564.0,564.0,564.0,564.0,564.0
unfilled_spots,162.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,168.0,15.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,162.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,147.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,177.0,16.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,178.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,154.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,157.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,162.0,21.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,157.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,213.29830508474575,213.23389830508475,216.4813559322034,215.91525423728814,215.27118644067798,212.2,212.6406779661017,213.9864406779661,193.29830508474575,160.8406779661017
reviews_per_program,217.52881355932203,217.42372881355934,214.55593220338983,214.23389830508475,215.0677966101695,214.1762711864407,216.55254237288136,207.58983050847456,197.00677966101694,170.8372881355932
reviews_per_program,215.24067796610169,214.0135593220339,213.84406779661018,213.39661016949154,212.78305084745762,215.42033898305084,212.6271186440678,212.71525423728812,193.61016949152543,157.07118644067796
reviews_per_program,215.32203389830508,214.0271186440678,215.8372881355932,214.13220338983052,215.73559322033898,213.4406779661017,215.68813559322035,212.1457627118644,193.3050847457627,163.9457627118644
reviews_per_program,218.34237288135594,216.5491525423729,215.9728813559322,216.62033898305086,214.89830508474577,216.86779661016948,213.7728813559322,209.98983050847457,194.2,161.60677966101696
reviews_per_program,214.67796610169492,215.07457627118643,219.3050847457627,213.41016949152544,216.75593220338982,216.13898305084746,216.07118644067796,213.0406779661017,202.30169491525425,160.53898305084746
reviews_per_program,215.56949152542373,215.4372881355932,213.72881355932202,216.63389830508476,214.06440677966103,213.48813559322033,215.71186440677965,214.67457627118645,197.38305084745764,159.5627118644068
reviews_per_program,215.06440677966103,215.79661016949152,213.1593220338983,213.464406779661,216.2135593220339,215.44745762711864,213.30169491525425,211.02033898305083,197.4779661016949,157.8542372881356
reviews_per_program,215.48474576271187,214.63050847457626,216.1457627118644,215.10169491525423,215.73898305084745,215.39661016949154,208.71186440677965,212.73220338983052,197.19661016949152,158.15254237288136
reviews_per_program,213.53898305084746,213.76610169491525,214.01016949152543,218.02033898305083,216.39322033898304,215.07118644067796,216.62372881355932,214.51186440677967,196.88813559322034,154.10508474576272
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997343075390236,0.9896541702993316,0.9684624134008892
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984722683493856,0.9914544820369724,0.9733250620347395
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994021522518932,0.9913402301522725,0.9662375264981128
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.999767549976755,0.9999335768847559,0.9897099005871751,0.9682539682539683
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993358570764429,0.9926197117619712,0.9662357807652534
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984724712758185,0.9943023255813953,0.9661446219052049
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996678844237795,0.9937805161590327,0.9651481462330007
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991363847737993,0.9939534883720931,0.9637209302325581
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993358570764429,0.99418773612322,0.9646845915201655
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998007174172977,0.9922656431728308,0.9654887373424261
pct_interview_given_nosignal,0.3278769289449009,0.3041825095057034,0.27416051040967093,0.24768526606338004,0.21906704795905357,0.1904945606048916,0.15504887301045703,0.11411976439790576,0.07819483619006291,0.042326037533990106
pct_interview_given_nosignal,0.3215003662090352,0.2981174079272129,0.27680024410089504,0.24985020970641103,0.21930672307215404,0.18837621836076832,0.15157221601051413,0.1172418125471145,0.07686685869051202,0.039778493579843796
pct_interview_given_nosignal,0.3249181050774852,0.30303527212501846,0.2777891191180974,0.2509424945574258,0.22203555670426645,0.187066712126378,0.15507828181453231,0.11550868486352357,0.07671174071689203,0.04375534837634554
