Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,763.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,676.0,683.0,682.0,688.0,688.0,698.0,698.0,694.0,718.0,721.0,721.0,723.0,736.0,720.0,729.0,741.0,740.0,745.0,742.0,746.0,747.0,757.0,752.0
unmatched_applicants,769.0,682.0,681.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,680.0,689.0,701.0,693.0,702.0,708.0,715.0,714.0,731.0,728.0,735.0,737.0,731.0,745.0,739.0,744.0,741.0,754.0,754.0,750.0
unmatched_applicants,767.0,676.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,683.0,677.0,688.0,696.0,702.0,702.0,717.0,725.0,717.0,722.0,739.0,738.0,743.0,723.0,749.0,746.0,738.0,753.0,757.0,758.0,757.0
unmatched_applicants,749.0,677.0,676.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,679.0,678.0,679.0,689.0,695.0,700.0,704.0,712.0,721.0,717.0,725.0,718.0,738.0,733.0,734.0,744.0,730.0,754.0,746.0,747.0,742.0,760.0
unmatched_applicants,763.0,684.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,679.0,680.0,694.0,699.0,695.0,706.0,710.0,709.0,729.0,723.0,728.0,735.0,739.0,756.0,745.0,751.0,737.0,750.0,762.0,746.0,745.0
unmatched_applicants,764.0,682.0,680.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,677.0,676.0,683.0,690.0,697.0,693.0,703.0,714.0,706.0,721.0,727.0,733.0,736.0,728.0,738.0,744.0,743.0,755.0,742.0,747.0,750.0,753.0
unmatched_applicants,765.0,676.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,678.0,682.0,685.0,686.0,692.0,700.0,691.0,713.0,714.0,720.0,722.0,735.0,733.0,734.0,741.0,732.0,737.0,742.0,752.0,744.0,764.0,757.0
unmatched_applicants,774.0,680.0,678.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,684.0,676.0,682.0,684.0,695.0,693.0,708.0,705.0,725.0,721.0,726.0,726.0,740.0,739.0,733.0,735.0,748.0,733.0,752.0,744.0,756.0,756.0
unmatched_applicants,757.0,677.0,681.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,676.0,677.0,682.0,689.0,697.0,689.0,706.0,704.0,716.0,722.0,726.0,723.0,734.0,738.0,742.0,732.0,742.0,749.0,739.0,745.0,749.0,761.0
unmatched_applicants,764.0,683.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,676.0,686.0,679.0,697.0,701.0,697.0,712.0,715.0,715.0,725.0,729.0,735.0,733.0,749.0,742.0,741.0,750.0,751.0,756.0,748.0,745.0
unfilled_spots,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,6.0,12.0,12.0,22.0,22.0,18.0,42.0,45.0,45.0,47.0,60.0,44.0,53.0,65.0,64.0,69.0,66.0,70.0,71.0,81.0,76.0
unfilled_spots,93.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,13.0,25.0,17.0,26.0,32.0,39.0,38.0,55.0,52.0,59.0,61.0,55.0,69.0,63.0,68.0,65.0,78.0,78.0,74.0
unfilled_spots,91.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,12.0,20.0,26.0,26.0,41.0,49.0,41.0,46.0,63.0,62.0,67.0,47.0,73.0,70.0,62.0,77.0,81.0,82.0,81.0
unfilled_spots,73.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,13.0,19.0,24.0,28.0,36.0,45.0,41.0,49.0,42.0,62.0,57.0,58.0,68.0,54.0,78.0,70.0,71.0,66.0,84.0
unfilled_spots,87.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,18.0,23.0,19.0,30.0,34.0,33.0,53.0,47.0,52.0,59.0,63.0,80.0,69.0,75.0,61.0,74.0,86.0,70.0,69.0
unfilled_spots,88.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,14.0,21.0,17.0,27.0,38.0,30.0,45.0,51.0,57.0,60.0,52.0,62.0,68.0,67.0,79.0,66.0,71.0,74.0,77.0
unfilled_spots,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,9.0,10.0,16.0,24.0,15.0,37.0,38.0,44.0,46.0,59.0,57.0,58.0,65.0,56.0,61.0,66.0,76.0,68.0,88.0,81.0
unfilled_spots,98.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,8.0,19.0,17.0,32.0,29.0,49.0,45.0,50.0,50.0,64.0,63.0,57.0,59.0,72.0,57.0,76.0,68.0,80.0,80.0
unfilled_spots,81.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,13.0,21.0,13.0,30.0,28.0,40.0,46.0,50.0,47.0,58.0,62.0,66.0,56.0,66.0,73.0,63.0,69.0,73.0,85.0
unfilled_spots,88.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,3.0,21.0,25.0,21.0,36.0,39.0,39.0,49.0,53.0,59.0,57.0,73.0,66.0,65.0,74.0,75.0,80.0,72.0,69.0
reviews_per_program,212.31186440677965,211.83389830508474,216.0135593220339,214.0,217.34915254237288,216.10508474576272,211.5457627118644,213.00677966101694,215.4406779661017,205.95593220338984,186.23050847457628,144.12881355932203,114.44067796610169,102.46779661016949,104.35593220338983,108.33559322033898,115.0135593220339,121.80338983050848,128.4542372881356,134.5186440677966,140.34237288135594,145.6813559322034,152.4949152542373,157.4779661016949,162.28813559322035,166.4135593220339,171.0677966101695,176.25423728813558,179.61016949152543,183.09830508474576,186.5491525423729,188.8271186440678,191.24406779661018,194.62033898305086,196.87118644067797,198.67118644067796,204.16949152542372,201.4271186440678,203.13898305084746,205.5322033898305,205.78983050847458
