Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,681.0,576.0,568.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,689.0,581.0,568.0,567.0,564.0,564.0,564.0,564.0
unmatched_applicants,680.0,576.0,564.0,565.0,564.0,564.0,564.0,564.0
unmatched_applicants,695.0,566.0,570.0,570.0,564.0,564.0,564.0,564.0
unmatched_applicants,694.0,568.0,565.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,687.0,565.0,565.0,566.0,564.0,564.0,564.0,564.0
unmatched_applicants,693.0,570.0,565.0,565.0,564.0,564.0,564.0,564.0
unmatched_applicants,692.0,575.0,568.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,673.0,569.0,564.0,564.0,564.0,564.0,564.0,564.0
unmatched_applicants,695.0,571.0,570.0,564.0,564.0,564.0,564.0,564.0
unfilled_spots,117.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,125.0,17.0,4.0,3.0,0.0,0.0,0.0,0.0
unfilled_spots,116.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,131.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0
unfilled_spots,130.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,123.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
unfilled_spots,129.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,128.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,109.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,131.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,214.29491525423728,215.28474576271188,211.55254237288136,214.44745762711864,214.98983050847457,216.5728813559322,214.23728813559322,215.37966101694914
reviews_per_program,217.51525423728813,215.35593220338984,218.9050847457627,216.75254237288135,213.89491525423728,214.62372881355932,213.9186440677966,216.4542372881356
reviews_per_program,211.9728813559322,214.4271186440678,215.00677966101694,216.12542372881356,215.10508474576272,216.02033898305083,218.0135593220339,216.2271186440678
reviews_per_program,216.8915254237288,212.18983050847459,214.39661016949154,214.24745762711865,216.23728813559322,217.46101694915254,212.6949152542373,213.09152542372883
reviews_per_program,214.36610169491524,214.0406779661017,216.5627118644068,214.18983050847459,215.00338983050847,214.96271186440677,215.58983050847456,214.17966101694915
reviews_per_program,216.75593220338982,216.6949152542373,214.14237288135593,218.16610169491526,215.74237288135592,216.02372881355933,213.90847457627117,212.535593220339
