Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
unmatched_applicants,900.0,678.0,663.0,661.0,661.0,661.0,663.0,668.0,672.0,678.0,688.0,705.0,711.0,719.0,719.0,735.0,751.0,760.0,760.0,769.0,787.0,787.0,788.0,791.0,829.0,825.0,823.0,817.0,847.0,856.0,847.0,861.0
unmatched_applicants,885.0,665.0,661.0,661.0,661.0,663.0,662.0,668.0,668.0,677.0,686.0,694.0,695.0,713.0,713.0,747.0,749.0,745.0,760.0,766.0,786.0,795.0,796.0,798.0,829.0,818.0,821.0,838.0,842.0,853.0,852.0,853.0
unmatched_applicants,903.0,673.0,661.0,661.0,661.0,661.0,661.0,662.0,667.0,676.0,695.0,690.0,712.0,724.0,730.0,732.0,747.0,757.0,770.0,769.0,784.0,791.0,799.0,802.0,819.0,813.0,825.0,826.0,847.0,831.0,840.0,853.0
unmatched_applicants,884.0,664.0,662.0,661.0,661.0,661.0,661.0,669.0,672.0,680.0,689.0,698.0,697.0,715.0,726.0,734.0,752.0,757.0,751.0,760.0,777.0,799.0,786.0,799.0,816.0,821.0,822.0,827.0,845.0,841.0,840.0,844.0
unmatched_applicants,902.0,673.0,663.0,661.0,661.0,661.0,661.0,675.0,666.0,678.0,690.0,702.0,696.0,720.0,721.0,728.0,746.0,749.0,763.0,768.0,788.0,794.0,801.0,800.0,823.0,816.0,831.0,818.0,858.0,846.0,837.0,849.0
unmatched_applicants,900.0,667.0,667.0,661.0,661.0,661.0,662.0,671.0,667.0,676.0,685.0,706.0,703.0,724.0,725.0,734.0,756.0,758.0,756.0,764.0,786.0,790.0,781.0,801.0,832.0,820.0,828.0,827.0,843.0,839.0,837.0,860.0
unmatched_applicants,912.0,675.0,664.0,662.0,661.0,661.0,664.0,661.0,668.0,671.0,684.0,704.0,706.0,718.0,724.0,733.0,755.0,762.0,759.0,768.0,797.0,783.0,784.0,798.0,817.0,821.0,821.0,826.0,845.0,851.0,839.0,857.0
unmatched_applicants,911.0,668.0,661.0,661.0,661.0,661.0,661.0,666.0,664.0,672.0,687.0,706.0,697.0,713.0,724.0,722.0,743.0,756.0,758.0,769.0,795.0,796.0,785.0,795.0,808.0,823.0,828.0,824.0,852.0,851.0,851.0,845.0
unmatched_applicants,874.0,664.0,661.0,661.0,661.0,661.0,661.0,663.0,664.0,674.0,692.0,699.0,707.0,713.0,729.0,731.0,745.0,749.0,759.0,774.0,797.0,793.0,799.0,797.0,821.0,820.0,830.0,830.0,841.0,852.0,844.0,844.0
unmatched_applicants,898.0,667.0,663.0,662.0,661.0,661.0,662.0,665.0,664.0,669.0,674.0,707.0,705.0,708.0,725.0,735.0,744.0,766.0,754.0,776.0,792.0,779.0,802.0,806.0,809.0,823.0,819.0,825.0,865.0,841.0,837.0,851.0
unfilled_spots,239.0,17.0,2.0,0.0,0.0,0.0,2.0,7.0,11.0,17.0,27.0,44.0,50.0,58.0,58.0,74.0,90.0,99.0,99.0,108.0,126.0,126.0,127.0,130.0,168.0,164.0,162.0,156.0,186.0,195.0,186.0,200.0
unfilled_spots,224.0,4.0,0.0,0.0,0.0,2.0,1.0,7.0,7.0,16.0,25.0,33.0,34.0,52.0,52.0,86.0,88.0,84.0,99.0,105.0,125.0,134.0,135.0,137.0,168.0,157.0,160.0,177.0,181.0,192.0,191.0,192.0
unfilled_spots,242.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,34.0,29.0,51.0,63.0,69.0,71.0,86.0,96.0,109.0,108.0,123.0,130.0,138.0,141.0,158.0,152.0,164.0,165.0,186.0,170.0,179.0,192.0
unfilled_spots,223.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,11.0,19.0,28.0,37.0,36.0,54.0,65.0,73.0,91.0,96.0,90.0,99.0,116.0,138.0,125.0,138.0,155.0,160.0,161.0,166.0,184.0,180.0,179.0,183.0
unfilled_spots,241.0,12.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,17.0,29.0,41.0,35.0,59.0,60.0,67.0,85.0,88.0,102.0,107.0,127.0,133.0,140.0,139.0,162.0,155.0,170.0,157.0,197.0,185.0,176.0,188.0
