Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
unmatched_applicants,309.0,176.0,171.0,160.0,161.0,162.0,165.0,171.0,175.0,189.0,188.0,193.0,203.0,206.0,210.0,209.0,227.0,230.0,233.0,234.0,254.0,251.0,251.0
unmatched_applicants,309.0,176.0,165.0,162.0,158.0,161.0,163.0,166.0,174.0,181.0,190.0,194.0,206.0,207.0,208.0,212.0,228.0,225.0,231.0,238.0,255.0,247.0,248.0
unmatched_applicants,311.0,171.0,169.0,168.0,160.0,160.0,161.0,173.0,178.0,184.0,195.0,193.0,199.0,202.0,206.0,210.0,223.0,227.0,235.0,229.0,253.0,249.0,251.0
unmatched_applicants,311.0,187.0,170.0,161.0,158.0,159.0,164.0,174.0,176.0,179.0,187.0,193.0,201.0,205.0,210.0,212.0,225.0,240.0,231.0,233.0,253.0,254.0,249.0
unmatched_applicants,313.0,173.0,171.0,163.0,158.0,161.0,160.0,169.0,176.0,182.0,194.0,191.0,203.0,210.0,207.0,216.0,224.0,224.0,236.0,233.0,246.0,239.0,244.0
unmatched_applicants,306.0,181.0,167.0,160.0,158.0,163.0,165.0,174.0,180.0,178.0,191.0,195.0,201.0,206.0,209.0,213.0,233.0,224.0,228.0,235.0,253.0,249.0,249.0
unmatched_applicants,309.0,176.0,170.0,163.0,159.0,162.0,162.0,171.0,173.0,185.0,185.0,193.0,205.0,208.0,211.0,218.0,227.0,228.0,237.0,219.0,254.0,241.0,246.0
unmatched_applicants,322.0,180.0,168.0,164.0,158.0,161.0,167.0,170.0,175.0,180.0,189.0,194.0,203.0,207.0,211.0,208.0,221.0,229.0,226.0,229.0,248.0,244.0,253.0
unmatched_applicants,291.0,177.0,168.0,164.0,158.0,160.0,168.0,176.0,177.0,183.0,185.0,194.0,205.0,204.0,208.0,214.0,227.0,229.0,228.0,230.0,247.0,245.0,257.0
unmatched_applicants,307.0,185.0,168.0,165.0,159.0,158.0,168.0,171.0,178.0,181.0,189.0,188.0,206.0,204.0,206.0,212.0,219.0,233.0,236.0,225.0,257.0,234.0,249.0
unfilled_spots,151.0,18.0,13.0,2.0,3.0,4.0,7.0,13.0,17.0,31.0,30.0,35.0,45.0,48.0,52.0,51.0,69.0,72.0,75.0,76.0,96.0,93.0,93.0
unfilled_spots,151.0,18.0,7.0,4.0,0.0,3.0,5.0,8.0,16.0,23.0,32.0,36.0,48.0,49.0,50.0,54.0,70.0,67.0,73.0,80.0,97.0,89.0,90.0
unfilled_spots,153.0,13.0,11.0,10.0,2.0,2.0,3.0,15.0,20.0,26.0,37.0,35.0,41.0,44.0,48.0,52.0,65.0,69.0,77.0,71.0,95.0,91.0,93.0
unfilled_spots,153.0,29.0,12.0,3.0,0.0,1.0,6.0,16.0,18.0,21.0,29.0,35.0,43.0,47.0,52.0,54.0,67.0,82.0,73.0,75.0,95.0,96.0,91.0
unfilled_spots,155.0,15.0,13.0,5.0,0.0,3.0,2.0,11.0,18.0,24.0,36.0,33.0,45.0,52.0,49.0,58.0,66.0,66.0,78.0,75.0,88.0,81.0,86.0
unfilled_spots,148.0,23.0,9.0,2.0,0.0,5.0,7.0,16.0,22.0,20.0,33.0,37.0,43.0,48.0,51.0,55.0,75.0,66.0,70.0,77.0,95.0,91.0,91.0
unfilled_spots,151.0,18.0,12.0,5.0,1.0,4.0,4.0,13.0,15.0,27.0,27.0,35.0,47.0,50.0,53.0,60.0,69.0,70.0,79.0,61.0,96.0,83.0,88.0
unfilled_spots,164.0,22.0,10.0,6.0,0.0,3.0,9.0,12.0,17.0,22.0,31.0,36.0,45.0,49.0,53.0,50.0,63.0,71.0,68.0,71.0,90.0,86.0,95.0
unfilled_spots,133.0,19.0,10.0,6.0,0.0,2.0,10.0,18.0,19.0,25.0,27.0,36.0,47.0,46.0,50.0,56.0,69.0,71.0,70.0,72.0,89.0,87.0,99.0
unfilled_spots,149.0,27.0,10.0,7.0,1.0,0.0,10.0,13.0,20.0,23.0,31.0,30.0,48.0,46.0,48.0,54.0,61.0,75.0,78.0,67.0,99.0,76.0,91.0
reviews_per_program,116.00719424460432,115.16546762589928,112.13669064748201,85.0,45.75539568345324,29.928057553956833,23.827338129496404,28.47482014388489,31.769784172661872,35.73381294964029,39.65467625899281,43.63309352517986,47.49640287769784,51.37410071942446,55.30935251798561,58.76258992805755,62.54676258992806,66.0863309352518,69.72661870503597,73.17985611510791,76.64748201438849,79.94964028776978,82.26618705035972
reviews_per_program,116.7841726618705,117.76978417266187,110.03597122302158,86.30935251798562,47.69064748201439,32.618705035971225,27.41007194244604,28.424460431654676,31.769784172661872,35.7410071942446,39.58273381294964,43.66187050359712,47.50359712230216,51.52517985611511,55.29496402877698,59.064748201438846,62.76978417266187,65.97122302158273,69.63309352517986,72.7410071942446,76.33093525179856,79.37410071942446,82.4820143884892
reviews_per_program,116.97841726618705,115.12230215827338,108.49640287769785,85.48920863309353,48.856115107913666,27.690647482014388,23.827338129496404,27.776978417266186,31.769784172661872,35.69064748201439,39.697841726618705,43.63309352517986,47.41726618705036,51.30935251798561,55.014388489208635,58.94964028776978,62.50359712230216,66.03597122302158,69.57553956834532,73.56115107913669,76.2589928057554,79.17985611510791,83.0863309352518
reviews_per_program,116.57553956834532,117.71223021582733,107.69064748201438,87.31654676258992,56.23741007194245,25.58992805755396,24.532374100719423,27.798561151079138,31.74820143884892,35.726618705035975,39.69064748201439,43.597122302158276,47.381294964028775,51.53237410071942,55.07913669064748,59.0,62.65467625899281,66.37410071942446,70.38848920863309,73.60431654676259,77.58273381294964,79.82014388489209,83.32374100719424
reviews_per_program,115.42446043165468,115.23741007194245,112.76258992805755,88.45323741007195,45.02877697841727,26.705035971223023,24.532374100719423,27.798561151079138,31.755395683453237,35.726618705035975,39.65467625899281,43.58273381294964,47.44604316546763,51.34532374100719,55.25179856115108,58.8705035971223,62.431654676258994,66.50359712230215,69.9568345323741,73.35971223021583,76.66187050359713,79.15107913669065,82.71223021582733
reviews_per_program,119.36690647482014,116.38848920863309,114.41007194244604,83.64748201438849,50.330935251798564,27.446043165467625,26.172661870503596,27.798561151079138,31.74820143884892,35.71223021582734,39.64748201438849,43.589928057553955,47.46762589928058,51.23741007194245,55.13669064748201,59.03597122302158,63.007194244604314,66.12230215827338,69.55395683453237,73.46043165467626,76.4748201438849,79.81294964028777,81.76978417266187
reviews_per_program,114.97841726618705,115.07913669064749,111.58992805755396,84.62589928057554,44.92086330935252,29.964028776978417,25.057553956834532,27.798561151079138,31.769784172661872,35.71223021582734,39.669064748201436,43.65467625899281,47.42446043165467,51.35971223021583,55.20863309352518,58.87769784172662,62.83453237410072,66.61151079136691,69.7410071942446,72.90647482014388,76.41007194244604,79.36690647482014,83.16546762589928
reviews_per_program,117.81294964028777,113.12949640287769,110.05035971223022,82.10791366906474,46.76258992805755,28.06474820143885,25.230215827338128,27.798561151079138,31.755395683453237,35.70503597122302,39.611510791366904,43.589928057553955,47.52517985611511,51.23741007194245,55.41726618705036,59.07194244604317,62.86330935251799,66.31654676258992,69.79136690647482,73.02877697841727,76.97122302158273,80.15107913669065,82.71223021582733
reviews_per_program,113.62589928057554,117.0431654676259,111.64028776978417,87.87769784172662,45.798561151079134,27.230215827338128,23.827338129496404,27.798561151079138,31.762589928057555,35.726618705035975,39.67625899280576,43.64028776978417,47.44604316546763,51.31654676258993,55.28776978417266,59.064748201438846,62.54676258992806,66.34532374100719,69.68345323741008,73.56115107913669,76.89208633093526,79.79136690647482,83.07913669064749
reviews_per_program,116.79856115107914,117.22302158273381,110.63309352517986,86.53237410071942,47.330935251798564,29.66906474820144,26.035971223021583,27.798561151079138,31.769784172661872,35.719424460431654,39.71223021582734,43.58273381294964,47.39568345323741,51.223021582733814,55.25179856115108,58.884892086330936,62.67625899280576,66.56834532374101,69.89928057553956,73.46043165467626,76.66906474820144,79.72661870503597,83.33812949640287
