Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,466.0,402.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,397.0,397.0,400.0,401.0,404.0,417.0,407.0,413.0,415.0,422.0,430.0,425.0,429.0,431.0,440.0,448.0,437.0,451.0,456.0,452.0,459.0,454.0,462.0,458.0,466.0,460.0,465.0,466.0,470.0,464.0,459.0
unmatched_applicants,472.0,399.0,396.0,396.0,396.0,396.0,396.0,398.0,396.0,396.0,396.0,397.0,396.0,404.0,404.0,403.0,404.0,420.0,416.0,423.0,428.0,429.0,430.0,439.0,435.0,433.0,451.0,449.0,454.0,451.0,455.0,455.0,453.0,453.0,467.0,459.0,462.0,464.0,467.0,463.0,463.0
unmatched_applicants,468.0,402.0,398.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,401.0,396.0,399.0,404.0,412.0,407.0,412.0,420.0,424.0,427.0,439.0,433.0,431.0,442.0,452.0,447.0,448.0,454.0,451.0,454.0,451.0,458.0,460.0,460.0,457.0,468.0,469.0,464.0,457.0,469.0
unmatched_applicants,475.0,399.0,396.0,397.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,397.0,402.0,399.0,403.0,411.0,414.0,414.0,424.0,423.0,423.0,427.0,434.0,439.0,436.0,441.0,446.0,452.0,458.0,459.0,454.0,451.0,451.0,465.0,464.0,461.0,467.0,464.0,469.0,466.0,474.0
unmatched_applicants,471.0,397.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,398.0,401.0,401.0,401.0,401.0,406.0,413.0,412.0,419.0,421.0,422.0,430.0,428.0,440.0,437.0,441.0,448.0,446.0,444.0,447.0,453.0,456.0,460.0,461.0,454.0,455.0,456.0,470.0,471.0,459.0,471.0
unmatched_applicants,479.0,399.0,397.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,400.0,399.0,396.0,400.0,415.0,411.0,414.0,415.0,419.0,422.0,431.0,431.0,435.0,444.0,446.0,440.0,447.0,455.0,449.0,459.0,454.0,465.0,463.0,462.0,465.0,468.0,461.0,476.0,466.0,465.0
unmatched_applicants,467.0,400.0,396.0,397.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,399.0,397.0,405.0,417.0,420.0,422.0,418.0,420.0,429.0,435.0,431.0,435.0,433.0,439.0,442.0,439.0,451.0,454.0,452.0,461.0,456.0,463.0,460.0,462.0,462.0,458.0,461.0,468.0,464.0
unmatched_applicants,479.0,401.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,398.0,399.0,398.0,396.0,403.0,406.0,408.0,414.0,423.0,423.0,427.0,432.0,429.0,432.0,442.0,437.0,442.0,445.0,445.0,456.0,458.0,460.0,460.0,464.0,475.0,465.0,468.0,464.0,457.0,470.0,465.0
unmatched_applicants,472.0,400.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,397.0,397.0,396.0,396.0,398.0,404.0,410.0,413.0,413.0,418.0,416.0,426.0,427.0,436.0,430.0,429.0,438.0,444.0,442.0,444.0,458.0,451.0,456.0,463.0,465.0,459.0,459.0,467.0,457.0,464.0,462.0,470.0
unmatched_applicants,467.0,398.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,399.0,397.0,399.0,398.0,407.0,406.0,403.0,413.0,416.0,422.0,424.0,429.0,436.0,442.0,445.0,447.0,438.0,450.0,453.0,458.0,447.0,454.0,462.0,450.0,468.0,465.0,460.0,472.0,464.0,468.0,467.0
unfilled_spots,70.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,8.0,21.0,11.0,17.0,19.0,26.0,34.0,29.0,33.0,35.0,44.0,52.0,41.0,55.0,60.0,56.0,63.0,58.0,66.0,62.0,70.0,64.0,69.0,70.0,74.0,68.0,63.0
unfilled_spots,76.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,7.0,8.0,24.0,20.0,27.0,32.0,33.0,34.0,43.0,39.0,37.0,55.0,53.0,58.0,55.0,59.0,59.0,57.0,57.0,71.0,63.0,66.0,68.0,71.0,67.0,67.0
unfilled_spots,72.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,8.0,16.0,11.0,16.0,24.0,28.0,31.0,43.0,37.0,35.0,46.0,56.0,51.0,52.0,58.0,55.0,58.0,55.0,62.0,64.0,64.0,61.0,72.0,73.0,68.0,61.0,73.0
unfilled_spots,79.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,7.0,15.0,18.0,18.0,28.0,27.0,27.0,31.0,38.0,43.0,40.0,45.0,50.0,56.0,62.0,63.0,58.0,55.0,55.0,69.0,68.0,65.0,71.0,68.0,73.0,70.0,78.0
unfilled_spots,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,10.0,17.0,16.0,23.0,25.0,26.0,34.0,32.0,44.0,41.0,45.0,52.0,50.0,48.0,51.0,57.0,60.0,64.0,65.0,58.0,59.0,60.0,74.0,75.0,63.0,75.0
unfilled_spots,83.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,19.0,15.0,18.0,19.0,23.0,26.0,35.0,35.0,39.0,48.0,50.0,44.0,51.0,59.0,53.0,63.0,58.0,69.0,67.0,66.0,69.0,72.0,65.0,80.0,70.0,69.0
unfilled_spots,71.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,21.0,24.0,26.0,22.0,24.0,33.0,39.0,35.0,39.0,37.0,43.0,46.0,43.0,55.0,58.0,56.0,65.0,60.0,67.0,64.0,66.0,66.0,62.0,65.0,72.0,68.0
unfilled_spots,83.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,7.0,10.0,12.0,18.0,27.0,27.0,31.0,36.0,33.0,36.0,46.0,41.0,46.0,49.0,49.0,60.0,62.0,64.0,64.0,68.0,79.0,69.0,72.0,68.0,61.0,74.0,69.0
unfilled_spots,76.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,14.0,17.0,17.0,22.0,20.0,30.0,31.0,40.0,34.0,33.0,42.0,48.0,46.0,48.0,62.0,55.0,60.0,67.0,69.0,63.0,63.0,71.0,61.0,68.0,66.0,74.0
unfilled_spots,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,11.0,10.0,7.0,17.0,20.0,26.0,28.0,33.0,40.0,46.0,49.0,51.0,42.0,54.0,57.0,62.0,51.0,58.0,66.0,54.0,72.0,69.0,64.0,76.0,68.0,72.0,71.0
reviews_per_program,171.97714285714287,175.68,171.38285714285715,171.70857142857142,168.21142857142857,158.06857142857143,123.54857142857144,96.90285714285714,73.99428571428571,59.94285714285714,58.925714285714285,64.50285714285714,69.60571428571428,75.39428571428572,81.01142857142857,86.44571428571429,91.84,96.78285714285714,101.6,107.28,112.22285714285714,116.00571428571429,121.01714285714286,124.54857142857144,129.68571428571428,133.32,136.14285714285714,138.72,143.74285714285713,144.3257142857143,147.4,152.09714285714287,154.17142857142858,157.3542857142857,157.25142857142856,158.64,162.57714285714286,158.12571428571428,159.93142857142857,165.85142857142858,163.18285714285713
