Parameter,0,1,2,3,4,5
unmatched_applicants,442.0,396.0,396.0,396.0,396.0,396.0
unmatched_applicants,437.0,401.0,396.0,396.0,396.0,396.0
unmatched_applicants,436.0,396.0,396.0,396.0,396.0,396.0
unmatched_applicants,431.0,396.0,396.0,396.0,396.0,396.0
unmatched_applicants,441.0,397.0,396.0,396.0,396.0,396.0
unmatched_applicants,437.0,400.0,397.0,396.0,396.0,396.0
unmatched_applicants,439.0,397.0,396.0,396.0,396.0,396.0
unmatched_applicants,435.0,396.0,396.0,396.0,396.0,396.0
unmatched_applicants,438.0,396.0,396.0,396.0,396.0,396.0
unmatched_applicants,441.0,396.0,396.0,396.0,396.0,396.0
unfilled_spots,46.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,41.0,5.0,0.0,0.0,0.0,0.0
unfilled_spots,40.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,45.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,41.0,4.0,1.0,0.0,0.0,0.0
unfilled_spots,43.0,1.0,0.0,0.0,0.0,0.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,42.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,45.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,170.09142857142857,174.05142857142857,173.4,172.9542857142857,169.14285714285714,172.83428571428573
reviews_per_program,171.53142857142856,169.62285714285716,168.68571428571428,170.26285714285714,172.16571428571427,172.0
reviews_per_program,173.01714285714286,171.55428571428573,170.10285714285715,170.44,172.52,171.82285714285715
reviews_per_program,168.97714285714287,170.73714285714286,171.41142857142856,166.53714285714287,170.6057142857143,170.33714285714285
reviews_per_program,172.89142857142858,172.26857142857142,168.94285714285715,169.53714285714287,169.44,167.06285714285715
reviews_per_program,169.49714285714285,169.53142857142856,172.04,168.86857142857144,170.71428571428572,169.12571428571428
reviews_per_program,171.33714285714285,171.77714285714285,169.66285714285715,171.66285714285715,171.61714285714285,170.03428571428572
reviews_per_program,170.50857142857143,170.38285714285715,173.69714285714286,170.97142857142856,172.7942857142857,170.82285714285715
reviews_per_program,168.70857142857142,172.98857142857142,175.62285714285716,171.8057142857143,172.6342857142857,167.7942857142857
reviews_per_program,169.93714285714285,172.25142857142856,174.50285714285715,169.44571428571427,173.54285714285714,173.83428571428573
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_nosignal,0.31344486998588994,0.282327366597602,0.25765657564732064,0.23062506890089296,0.205969915387026,0.16854825886468436
pct_interview_given_nosignal,0.31081351189286427,0.2899602316332938,0.26539077281327317,0.23468700919901278,0.20178838699773574,0.16953218712514995
pct_interview_given_nosignal,0.30814452737961556,0.2865811612191422,0.26301745276215205,0.2344152691144063,0.20130939163061373,0.1697425837703671
pct_interview_given_nosignal,0.31551181901186975,0.28800110876269014,0.26086334537391365,0.24055193560751245,0.20392491467576793,0.1715279744326227
pct_interview_given_nosignal,0.3083685880486515,0.2853513680524563,0.26495695448436196,0.23580687582190493,0.2055512118842846,0.1755984428062619
pct_interview_given_nosignal,0.314543860832041,0.2901221640488656,0.2598411171671832,0.23684806400483055,0.20377475487346433,0.17301179254906762
pct_interview_given_nosignal,0.3111659551760939,0.2861963295802775,0.2637497740010848,0.23255641605217328,0.20253457108740033,0.17189653774426336
pct_interview_given_nosignal,0.31267803880827105,0.288621132678218,0.25718416134833044,0.23360381150897044,0.2009401154125425,0.17094017094017094
pct_interview_given_nosignal,0.3160140902316759,0.28412237224406084,0.2541640532441285,0.23234118169702356,0.2011553617200352,0.17467248908296942
pct_interview_given_nosignal,0.3137294461817815,0.2853807594589027,0.25591186583397657,0.23594871987668709,0.19993915887139707,0.16738383798507758
pct_interview_given_application,0.31344486998588994,0.3063134049049542,0.3074641621354424,0.3082565169987115,0.3152027027027027,0.30847054155921444
pct_interview_given_application,0.31081351189286427,0.3143107397924808,0.3160569105691057,0.3131292790978655,0.30966842576919246,0.3099667774086379
pct_interview_given_application,0.30814452737961556,0.3107721004596629,0.3134238108035474,0.31280383545110135,0.30903249312709086,0.3102863414147461
pct_interview_given_application,0.31551181901186975,0.31225944643395026,0.311031103110311,0.32013450452923414,0.3125,0.31299272031936665
pct_interview_given_application,0.3083685880486515,0.3094835306995721,0.31557584982242515,0.31446964845461595,0.3146499392958316,0.31912710357093993
pct_interview_given_application,0.314543860832041,0.31448024807873803,0.30989470887169096,0.3157146724417975,0.31230125523012553,0.31523465216069196
pct_interview_given_application,0.3111659551760939,0.31036891653637605,0.314236637364858,0.3105755467527712,0.31065827589651385,0.3135502083613389
pct_interview_given_application,0.31267803880827105,0.3129087433343395,0.3069381846892785,0.31183155080213903,0.3085419491385297,0.3121027630962735
pct_interview_given_application,0.3160140902316759,0.3081954216628679,0.30357259061625563,0.31031730193574136,0.30882791036377477,0.31773600326930934
pct_interview_given_application,0.3137294461817815,0.30951433121019106,0.3055209902416661,0.3146393282298587,0.30721106354955546,0.30669603234607673
pct_of_app_match_via_signal_given_matched,0.0,0.932475884244373,0.9839228295819936,0.9983922829581994,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9448946515397083,0.9823151125401929,0.9967845659163987,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9501607717041801,0.9967845659163987,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9260450160771704,0.9983922829581994,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9500805152979066,0.9823151125401929,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.948220064724919,0.9935587761674718,0.9983922829581994,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9500805152979066,0.9887459807073955,0.9983922829581994,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9646302250803859,0.9967845659163987,0.9983922829581994,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9565916398713826,0.9951768488745981,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9614147909967846,0.9935691318327974,1.0,1.0,1.0
