Parameter,0,1,2,3,4,5,6,7,8,9,10,11
unmatched_applicants,2220.0,1053.0,1026.0,1003.0,998.0,1002.0,1043.0,1110.0,1139.0,1183.0,1230.0,1294.0
unmatched_applicants,2268.0,1060.0,1019.0,1003.0,998.0,999.0,1036.0,1088.0,1127.0,1186.0,1248.0,1293.0
unmatched_applicants,2230.0,1056.0,1046.0,1001.0,998.0,1005.0,1050.0,1104.0,1134.0,1194.0,1272.0,1308.0
unmatched_applicants,2278.0,1039.0,1014.0,998.0,998.0,999.0,1045.0,1090.0,1127.0,1210.0,1274.0,1312.0
unmatched_applicants,2262.0,1072.0,1030.0,998.0,998.0,1006.0,1033.0,1108.0,1141.0,1191.0,1240.0,1305.0
unmatched_applicants,2275.0,1065.0,1028.0,1006.0,998.0,1000.0,1060.0,1116.0,1126.0,1195.0,1264.0,1291.0
unmatched_applicants,2206.0,1065.0,1033.0,1016.0,998.0,998.0,1049.0,1105.0,1129.0,1206.0,1265.0,1308.0
unmatched_applicants,2258.0,1048.0,1015.0,1004.0,998.0,998.0,1058.0,1105.0,1132.0,1198.0,1239.0,1302.0
unmatched_applicants,2247.0,1040.0,1038.0,1002.0,998.0,1001.0,1032.0,1093.0,1134.0,1189.0,1266.0,1306.0
unmatched_applicants,2261.0,1048.0,1035.0,1008.0,998.0,1006.0,1040.0,1125.0,1145.0,1206.0,1259.0,1296.0
unfilled_spots,1222.0,55.0,28.0,5.0,0.0,4.0,45.0,112.0,141.0,185.0,232.0,296.0
unfilled_spots,1270.0,62.0,21.0,5.0,0.0,1.0,38.0,90.0,129.0,188.0,250.0,295.0
unfilled_spots,1232.0,58.0,48.0,3.0,0.0,7.0,52.0,106.0,136.0,196.0,274.0,310.0
unfilled_spots,1280.0,41.0,16.0,0.0,0.0,1.0,47.0,92.0,129.0,212.0,276.0,314.0
unfilled_spots,1264.0,74.0,32.0,0.0,0.0,8.0,35.0,110.0,143.0,193.0,242.0,307.0
unfilled_spots,1277.0,67.0,30.0,8.0,0.0,2.0,62.0,118.0,128.0,197.0,266.0,293.0
unfilled_spots,1208.0,67.0,35.0,18.0,0.0,0.0,51.0,107.0,131.0,208.0,267.0,310.0
unfilled_spots,1260.0,50.0,17.0,6.0,0.0,0.0,60.0,107.0,134.0,200.0,241.0,304.0
unfilled_spots,1249.0,42.0,40.0,4.0,0.0,3.0,34.0,95.0,136.0,191.0,268.0,308.0
unfilled_spots,1263.0,50.0,37.0,10.0,0.0,8.0,42.0,127.0,147.0,208.0,261.0,298.0
reviews_per_program,473.892,472.888,468.708,460.576,187.732,83.212,95.952,111.94,127.884,143.852,159.76,175.632
reviews_per_program,471.688,472.892,471.364,465.86,190.528,83.096,95.952,111.916,127.876,143.86,159.748,175.532
reviews_per_program,469.632,471.408,465.8,445.976,177.168,83.18,95.952,111.936,127.888,143.836,159.724,175.432
reviews_per_program,470.712,472.044,469.46,448.448,179.164,83.112,95.952,111.932,127.896,143.872,159.8,175.644
reviews_per_program,472.128,472.12,473.02,451.072,178.26,83.06,95.94,111.928,127.9,143.832,159.68,175.544
reviews_per_program,473.372,471.084,468.32,444.368,180.98,81.396,95.952,111.924,127.9,143.788,159.772,175.532
reviews_per_program,467.852,469.884,472.128,454.524,163.864,79.96,95.948,111.94,127.9,143.776,159.668,175.588
reviews_per_program,474.98,469.032,473.1,442.856,170.7,81.484,95.94,111.916,127.88,143.836,159.708,175.56
reviews_per_program,470.848,474.78,472.4,454.792,176.824,83.24,95.948,111.924,127.884,143.864,159.744,175.544
reviews_per_program,469.544,468.104,472.052,461.116,177.852,81.524,95.948,111.936,127.9,143.828,159.716,175.436
