Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
unmatched_applicants,1121.0,878.0,868.0,866.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,866.0,863.0,863.0,890.0,874.0,892.0,921.0,941.0,929.0,952.0,966.0,982.0,992.0
unmatched_applicants,1116.0,882.0,865.0,865.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,865.0,883.0,872.0,900.0,918.0,953.0,945.0,971.0,976.0,980.0,1005.0
unmatched_applicants,1114.0,877.0,875.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,866.0,872.0,886.0,906.0,911.0,937.0,955.0,955.0,976.0,1007.0,989.0
unmatched_applicants,1113.0,884.0,878.0,865.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,877.0,875.0,911.0,924.0,935.0,942.0,973.0,986.0,980.0,999.0
unmatched_applicants,1128.0,872.0,867.0,865.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,871.0,878.0,882.0,905.0,925.0,944.0,952.0,978.0,983.0,1003.0,1021.0
unmatched_applicants,1120.0,886.0,873.0,869.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,871.0,889.0,899.0,931.0,941.0,935.0,945.0,981.0,979.0,986.0
unmatched_applicants,1145.0,888.0,878.0,866.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,866.0,871.0,889.0,868.0,886.0,927.0,932.0,936.0,943.0,987.0,989.0,995.0
unmatched_applicants,1123.0,875.0,870.0,864.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,867.0,869.0,887.0,910.0,912.0,942.0,967.0,939.0,973.0,1014.0,1021.0
unmatched_applicants,1125.0,880.0,870.0,865.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,867.0,869.0,881.0,887.0,906.0,921.0,931.0,974.0,961.0,1011.0,1000.0
unmatched_applicants,1123.0,871.0,875.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,873.0,873.0,873.0,886.0,933.0,937.0,930.0,959.0,989.0,992.0,1018.0
