Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,1092.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1001.0,998.0,998.0,1000.0,1002.0,1012.0,1035.0
unmatched_applicants,1088.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1007.0,1012.0,1008.0,1021.0
unmatched_applicants,1088.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1006.0,1016.0,1014.0,1024.0
unmatched_applicants,1096.0,1002.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1002.0,1004.0,1019.0,1021.0,1014.0
unmatched_applicants,1105.0,998.0,1001.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1017.0,1006.0,1011.0
unmatched_applicants,1095.0,1000.0,1000.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1007.0,1016.0,1003.0,1035.0
unmatched_applicants,1101.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1006.0,998.0,999.0,1004.0,1004.0,1015.0
unmatched_applicants,1087.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1008.0,998.0,1009.0,1022.0,1001.0
unmatched_applicants,1076.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,999.0,998.0,998.0,1002.0,1002.0,1015.0,1023.0
unmatched_applicants,1095.0,999.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1012.0,1010.0,1013.0
unfilled_spots,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,14.0,37.0
unfilled_spots,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,10.0,23.0
unfilled_spots,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,16.0,26.0
unfilled_spots,98.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,21.0,23.0,16.0
unfilled_spots,107.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,13.0
unfilled_spots,97.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,5.0,37.0
unfilled_spots,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,6.0,17.0
unfilled_spots,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,24.0,3.0
unfilled_spots,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,17.0,25.0
unfilled_spots,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,15.0
reviews_per_program,472.9,473.284,469.956,470.672,479.12,470.892,475.892,473.82,470.4,473.324,471.588,466.472,471.344,458.724,386.064,287.448,267.848,268.508,280.76,295.408,307.416,320.836,333.456,343.56,355.256,365.384,376.096,387.6,394.764,401.688
reviews_per_program,471.832,473.884,470.444,475.252,468.844,475.876,471.472,471.156,471.692,471.216,471.072,470.076,468.568,449.828,383.408,298.252,264.484,267.044,281.028,295.048,308.536,319.584,333.612,343.424,356.072,366.968,376.808,385.268,394.452,401.56
reviews_per_program,471.448,474.288,470.188,469.472,472.74,471.776,472.076,470.356,475.352,476.584,472.788,470.48,468.92,456.58,385.796,295.968,265.684,267.756,281.252,295.544,308.068,320.716,332.296,344.848,355.5,365.764,374.372,385.952,394.568,402.296
reviews_per_program,469.216,474.6,470.34,469.396,464.74,473.776,468.992,472.684,464.108,470.332,470.308,474.224,467.964,456.836,386.428,301.7,262.8,268.996,281.048,295.144,308.288,321.308,334.076,344.644,354.972,366.292,375.032,385.12,394.68,402.08
reviews_per_program,467.836,469.1,472.036,469.14,473.572,474.308,469.68,470.48,474.352,471.832,475.896,472.516,473.616,447.664,384.468,299.312,268.62,268.24,281.04,295.336,309.044,321.572,331.516,343.784,356.224,364.664,376.848,383.816,391.736,402.144
reviews_per_program,471.888,469.684,469.14,470.256,467.708,472.728,474.776,469.436,470.788,474.136,474.264,469.184,475.512,452.268,384.444,286.26,262.452,267.792,281.296,295.292,308.072,320.708,332.116,343.836,353.704,365.668,374.524,385.368,392.74,402.612
reviews_per_program,470.372,472.716,470.54,474.036,469.864,471.396,471.216,474.62,473.784,475.932,475.48,473.78,468.596,459.1,385.556,287.372,261.072,267.296,280.936,295.036,307.1,320.584,332.96,344.732,356.208,367.252,374.616,382.392,394.676,399.208
reviews_per_program,472.712,473.268,469.48,475.98,473.088,472.816,478.748,469.384,470.652,471.4,476.32,475.828,472.632,454.752,377.752,298.764,263.7,268.068,281.764,294.98,307.388,320.728,332.296,344.384,355.852,367.712,377.704,382.852,392.884,402.192
reviews_per_program,470.744,474.292,471.52,463.824,479.984,469.232,474.78,469.656,466.664,472.656,469.032,470.348,473.408,448.0,385.784,305.376,266.472,266.696,281.62,295.076,308.264,320.184,334.016,344.284,356.492,366.212,377.248,385.184,394.356,398.36
reviews_per_program,470.98,469.256,474.832,473.324,471.308,470.668,475.088,472.528,469.744,474.044,471.516,470.148,468.472,459.664,385.804,303.26,262.016,267.448,281.32,294.6,307.904,320.284,333.084,345.756,356.444,366.464,376.388,385.568,393.492,400.272
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998318515655199,0.9875998848175077,0.9519075222431922,0.9027332465636012,0.854083299611828,0.8120814930901837,0.7718138980664031,0.741666016082442,0.7106434440025433,0.6837483805959407,0.6636395389451624,0.6417907086720562,0.6240010509491385,0.6062281970560708,0.5882352941176471,0.5775602638538468,0.5676047081316843
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981822049467232,0.9855854883118286,0.9511064668902635,0.9041233018193374,0.8537918844834559,0.8113070583714078,0.772755619424636,0.7389737340213136,0.7134274556924001,0.6834286536455523,0.6639023481177786,0.6403199352939855,0.6213075799524754,0.6050826946349335,0.5917958408173012,0.5780170971372943,0.5677856360195238
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998953909241166,0.9985494352467894,0.9847568657092467,0.950249342947638,0.8998308380630168,0.8544146304901814,0.8106609019669193,0.7714587337249276,0.7400963423659711,0.7109093403509648,0.6861352529070467,0.6611608592771308,0.6413502109704642,0.6233527629837818,0.6090199053348007,0.5907470359008374,0.5778471644938261,0.5667468729492712
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981632574146398,0.9847252707711129,0.950262661637931,0.9023504409059189,0.8551664115722818,0.8112493239588967,0.7725042691025398,0.739568195972597,0.7095995119947216,0.6824794358169998,0.6615522103968152,0.642304181738278,0.6224542168543129,0.6079481217602765,0.5920232654756958,0.5776831863788385,0.5670513330680461
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999790886848874,0.9977370752180724,0.9842546606204563,0.9527854235971563,0.9013832332483007,0.8526019774729631,0.8112724167378309,0.7720020586721564,0.7377590246049106,0.7090169542124314,0.6877496108785096,0.6632071300584088,0.6400467121810995,0.6252330912840314,0.6050184689848427,0.5940346415990996,0.5820246288316622,0.56696108856529
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999790934938954,0.9981239362525143,0.987039870398704,0.9506800430918395,0.901382138277156,0.8538295577130529,0.810534099311757,0.7721170908795362,0.7400867329715132,0.7109270738491088,0.6865071240169097,0.663106830000349,0.6446067898581865,0.6235164137961211,0.6087727355256272,0.5916422743974591,0.5805367418648469,0.5663020476289827
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998536942209217,0.9983381321378191,0.9865546824309711,0.9506384986017049,0.9029193955059387,0.8555046904315197,0.811572742546345,0.7727870497159669,0.742429176164116,0.7112020562473486,0.6847669389716482,0.6613833354605897,0.6400754615280959,0.6208271159857537,0.6086232301877122,0.5962467834055106,0.5776890411375407,0.5711308390613414
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987632372265595,0.9838077075312152,0.9490384777159009,0.902680412371134,0.8555367087467539,0.8111923941817768,0.7729337582208964,0.7417335745051856,0.7108827417624903,0.6861352529070467,0.6620516632596172,0.6407158031990827,0.6200504742842224,0.6036473005316333,0.5955303877216261,0.5803239633072357,0.5668934240362812
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988194310044514,0.982229576603475,0.9502714916866211,0.9004716831808541,0.8549059603443622,0.811952418263409,0.7726822920196831,0.739625775309475,0.7120905479349374,0.6826020310404292,0.6622439613807206,0.6395655442478373,0.6225901936583181,0.604376961574349,0.5919248982304561,0.5781578066518577,0.5723466211467014
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983741725699686,0.9854576869083186,0.950946005193754,0.9025825692439481,0.8552864559887158,0.8104649509455425,0.7739307535641547,0.7404905425067554,0.7118682169574503,0.6845120149872105,0.6594245653003853,0.6396516703886165,0.6221620677610897,0.6057578881367099,0.5913353805295045,0.5794272818761246,0.5696126633888956
pct_interview_given_nosignal,0.4821315288644534,0.4636162452000035,0.4475537248956554,0.42589473285765655,0.39511311519636183,0.3786847840545159,0.34754961309680477,0.32074408117249154,0.29222971000105114,0.2555200835144026,0.2188486107904256,0.18023815416769792,0.1305764660680489,0.08025395491249662,0.03405939959289,0.008691058434587005,0.0023143046065682168,0.00025284941844633756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4832228420285186,0.4630087444200816,0.44705560370387265,0.42132953875246915,0.4051413272211739,0.3739176997140808,0.3516403919897742,0.32312266167824694,0.29112318629789513,0.25700180849503884,0.2191912832307554,0.17785385336430695,0.1332257227682818,0.08236428177979069,0.03615863141524106,0.00965214879263174,0.0018206226897401474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
