Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1207.0,881.0,866.0,867.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,868.0,863.0,890.0,912.0,943.0,919.0,961.0,1001.0,1023.0,1061.0,1094.0,1062.0,1065.0,1088.0,1108.0,1127.0,1128.0,1160.0,1140.0,1149.0,1177.0,1178.0,1168.0,1181.0,1199.0,1177.0
unmatched_applicants,1229.0,885.0,877.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,877.0,898.0,925.0,937.0,968.0,1000.0,1020.0,1020.0,1048.0,1072.0,1068.0,1111.0,1113.0,1157.0,1128.0,1140.0,1141.0,1150.0,1180.0,1141.0,1144.0,1169.0,1176.0,1189.0
unmatched_applicants,1192.0,880.0,877.0,866.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,864.0,863.0,872.0,868.0,876.0,907.0,946.0,964.0,968.0,1003.0,1027.0,1033.0,1052.0,1053.0,1092.0,1081.0,1115.0,1109.0,1141.0,1144.0,1149.0,1148.0,1161.0,1192.0,1167.0,1204.0,1172.0,1187.0
unmatched_applicants,1201.0,888.0,870.0,876.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,871.0,866.0,871.0,901.0,911.0,937.0,971.0,984.0,1021.0,1033.0,1069.0,1070.0,1101.0,1086.0,1115.0,1130.0,1142.0,1140.0,1164.0,1154.0,1151.0,1171.0,1170.0,1168.0,1176.0,1189.0
unmatched_applicants,1208.0,885.0,870.0,864.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,872.0,877.0,893.0,911.0,944.0,936.0,957.0,991.0,1027.0,1033.0,1048.0,1058.0,1085.0,1114.0,1111.0,1136.0,1140.0,1124.0,1145.0,1161.0,1143.0,1176.0,1148.0,1178.0,1174.0,1198.0
unmatched_applicants,1220.0,881.0,872.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,867.0,872.0,890.0,915.0,932.0,942.0,983.0,1005.0,1022.0,1045.0,1057.0,1073.0,1104.0,1102.0,1113.0,1138.0,1140.0,1150.0,1170.0,1159.0,1157.0,1172.0,1162.0,1179.0,1176.0,1181.0
unmatched_applicants,1209.0,886.0,877.0,868.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,867.0,875.0,887.0,915.0,946.0,953.0,969.0,1008.0,1005.0,1031.0,1061.0,1060.0,1077.0,1085.0,1107.0,1118.0,1107.0,1141.0,1147.0,1138.0,1168.0,1188.0,1157.0,1168.0,1181.0,1180.0
unmatched_applicants,1227.0,889.0,874.0,864.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,870.0,879.0,866.0,902.0,931.0,937.0,958.0,1007.0,1016.0,1019.0,1058.0,1065.0,1098.0,1093.0,1062.0,1139.0,1112.0,1134.0,1156.0,1158.0,1147.0,1180.0,1157.0,1188.0,1190.0,1174.0
unmatched_applicants,1224.0,878.0,867.0,869.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,878.0,876.0,891.0,900.0,938.0,941.0,971.0,1002.0,1008.0,1051.0,1041.0,1087.0,1082.0,1095.0,1126.0,1125.0,1130.0,1169.0,1148.0,1172.0,1153.0,1170.0,1166.0,1196.0,1175.0,1202.0
unmatched_applicants,1216.0,868.0,866.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,873.0,906.0,945.0,935.0,990.0,1001.0,1022.0,1034.0,1041.0,1067.0,1086.0,1128.0,1105.0,1121.0,1130.0,1138.0,1149.0,1165.0,1175.0,1196.0,1167.0,1183.0,1161.0,1182.0
