Parameter,0,1,2,3,4
unmatched_applicants,1197.0,1002.0,998.0,999.0,998.0
unmatched_applicants,1202.0,1003.0,1000.0,998.0,998.0
unmatched_applicants,1193.0,1007.0,1005.0,998.0,998.0
unmatched_applicants,1172.0,1001.0,1005.0,998.0,998.0
unmatched_applicants,1170.0,1005.0,998.0,999.0,998.0
unmatched_applicants,1188.0,1001.0,1002.0,999.0,998.0
unmatched_applicants,1206.0,1001.0,1001.0,998.0,998.0
unmatched_applicants,1179.0,1001.0,1009.0,998.0,998.0
unmatched_applicants,1195.0,1010.0,1004.0,998.0,998.0
unmatched_applicants,1196.0,1015.0,1000.0,998.0,998.0
unfilled_spots,199.0,4.0,0.0,1.0,0.0
unfilled_spots,204.0,5.0,2.0,0.0,0.0
unfilled_spots,195.0,9.0,7.0,0.0,0.0
unfilled_spots,174.0,3.0,7.0,0.0,0.0
unfilled_spots,172.0,7.0,0.0,1.0,0.0
unfilled_spots,190.0,3.0,4.0,1.0,0.0
unfilled_spots,208.0,3.0,3.0,0.0,0.0
unfilled_spots,181.0,3.0,11.0,0.0,0.0
unfilled_spots,197.0,12.0,6.0,0.0,0.0
unfilled_spots,198.0,17.0,2.0,0.0,0.0
reviews_per_program,471.104,473.488,473.024,471.96,470.344
reviews_per_program,469.788,470.64,470.188,472.792,469.808
reviews_per_program,474.616,474.94,467.076,470.96,467.94
reviews_per_program,466.496,472.848,467.404,470.12,476.528
reviews_per_program,470.904,472.42,474.696,468.908,469.496
reviews_per_program,467.192,473.564,471.628,471.96,468.292
reviews_per_program,474.696,474.72,466.252,473.492,474.248
reviews_per_program,469.968,474.768,469.776,467.564,472.112
reviews_per_program,475.908,470.636,472.62,468.852,470.588
reviews_per_program,467.856,477.664,469.228,473.392,472.892
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0
pct_interview_given_nosignal,0.4075533215595707,0.38472030356549564,0.362815164157446,0.3396920638514661,0.3150579758647164
pct_interview_given_nosignal,0.4086949858233927,0.3871302634125741,0.36516325729568877,0.3390267786524048,0.3154740784545634
pct_interview_given_nosignal,0.4045375629982976,0.38350314196815327,0.36777509124507,0.3404951487526715,0.3169328567326448
pct_interview_given_nosignal,0.4115790917821375,0.38525925017948764,0.36749804786183454,0.34117268041237114,0.31033546635640874
pct_interview_given_nosignal,0.40772641557514905,0.38562051407889086,0.3614449122680207,0.3421550274153545,0.31571679390818885
pct_interview_given_nosignal,0.41096594119762325,0.38465640380093186,0.3639672098334107,0.3396920638514661,0.3166569384948705
