Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,599.0833333333334,372.4166666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.5833333333333,450.5
reviews_per_program,599.0,373.25,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.4166666666667,450.6666666666667
reviews_per_program,599.3333333333334,327.5,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5,400.4166666666667,450.5833333333333
reviews_per_program,599.0833333333334,281.5833333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.4166666666667,400.6666666666667,450.6666666666667
reviews_per_program,599.5833333333334,416.1666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667,450.6666666666667
reviews_per_program,598.5833333333334,417.3333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.3333333333333,450.6666666666667
reviews_per_program,599.75,326.8333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.4166666666667,350.4166666666667,400.5833333333333,450.5
reviews_per_program,598.75,418.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.5833333333333,450.5833333333333
reviews_per_program,599.6666666666666,418.3333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5,400.5,450.3333333333333
reviews_per_program,599.4166666666666,418.8333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5,400.5833333333333,450.6666666666667
pct_interview_given_signal,0.0,0.978369384359401,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.148324221535536,0.1298106927397545,0.11542730299667037
pct_interview_given_signal,0.0,0.9550748752079867,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.148324221535536,0.12986472424557752,0.11538461538461539
pct_interview_given_signal,0.0,0.9517470881863561,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.14835948644793154,0.12986472424557752,0.11540595524320325
pct_interview_given_signal,0.0,0.9700499168053245,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.1483947681331748,0.129783693843594,0.11538461538461539
pct_interview_given_signal,0.0,0.9983361064891847,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.148324221535536,0.129783693843594,0.11538461538461539
pct_interview_given_signal,0.0,0.9850249584026622,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.148324221535536,0.1298917568692756,0.11538461538461539
pct_interview_given_signal,0.0,0.9733777038269551,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17309292649098473,0.1483947681331748,0.1298106927397545,0.11542730299667037
pct_interview_given_signal,0.0,0.961730449251248,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.148324221535536,0.1298106927397545,0.11540595524320325
pct_interview_given_signal,0.0,0.9750415973377704,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.14835948644793154,0.12983770287141075,0.1154700222057735
pct_interview_given_signal,0.0,0.9683860232945092,0.519134775374376,0.34608985024958405,0.259567387687188,0.2076539101497504,0.17304492512479203,0.14835948644793154,0.1298106927397545,0.11538461538461539
pct_interview_given_nosignal,0.0867992766726944,0.0054611650485436895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08681135225375626,0.0076045627376425855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0867630700778643,0.007906340276721909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0867992766726944,0.0062215477996965095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.086726893676164,0.0036518563603164943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08687178059306697,0.004859529233105543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08670279283034597,0.005920752998330044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08684759916492693,0.006982392228293868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0867148415786548,0.005760194027588298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.08675100792437092,0.006367495451788963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.0867992766726944,0.08675100792437092,0.08681135225375626,0.08685968819599109,0.08681135225375626,0.08695652173913043,0.08669074742984162,0.08675100792437092,0.08685968819599109,0.086726893676164
pct_interview_given_application,0.08681135225375626,0.08695652173913043,0.0867148415786548,0.08663057059558517,0.08678720445062586,0.08684759916492693,0.0867992766726944,0.08664259927797834,0.08685968819599109,0.08665463130120817
