Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,585.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,581.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,601.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,542.0
unmatched_applicants,592.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,587.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,590.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,543.0,543.0
unmatched_applicants,585.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,577.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,542.0
unmatched_applicants,593.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,546.0
unmatched_applicants,592.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unfilled_spots,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
unfilled_spots,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
unfilled_spots,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
unfilled_spots,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
unfilled_spots,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,429.6,409.8545454545455,413.6,406.3272727272727,200.21818181818182,92.87272727272727,85.30909090909091,99.49090909090908,113.74545454545455,127.8,142.14545454545456,156.23636363636365,169.87272727272727,183.52727272727273,197.1090909090909,210.76363636363635,225.07272727272726
reviews_per_program,419.4727272727273,411.4,425.25454545454545,378.8545454545455,206.27272727272728,71.0909090909091,85.2909090909091,99.49090909090908,113.69090909090909,127.94545454545455,141.87272727272727,155.8909090909091,170.3090909090909,183.70909090909092,197.65454545454546,211.25454545454545,224.21818181818182
reviews_per_program,422.3272727272727,425.94545454545454,424.3454545454546,382.7818181818182,211.70909090909092,92.81818181818181,85.30909090909091,99.45454545454545,113.7090909090909,127.9090909090909,142.0,156.1090909090909,170.27272727272728,184.05454545454546,197.9090909090909,211.63636363636363,224.8909090909091
reviews_per_program,424.4,415.1636363636364,424.3636363636364,394.0,208.03636363636363,105.10909090909091,85.30909090909091,99.52727272727273,113.7090909090909,127.9090909090909,142.03636363636363,155.83636363636364,169.9090909090909,184.05454545454546,197.6,211.38181818181818,224.76363636363635
reviews_per_program,421.8545454545455,417.05454545454546,408.07272727272726,409.1818181818182,241.54545454545453,104.56363636363636,85.30909090909091,99.50909090909092,113.72727272727273,127.83636363636364,142.01818181818183,156.25454545454545,170.1090909090909,183.94545454545454,198.3272727272727,211.56363636363636,224.8909090909091
reviews_per_program,422.4,419.03636363636366,419.1636363636364,393.6909090909091,216.2,118.54545454545455,93.14545454545454,99.52727272727273,113.67272727272727,127.83636363636364,142.12727272727273,155.63636363636363,170.25454545454545,183.8,197.2,211.3272727272727,224.1818181818182
reviews_per_program,415.7090909090909,412.9818181818182,422.6909090909091,413.3090909090909,221.16363636363636,92.92727272727272,85.30909090909091,99.50909090909092,113.72727272727273,127.83636363636364,142.03636363636363,156.12727272727273,169.83636363636364,184.05454545454546,197.2,210.5818181818182,223.85454545454544
reviews_per_program,401.6727272727273,415.6363636363636,415.6,386.6545454545454,253.2,100.94545454545455,85.30909090909091,99.52727272727273,113.69090909090909,127.94545454545455,141.83636363636364,156.14545454545456,170.0,184.12727272727273,197.4181818181818,210.76363636363635,224.27272727272728
reviews_per_program,419.1454545454545,421.0181818181818,413.5272727272727,408.6545454545454,225.03636363636363,110.45454545454545,93.2909090909091,99.45454545454545,113.72727272727273,127.76363636363637,142.0909090909091,156.21818181818182,170.01818181818183,183.5818181818182,197.1818181818182,210.6909090909091,224.8181818181818
