Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,573.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,583.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,576.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,579.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,577.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,579.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,581.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,577.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,579.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unmatched_applicants,579.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0
unfilled_spots,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,420.43636363636364,414.8,409.43636363636364,420.3272727272727,336.6181818181818,170.1090909090909,93.43636363636364,99.52727272727273,113.67272727272727,127.87272727272727,142.05454545454546,155.78181818181818,170.1090909090909,183.85454545454544,197.76363636363635,210.98181818181817,224.63636363636363,237.5818181818182,250.43636363636364
reviews_per_program,419.6909090909091,413.1272727272727,415.3636363636364,417.96363636363634,332.41818181818184,178.25454545454545,101.01818181818182,99.49090909090908,113.72727272727273,127.92727272727272,141.96363636363637,156.34545454545454,170.27272727272728,183.87272727272727,198.0909090909091,210.76363636363635,224.03636363636363,237.52727272727273,249.83636363636364
reviews_per_program,413.6363636363636,411.6727272727273,416.2909090909091,417.3818181818182,326.23636363636365,184.36363636363637,97.76363636363637,99.52727272727273,113.74545454545455,127.9090909090909,142.1090909090909,156.16363636363636,169.9090909090909,184.1818181818182,197.85454545454544,210.5090909090909,224.65454545454546,237.4909090909091,248.70909090909092
reviews_per_program,415.1818181818182,417.8363636363636,419.3636363636364,417.3090909090909,326.43636363636364,194.3090909090909,106.16363636363636,99.49090909090908,113.74545454545455,127.9090909090909,141.8909090909091,156.05454545454546,169.78181818181818,183.8909090909091,197.27272727272728,211.52727272727273,224.01818181818183,238.3090909090909,248.8909090909091
reviews_per_program,413.09090909090907,414.90909090909093,420.27272727272725,407.74545454545455,342.4,174.76363636363635,101.16363636363636,99.52727272727273,113.69090909090909,127.9090909090909,142.01818181818183,156.03636363636363,170.05454545454546,184.25454545454545,197.6,211.05454545454546,224.9090909090909,237.56363636363636,251.05454545454546
