Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
unmatched_applicants,613.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,543.0,542.0,547.0,546.0,550.0,552.0,551.0,563.0,572.0
unmatched_applicants,600.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,548.0,542.0,548.0,546.0,552.0,555.0,562.0,569.0
unmatched_applicants,611.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,542.0,548.0,550.0,550.0,549.0,555.0,556.0,564.0,566.0
unmatched_applicants,607.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,548.0,545.0,547.0,551.0,552.0,557.0,555.0,567.0,566.0
unmatched_applicants,611.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,544.0,545.0,547.0,545.0,553.0,553.0,559.0,567.0,567.0
unmatched_applicants,608.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,543.0,547.0,554.0,555.0,563.0,559.0,570.0
unmatched_applicants,612.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,547.0,550.0,546.0,549.0,556.0,558.0,558.0,566.0
unmatched_applicants,609.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,542.0,542.0,544.0,545.0,544.0,542.0,548.0,544.0,552.0,557.0,563.0,567.0
unmatched_applicants,615.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,543.0,542.0,548.0,546.0,549.0,550.0,547.0,552.0,565.0,559.0,562.0
unmatched_applicants,612.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,542.0,542.0,542.0,542.0,550.0,550.0,549.0,550.0,549.0,556.0,560.0,567.0
unfilled_spots,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,4.0,8.0,10.0,9.0,21.0,30.0
unfilled_spots,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,4.0,10.0,13.0,20.0,27.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,8.0,8.0,7.0,13.0,14.0,22.0,24.0
unfilled_spots,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,5.0,9.0,10.0,15.0,13.0,25.0,24.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,11.0,11.0,17.0,25.0,25.0
