Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,191.0,175.0,175.0,176.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,177.0,179.0,177.0,182.0,183.0,179.0,182.0,181.0,179.0,185.0,181.0,190.0,184.0,185.0,186.0,188.0,190.0,188.0,190.0,191.0,194.0
unmatched_applicants,198.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,179.0,180.0,180.0,179.0,180.0,180.0,181.0,183.0,183.0,187.0,182.0,183.0,185.0,188.0,181.0,188.0,191.0,192.0,186.0,196.0
unmatched_applicants,187.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,176.0,176.0,175.0,178.0,178.0,177.0,181.0,180.0,181.0,181.0,179.0,182.0,183.0,184.0,185.0,183.0,189.0,183.0,192.0,188.0,194.0,188.0,185.0,183.0
unmatched_applicants,188.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,175.0,175.0,175.0,175.0,179.0,175.0,180.0,184.0,175.0,179.0,179.0,183.0,178.0,183.0,182.0,182.0,184.0,188.0,185.0,188.0,183.0,186.0,186.0,186.0,188.0
unmatched_applicants,191.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,175.0,180.0,180.0,180.0,178.0,179.0,177.0,179.0,180.0,183.0,183.0,181.0,184.0,184.0,180.0,188.0,183.0,185.0,192.0,192.0,199.0,188.0,189.0
unmatched_applicants,195.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,179.0,178.0,177.0,177.0,177.0,180.0,180.0,179.0,181.0,182.0,181.0,182.0,182.0,185.0,182.0,189.0,181.0,189.0,186.0,187.0,185.0,191.0,190.0,190.0
unmatched_applicants,195.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,177.0,176.0,181.0,179.0,182.0,182.0,181.0,185.0,181.0,183.0,183.0,181.0,190.0,184.0,184.0,188.0,188.0,196.0,184.0,189.0,193.0,187.0
unmatched_applicants,192.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,179.0,175.0,178.0,180.0,178.0,180.0,179.0,179.0,181.0,184.0,183.0,183.0,184.0,183.0,184.0,185.0,186.0,186.0,185.0,188.0,188.0,185.0,195.0
unmatched_applicants,190.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,177.0,180.0,177.0,175.0,181.0,179.0,179.0,177.0,182.0,183.0,181.0,183.0,186.0,184.0,186.0,184.0,186.0,189.0,189.0,195.0,188.0,185.0,187.0
unmatched_applicants,195.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,176.0,177.0,177.0,180.0,179.0,179.0,182.0,181.0,180.0,177.0,186.0,179.0,183.0,184.0,185.0,178.0,186.0,188.0,188.0,192.0,190.0,186.0,189.0
unfilled_spots,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,7.0,8.0,4.0,7.0,6.0,4.0,10.0,6.0,15.0,9.0,10.0,11.0,13.0,15.0,13.0,15.0,16.0,19.0
unfilled_spots,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,8.0,8.0,12.0,7.0,8.0,10.0,13.0,6.0,13.0,16.0,17.0,11.0,21.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,6.0,5.0,6.0,6.0,4.0,7.0,8.0,9.0,10.0,8.0,14.0,8.0,17.0,13.0,19.0,13.0,10.0,8.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,9.0,0.0,4.0,4.0,8.0,3.0,8.0,7.0,7.0,9.0,13.0,10.0,13.0,8.0,11.0,11.0,11.0,13.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,8.0,8.0,6.0,9.0,9.0,5.0,13.0,8.0,10.0,17.0,17.0,24.0,13.0,14.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,5.0,5.0,4.0,6.0,7.0,6.0,7.0,7.0,10.0,7.0,14.0,6.0,14.0,11.0,12.0,10.0,16.0,15.0,15.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,4.0,7.0,7.0,6.0,10.0,6.0,8.0,8.0,6.0,15.0,9.0,9.0,13.0,13.0,21.0,9.0,14.0,18.0,12.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,3.0,5.0,4.0,4.0,6.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,11.0,11.0,10.0,13.0,13.0,10.0,20.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,6.0,4.0,4.0,2.0,7.0,8.0,6.0,8.0,11.0,9.0,11.0,9.0,11.0,14.0,14.0,20.0,13.0,10.0,12.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,4.0,4.0,7.0,6.0,5.0,2.0,11.0,4.0,8.0,9.0,10.0,3.0,11.0,13.0,13.0,17.0,15.0,11.0,14.0
reviews_per_program,126.91208791208791,128.8901098901099,128.8901098901099,128.73626373626374,128.06593406593407,125.7032967032967,121.79120879120879,110.20879120879121,93.95604395604396,86.21978021978022,74.10989010989012,62.46153846153846,61.8021978021978,60.23076923076923,60.64835164835165,64.43956043956044,68.84615384615384,72.76923076923077,76.15384615384616,79.57142857142857,82.87912087912088,87.84615384615384,91.08791208791209,93.63736263736264,96.79120879120879,100.50549450549451,103.12087912087912,105.37362637362638,106.83516483516483,108.10989010989012,112.21978021978022,113.17582417582418,112.25274725274726,115.48351648351648,118.21978021978022,120.12087912087912,119.17582417582418,123.05494505494505,124.0,123.63736263736264,123.27472527472527
reviews_per_program,129.1098901098901,127.63736263736264,125.71428571428571,129.05494505494505,126.01098901098901,128.46153846153845,126.94505494505495,105.58241758241758,88.84615384615384,78.76923076923077,74.78021978021978,61.07692307692308,57.582417582417584,59.97802197802198,62.20879120879121,64.91208791208791,68.49450549450549,72.72527472527473,76.31868131868131,79.9010989010989,83.79120879120879,88.56043956043956,91.05494505494505,94.89010989010988,97.07692307692308,99.62637362637362,100.81318681318682,105.3076923076923,106.36263736263736,110.78021978021978,111.81318681318682,112.53846153846153,115.03296703296704,118.48351648351648,117.49450549450549,113.75824175824175,123.54945054945055,118.92307692307692,122.48351648351648,119.49450549450549,121.17582417582418
reviews_per_program,125.93406593406593,125.54945054945055,131.0989010989011,128.8131868131868,127.28571428571429,129.72527472527472,121.50549450549451,107.01098901098901,93.57142857142857,80.73626373626374,75.8021978021978,65.28571428571429,61.956043956043956,59.010989010989015,60.54945054945055,64.62637362637362,68.91208791208791,72.89010989010988,75.87912087912088,80.31868131868131,84.04395604395604,86.83516483516483,89.62637362637362,93.75824175824175,97.21978021978022,97.21978021978022,103.57142857142857,106.38461538461539,105.61538461538461,109.81318681318682,112.62637362637362,115.10989010989012,115.71428571428571,116.43956043956044,118.25274725274726,119.18681318681318,119.31868131868131,122.24175824175825,122.25274725274726,122.01098901098901,125.89010989010988
reviews_per_program,124.15384615384616,128.63736263736263,129.96703296703296,128.86813186813185,127.34065934065934,124.24175824175825,122.3956043956044,111.95604395604396,90.96703296703296,80.15384615384616,75.83516483516483,63.54945054945055,61.67032967032967,58.40659340659341,61.395604395604394,64.48351648351648,68.78021978021978,72.93406593406593,76.14285714285714,79.83516483516483,84.0,87.31868131868131,90.97802197802197,93.24175824175825,95.96703296703296,99.07692307692308,102.17582417582418,105.10989010989012,106.87912087912088,105.98901098901099,109.8021978021978,111.34065934065934,114.23076923076923,118.3076923076923,116.6043956043956,117.17582417582418,120.34065934065934,121.27472527472527,120.82417582417582,122.41758241758242,125.47252747252747
reviews_per_program,130.94505494505495,125.41758241758242,128.17582417582418,129.69230769230768,125.15384615384616,129.5164835164835,121.06593406593407,102.06593406593407,93.43956043956044,76.21978021978022,72.43956043956044,66.54945054945055,60.582417582417584,57.34065934065934,60.45054945054945,65.61538461538461,68.78021978021978,72.26373626373626,76.07692307692308,80.0,83.96703296703296,87.45054945054945,90.10989010989012,94.15384615384616,96.57142857142857,99.38461538461539,101.48351648351648,105.53846153846153,108.7032967032967,108.47252747252747,112.82417582417582,110.20879120879121,114.67032967032966,116.04395604395604,118.53846153846153,115.73626373626374,121.4065934065934,118.6923076923077,124.12087912087912,119.87912087912088,124.71428571428571
reviews_per_program,129.2087912087912,121.75824175824175,128.7032967032967,132.78021978021977,123.52747252747253,129.04395604395606,121.57142857142857,110.42857142857143,95.42857142857143,77.05494505494505,73.8021978021978,61.9010989010989,58.69230769230769,57.21978021978022,61.582417582417584,64.76923076923077,68.76923076923077,72.74725274725274,76.65934065934066,79.49450549450549,83.82417582417582,86.71428571428571,90.45054945054945,92.7032967032967,97.04395604395604,100.08791208791209,102.53846153846153,103.96703296703296,109.6923076923077,109.47252747252747,110.23076923076923,113.3076923076923,113.9010989010989,114.56043956043956,116.89010989010988,119.8021978021978,118.95604395604396,120.23076923076923,120.98901098901099,122.6923076923077,121.9010989010989
reviews_per_program,128.95604395604394,128.02197802197801,125.50549450549451,125.16483516483517,129.1978021978022,124.76923076923077,120.20879120879121,101.2967032967033,89.9010989010989,77.07692307692308,75.34065934065934,68.34065934065934,60.73626373626374,62.1978021978022,60.43956043956044,64.49450549450549,68.81318681318682,72.53846153846153,76.54945054945055,79.93406593406593,83.25274725274726,86.9010989010989,90.91208791208791,93.3076923076923,97.56043956043956,100.61538461538461,101.52747252747253,104.4065934065934,108.02197802197803,109.6043956043956,109.21978021978022,111.01098901098901,112.2967032967033,115.49450549450549,116.52747252747253,121.06593406593407,122.47252747252747,120.63736263736264,124.5934065934066,123.67032967032966,122.64835164835165
reviews_per_program,125.07692307692308,129.3186813186813,127.37362637362638,126.78021978021978,125.4065934065934,124.13186813186813,125.96703296703296,111.10989010989012,91.14285714285714,80.50549450549451,76.36263736263736,63.59340659340659,65.45054945054945,58.32967032967033,60.15384615384615,65.2967032967033,68.78021978021978,72.58241758241758,76.32967032967034,80.35164835164835,83.73626373626374,87.21978021978022,90.63736263736264,94.14285714285714,96.5934065934066,99.52747252747253,102.92307692307692,106.3076923076923,107.20879120879121,110.84615384615384,111.17582417582418,112.6923076923077,116.32967032967034,115.92307692307692,119.04395604395604,118.48351648351648,117.92307692307692,118.95604395604396,122.74725274725274,122.50549450549451,125.57142857142857
reviews_per_program,129.71428571428572,129.07692307692307,132.24175824175825,128.67032967032966,132.4835164835165,126.27472527472527,117.93406593406593,112.64835164835165,89.18681318681318,77.49450549450549,71.81318681318682,67.23076923076923,59.21978021978022,61.065934065934066,62.97802197802198,64.72527472527473,68.46153846153847,72.51648351648352,76.36263736263736,80.65934065934066,83.68131868131869,87.32967032967034,90.71428571428571,93.49450549450549,96.79120879120879,99.6923076923077,101.62637362637362,103.6923076923077,108.64835164835165,107.81318681318682,110.57142857142857,111.0989010989011,113.73626373626374,117.15384615384616,118.34065934065934,118.02197802197803,118.06593406593407,119.10989010989012,122.62637362637362,123.15384615384616,124.92307692307692
reviews_per_program,125.21978021978022,126.38461538461539,133.7032967032967,126.27472527472527,128.0,125.46153846153847,124.43956043956044,112.01098901098901,95.13186813186813,77.35164835164835,76.42857142857143,60.64835164835165,60.46153846153846,57.40659340659341,60.362637362637365,64.84615384615384,69.07692307692308,72.94505494505495,76.36263736263736,80.03296703296704,84.04395604395604,87.37362637362638,89.5934065934066,92.83516483516483,98.54945054945055,98.93406593406593,100.6923076923077,103.57142857142857,107.06593406593407,107.35164835164835,109.84615384615384,114.48351648351648,114.34065934065934,114.9010989010989,116.81318681318682,115.91208791208791,119.76923076923077,121.05494505494505,125.3076923076923,121.96703296703296,123.10989010989012
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9886363636363636,0.9729339588596174,0.9374209860935525,0.8944709514454112,0.8422250316055626,0.7931431201104464,0.7384972562262558,0.6902290973174074,0.6406957782206921,0.6030013642564802,0.5644054269752594,0.5339776502567201,0.5102453102453103,0.4883303411131059,0.4688411561919915,0.4423317488116087,0.4265894559054168,0.41497476821969254,0.4014532243415077,0.38661710037174724,0.37681159420289856,0.36875586609656896,0.36371117054104096,0.359422646879447,0.3462593027810419,0.3433343043013885,0.3461576113558492,0.3364734989056999,0.32868562929912626,0.3234836702954899,0.3260488704472107,0.315770673334524,0.31336405529953915,0.3142831748289041,0.3152077019076484
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9994949494949495,0.9949494949494949,0.9722222222222222,0.9393939393939394,0.8932584269662921,0.8321943811693242,0.7933808319926454,0.7416490486257928,0.6885373950400312,0.6407978241160471,0.5986118164889115,0.5673030643349912,0.534300392867936,0.5091432685385169,0.4863154999312337,0.4637377049180328,0.4387641146544236,0.426743905382573,0.4094962362478286,0.40027167760923704,0.3900286785793073,0.3854371048615653,0.36898674736512577,0.3653269965905569,0.35075885328836426,0.34751842751842754,0.3452787813690069,0.33779136415743216,0.32795399740307923,0.33071455293677515,0.3415765069551777,0.31450680423374544,0.3267418222140085,0.31724385429750585,0.32517932683465145,0.3206674526163054
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9882154882154882,0.9841212558643089,0.9305555555555556,0.8914141414141414,0.8442871587462083,0.7936106642151229,0.7388091216216216,0.6891100702576113,0.6417422867513611,0.6012582894065636,0.5638654122149578,0.5330921151816674,0.5120926864590876,0.4837871117799973,0.46234309623430964,0.4474816502151354,0.4335458558116724,0.4144397562119081,0.39968350853396634,0.39968350853396634,0.37517241379310345,0.36525152360293356,0.36791176776610135,0.35384769338536975,0.3450092691969948,0.3375656324582339,0.3358024691358025,0.3337108342770857,0.3285939968404423,0.32601880877742945,0.32565850064468593,0.31787126932758003,0.3178426966292135,0.3184724849139872,0.308659217877095
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9984848484848485,0.9974736842105263,0.983044733044733,0.9257738471257106,0.8796296296296297,0.8340080971659919,0.7921451538814883,0.7383868243243243,0.6873661670235546,0.6434291954859848,0.6025903203817314,0.5649464770730148,0.5327708301943649,0.5103189493433395,0.4867171369580179,0.46258503401360546,0.4450037754845205,0.4271047227926078,0.41673541543901,0.4049009504179549,0.3921916592724046,0.3802968380296838,0.3696811291165708,0.36356158749742956,0.36661482633488857,0.35388310648518817,0.348993288590604,0.34016354016354017,0.32844138955972507,0.3332390915088116,0.3316139923098565,0.3228928864943841,0.3204059441826749,0.3216007276034561,0.31741472172351887,0.30968645997547734
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9984848484848485,0.9949494949494949,0.977994227994228,0.9434974747474747,0.8838383838383839,0.8324488248673237,0.7890140197655712,0.7364308342133051,0.6897560975609756,0.6427922195964371,0.6001697792869269,0.5649464770730148,0.537712895377129,0.5107612306803408,0.4857142857142857,0.4627666535793744,0.444332746921337,0.43121951219512195,0.4126984126984127,0.40236686390532544,0.39097744360902253,0.3828911748781808,0.368179925031237,0.35746057420137484,0.35822105156519096,0.34440440245446574,0.35257752517698676,0.3388596070915189,0.33484848484848484,0.3278019838694725,0.33573870110140525,0.32005792903692976,0.32737709471345244,0.3130588756086764,0.3241360344669539,0.3115693012600229
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9994949494949495,0.9974747474747475,0.9768869628024558,0.9248262792166771,0.8992704826038159,0.8444782168186423,0.7970114942528735,0.7413429054054054,0.6866485013623979,0.6413280116110305,0.5999321343739396,0.565036752956216,0.5341389728096677,0.5068807339449541,0.4888028753110312,0.4635553224960671,0.44810543657331137,0.4295954319037784,0.4191559981033665,0.4004076548522251,0.3882301273605621,0.3789518808273497,0.37374484726773066,0.35423762772991385,0.35494880546075086,0.3525072275944572,0.3429347299001067,0.34114809454896283,0.33918465227817746,0.3324245557958071,0.32434415703540637,0.3266512702078522,0.3231880084087378,0.3211625794732062,0.3167039856695029,0.3187595781123231
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.998989898989899,0.9962121212121212,0.9707686755683869,0.9343434343434344,0.8944413250982594,0.8368274816872948,0.7893768682455737,0.7359526827207435,0.6830218068535826,0.6429090909090909,0.602487646958596,0.5646758224209518,0.5356764126647477,0.5076083835773758,0.48611492988726973,0.46673706441393875,0.4471421345472939,0.42741448084129097,0.4164409374631963,0.39828790268078396,0.38619484491044126,0.3827254031821626,0.3721713503841701,0.35971515768056966,0.3545217565670744,0.35577019820907535,0.35002969708968523,0.346022115666895,0.336441484300666,0.3334590720482837,0.32095851865299085,0.31727231942575146,0.3220987429404263,0.31187158228964545,0.31419939577039274,0.3168174894722695
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.998989898989899,0.9966329966329966,0.9805194805194806,0.9343434343434344,0.8905723905723906,0.8377215189873418,0.7909007352941176,0.734914249417743,0.6875121761153322,0.6459627329192547,0.602319236016371,0.5649464770730148,0.5353520060560182,0.5090699683270947,0.48358862144420134,0.46404199475065616,0.4455083784805342,0.42870999030067897,0.41274658573596357,0.40227531285551765,0.39041625262228113,0.37753576767029684,0.3655158155881745,0.36244362443624434,0.350550213145633,0.34951072452307996,0.34480741101901513,0.3340260721707916,0.3351976490662622,0.3264100433859503,0.32795399740307923,0.3295126269685957,0.3266512702078522,0.3165622202327663,0.3171869393613204,0.3094425483503982
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9957912457912458,0.983044733044733,0.940637827597095,0.8904186569261029,0.8434343434343434,0.7858129894058038,0.7410846170078076,0.6862668489939441,0.6375838926174496,0.600339558573854,0.5675762439807384,0.5358387634490074,0.5088501942725572,0.4817438692098093,0.46434668417596847,0.44494777903611427,0.4283464566929134,0.4156088387400094,0.4014532243415077,0.3897707231040564,0.38235294117647056,0.37473505722763883,0.357641347223627,0.36041178269289575,0.35142118863049093,0.34975272007912955,0.3416425120772947,0.3316762029828346,0.3283498932119974,0.3292364990689013,0.3291139240506329,0.3262293569517483,0.31687427188816203,0.3155170875345766,0.3110485573539761
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9993686868686869,0.998989898989899,0.9974747474747475,0.9884559884559885,0.9419191919191919,0.8872053872053872,0.8374620829120324,0.795543303468872,0.7373865315600591,0.6900390625,0.643728381576552,0.5992204711065922,0.5625198854597518,0.5326905694486291,0.5088501942725572,0.4855142111767129,0.46234309623430964,0.4447239340963401,0.4337053845210352,0.4185606060606061,0.3942908117752007,0.3927579695657003,0.38589981447124305,0.37517241379310345,0.36292722980601455,0.36196130617258676,0.35374149659863946,0.3394125551929353,0.3398366170110524,0.33817903596021426,0.3326434619002822,0.33522942737959804,0.32443343426002386,0.32098765432098764,0.3100938349557134,0.31858726011352373,0.3156297420333839
pct_interview_given_nosignal,0.30617369469218114,0.27706697255801643,0.25089146932431194,0.22304550204236726,0.19384309831181729,0.1626594187748275,0.126545842217484,0.09436081779375421,0.06823078764663634,0.04164677804295943,0.026228249744114637,0.012373140553315724,0.00520393811533052,0.0017970919784348963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.30096178398161544,0.27988234245476423,0.2577009767092412,0.22243273967411897,0.19751087726398867,0.15839267548321465,0.12415254237288136,0.09348599377501111,0.06840947959931591,0.043723900761483664,0.032166018158236054,0.011806043569922698,0.004107378612292797,0.0015683814303638645,0.00031446540880503143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.30855148342059335,0.2847039622812585,0.246363799604956,0.22289728498196318,0.19521952195219522,0.15837150127226463,0.1289622231871472,0.08943179305770506,0.06907894736842106,0.04307655387568995,0.02423343224530168,0.01136986301369863,0.005414105940883816,0.0007599939200486396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31297574791998584,0.27763041556145,0.24866334390575442,0.22279153619888034,0.1951219512195122,0.16292193541644895,0.128722700198544,0.09125689208956904,0.07021819870009285,0.049311362518445645,0.03041439614750982,0.011728228633054732,0.005484460694698354,0.0007791803023219573,0.00016652789342214822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2967438737831487,0.2850140691658346,0.2523914643119941,0.22121726022234783,0.19908210096889342,0.15757024459268243,0.13012101698678805,0.09580768784113343,0.06395416812814217,0.049121913973021125,0.031654676258992806,0.013788487282463187,0.00676328502415459,0.00014532771399505885,0.0,0.00017382235355466714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.30073141690763733,0.29389741669786595,0.2512820512820513,0.21551170261587885,0.20213316765040903,0.1575910931174089,0.12453273523443341,0.09169149288315127,0.0712778429073857,0.03933452168746286,0.026037638566640885,0.009636871508379889,0.0036797173977038563,0.0012073649260488982,0.0001563721657544957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3013208351086493,0.27901190687755467,0.25816163326747577,0.23015095079396197,0.19188046790523935,0.16229166666666667,0.12823606845107502,0.09899368125438802,0.066138477437134,0.04440497335701599,0.029666090195556737,0.014090287277701778,0.0076650943396226415,0.004146919431279621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31066596380249517,0.2761167780513542,0.2540976016297805,0.22688182433085322,0.1986161986161986,0.16526996923729712,0.12141372141372142,0.08904855214456782,0.06534316505955758,0.04350961538461538,0.02932058899509171,0.012419077817413133,0.009236890720477476,0.001064638783269962,0.0,0.0006889424733034792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.29955947136563876,0.27665198237885463,0.24408468244084683,0.22317270221461838,0.186401833460657,0.16169593681804012,0.12869871301286986,0.08979185119574845,0.06438562015951912,0.045432037633077495,0.025799657759641964,0.01658640984483681,0.003208127255714477,0.0035205877850910763,0.0036726128016789086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
