Parameter,0,1,2,3,4,5,6,7,8,9,10,11
unmatched_applicants,982.0,891.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,996.0,891.0,892.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,997.0,890.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,991.0,893.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,1002.0,891.0,890.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,983.0,891.0,890.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,986.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,984.0,892.0,891.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,970.0,893.0,891.0,896.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unmatched_applicants,1000.0,895.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0
unfilled_spots,92.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,106.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,107.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,101.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,112.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,93.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,94.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,80.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,110.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,239.77227722772278,238.0371287128713,239.51980198019803,240.52227722772278,240.1138613861386,237.52475247524754,239.72524752475246,237.6410891089109,240.0891089108911,240.65594059405942,233.40841584158414,228.93564356435644
reviews_per_program,240.5742574257426,239.52475247524754,241.22029702970298,237.80940594059405,238.8242574257426,238.8638613861386,242.46534653465346,238.78960396039605,241.06930693069307,241.3960396039604,236.22772277227722,229.4628712871287
reviews_per_program,239.63118811881188,240.0742574257426,239.5742574257426,237.33415841584159,242.0990099009901,239.79207920792078,238.99257425742573,238.98019801980197,238.60148514851485,240.88861386138615,237.67326732673268,232.01980198019803
reviews_per_program,240.58415841584159,238.47277227722773,239.85643564356437,238.81683168316832,239.96782178217822,238.26237623762376,241.47029702970298,239.21039603960395,237.71534653465346,238.62623762376236,236.3638613861386,229.2648514851485
reviews_per_program,243.94306930693068,240.04207920792078,241.50742574257427,238.58663366336634,238.7970297029703,238.1608910891089,238.32673267326732,239.05445544554456,239.70049504950495,240.60643564356437,235.7549504950495,228.87623762376236
reviews_per_program,238.71782178217822,238.94306930693068,237.82178217821783,240.48267326732673,238.5618811881188,239.68564356435644,240.490099009901,240.52970297029702,240.08168316831683,238.240099009901,236.28465346534654,230.15594059405942
reviews_per_program,239.60148514851485,238.59653465346534,238.44059405940595,240.90594059405942,237.7351485148515,240.259900990099,237.65841584158414,240.42821782178217,239.08168316831683,237.78465346534654,237.56930693069307,224.79950495049505
reviews_per_program,235.50742574257427,235.17821782178217,240.75742574257427,237.86881188118812,238.1460396039604,239.4529702970297,240.21534653465346,238.15346534653466,239.31683168316832,239.06930693069307,237.49257425742573,233.67079207920793
reviews_per_program,236.91831683168317,242.26732673267327,240.2549504950495,239.49752475247524,240.4257425742574,238.08663366336634,239.05940594059405,238.8490099009901,236.04455445544554,237.85148514851485,236.68316831683168,233.3960396039604
reviews_per_program,239.6608910891089,238.96782178217822,240.09405940594058,241.2871287128713,239.06683168316832,238.03217821782178,237.76980198019803,240.40346534653466,240.1089108910891,236.53465346534654,236.17079207920793,230.29455445544554
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989310692361726,0.9960250173731758
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997250229147571,0.9955825970995166
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992670189048041,0.9961951842697253
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99920554893513,0.9956091596265007
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999660775467282,0.9986253245761417,0.9962748804625821
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998303934871099,0.9988394820425116,0.9963042209686831
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997625428270972,0.998717478930011,0.9963309892431276
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998982740497101,0.9989922125515346,0.9976373794368625
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998982567998372,0.9996642656574288,0.9968591917282784
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989006290844683,0.9950283301855349
pct_interview_given_nosignal,0.4437378700912582,0.42745642648752813,0.4038133244651369,0.37956421676952495,0.35606837199322955,0.33422144024129696,0.3021222014925373,0.2742838372363577,0.23682760374719172,0.19920571647916852,0.1632121472022363,0.11889483658609569
pct_interview_given_nosignal,0.44225862210881556,0.42470852497593325,0.40076130125306664,0.384387936132466,0.35829345231669724,0.33196439939583827,0.29782342121397914,0.27253315198911937,0.2356065076287617,0.19838913548311238,0.1609478405419816,0.11890228690228691
pct_interview_given_nosignal,0.4439991323300038,0.4237024073757897,0.4037148683393918,0.38524561587002754,0.3526967035042977,0.3304177123971871,0.3032671747782431,0.27228758525120234,0.23888849305308157,0.19857634497161514,0.16033550966855142,0.11636922774933342
pct_interview_given_nosignal,0.4422404214165192,0.42664804169129106,0.40320545458570384,0.382582402363586,0.356318959861633,0.33297440777282516,0.2993695995480632,0.27196374540372587,0.24017873766523926,0.20170654074328667,0.16269282493473616,0.11797086162568396
pct_interview_given_nosignal,0.4361511065112173,0.42376119275552565,0.40025051366288333,0.3829934723586159,0.35834073078860873,0.3331454269858569,0.3043410164713253,0.2721469993073758,0.23742973252339888,0.19890430326058142,0.162028584020651,0.1178838318019103
pct_interview_given_nosignal,0.4456979324360756,0.42577877861776847,0.4069076448773513,0.3796337650736936,0.35874956465346414,0.3305943338761608,0.3008994592920468,0.2699618747389834,0.23690233977619532,0.20183774092335274,0.16105678826626552,0.11777920940912169
pct_interview_given_nosignal,0.44405417411336895,0.42641894431616817,0.4057745004121461,0.37889178439171584,0.36019437377159874,0.3296436318562132,0.30540820202496494,0.2701405830895931,0.23824072758277676,0.20100562315908482,0.15893486732232326,0.12116840354390848
pct_interview_given_nosignal,0.4517736087025067,0.43283842413935947,0.4015874765736964,0.3842809946096331,0.359474843259245,0.3309810949731795,0.30132206412592566,0.27348910847846264,0.2379627921497396,0.2006869990631831,0.15969900965470063,0.11727741764783702
pct_interview_given_nosignal,0.44908321579689703,0.4197340324319753,0.40248820533218427,0.3813720189132911,0.3555343965722447,0.33327067433612795,0.303160714053541,0.2724936781140387,0.24250137390449195,0.2022137015846389,0.15996185056051532,0.1154182879377432
pct_interview_given_nosignal,0.4439441041901201,0.4257331260387069,0.40277747064416974,0.3782260456837734,0.35787279414407397,0.3333625822626136,0.3052192012148028,0.27014748308123704,0.2368655261559326,0.20426201719336481,0.1610647770740578,0.11698094708977418
pct_interview_given_application,0.4437378700912582,0.4469724541682698,0.44420560940826326,0.44235420032725814,0.4431066119621467,0.4479366402667778,0.4438249233342626,0.44771735394294165,0.4431522949399975,0.4421085111853947,0.4491348323998997,0.4471491433386387
pct_interview_given_application,0.44225862210881556,0.44419642857142855,0.4410741588252799,0.44740046838407493,0.44549930040939006,0.4454254360058445,0.4388092613009923,0.4455639518611811,0.4413504189255791,0.4407530454042082,0.44544851600066326,0.447195663708528
pct_interview_given_application,0.4439991323300038,0.44317970924837613,0.4441046410712072,0.44829636119020055,0.439473253721577,0.443701226309922,0.445185545762431,0.4452086009031777,0.4459152445666269,0.4409700849439862,0.4442101999689971,0.44249536751080915
pct_interview_given_application,0.4422404214165192,0.4461559220701037,0.4435821758064849,0.44551315271242303,0.4433762777600132,0.4465498971514056,0.4406175041515468,0.4447801657681522,0.44757749617334985,0.44586899019760384,0.4480673810615853,0.4446927374301676
pct_interview_given_application,0.4361511065112173,0.4432391185538839,0.4405497647818467,0.4459430017948106,0.4455500963990298,0.44674018104908697,0.4464293132815421,0.44507030586676055,0.44387075455136876,0.4414002731539007,0.44650814921000964,0.4450104046960897
pct_interview_given_application,0.4456979324360756,0.4452777806553199,0.4473771856786012,0.44242704955998147,0.44598927152180456,0.44389825782532816,0.4424133885012042,0.4423405437668512,0.44316600167022363,0.4458458666113474,0.4451532725766363,0.4453192988272347
pct_interview_given_application,0.44405417411336895,0.44592449659207617,0.44621613204609156,0.4416497133345663,0.44754021552397316,0.44283727399165507,0.44768471264607246,0.4425272564421978,0.44501961921129735,0.44450419333822816,0.44124168514412415,0.4529638020970546
pct_interview_given_application,0.4517736087025067,0.45240601187218454,0.4419221516254395,0.4472887334935847,0.4467680410763842,0.44432958786011845,0.442919410182695,0.4467541106283909,0.44458235075089986,0.4443249948315071,0.4428327117631302,0.44566558492052794
pct_interview_given_application,0.44908321579689703,0.4391679267644775,0.4428463987307213,0.44424692787085174,0.4425318123790306,0.44687951594290287,0.4450610892524332,0.44545313228664696,0.4507455800004195,0.44657773344969454,0.4444030892342049,0.440148272542956
pct_interview_given_application,0.4439441041901201,0.445231658431994,0.4431431575908782,0.440951990151826,0.4450472650466438,0.44698175011698643,0.4474749893294746,0.4425728200323301,0.44311574780421426,0.44981163666806195,0.4452731680029834,0.4422131231867657
pct_of_app_match_via_signal_given_matched,0.0,0.9493087557603687,0.9857442348008386,0.9949748743718593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9484708839547549,0.9874266554903605,0.9991621281943862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9526800670016751,0.9844928751047779,0.9953936348408711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9505241090146751,0.9836614997905321,0.9945561139028476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.951403435274403,0.9807370184254607,0.9983242563887725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9467951403435274,0.9870184254606366,0.9983235540653814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9463537300922046,0.9845058626465661,0.9966499162479062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9463537300922046,0.9861751152073732,0.9958106409719313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.940041928721174,0.9832425638877251,0.9970612930310663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9521611414183802,0.9870075440067058,0.9958123953098827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
