Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
unmatched_applicants,1114.0,903.0,899.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,894.0,890.0,893.0
unmatched_applicants,1114.0,899.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,893.0,890.0
unmatched_applicants,1107.0,902.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,894.0,893.0
unmatched_applicants,1104.0,910.0,897.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,890.0,903.0
unmatched_applicants,1106.0,902.0,897.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,890.0,904.0
unmatched_applicants,1087.0,899.0,903.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,893.0,893.0,900.0,910.0
unmatched_applicants,1095.0,903.0,892.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,900.0,907.0
unmatched_applicants,1114.0,904.0,892.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,892.0,904.0
unmatched_applicants,1110.0,904.0,893.0,898.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,893.0,895.0,895.0,905.0
unmatched_applicants,1115.0,898.0,899.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,892.0,891.0,896.0,898.0,900.0
unfilled_spots,224.0,13.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0
unfilled_spots,224.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
unfilled_spots,217.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
unfilled_spots,214.0,20.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0
unfilled_spots,216.0,12.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0
unfilled_spots,197.0,9.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10.0,20.0
unfilled_spots,205.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0
unfilled_spots,224.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0
unfilled_spots,220.0,14.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,15.0
unfilled_spots,225.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,8.0,10.0
reviews_per_program,239.06930693069307,238.9529702970297,241.34405940594058,239.8910891089109,240.64356435643563,237.79455445544554,236.52970297029702,234.9628712871287,232.3589108910891,216.3638613861386,173.51237623762376,126.04207920792079,106.20049504950495,106.36138613861387,113.06435643564356,120.27475247524752,128.02227722772278,135.0618811881188
reviews_per_program,239.93316831683168,238.1509900990099,240.19059405940595,240.48019801980197,237.5148514851485,238.12623762376236,242.47029702970298,238.36881188118812,232.09405940594058,218.82673267326732,175.43316831683168,129.87376237623764,106.29455445544555,105.89356435643565,112.81188118811882,120.53465346534654,128.1509900990099,135.26237623762376
reviews_per_program,241.68069306930693,239.04207920792078,238.56435643564356,239.83663366336634,237.3861386138614,238.01980198019803,241.09653465346534,238.19059405940595,230.13366336633663,212.37871287128712,169.490099009901,126.50247524752476,108.35148514851485,107.39108910891089,113.06188118811882,120.53465346534654,127.99752475247524,135.51980198019803
reviews_per_program,238.62128712871288,239.6138613861386,237.01237623762376,240.17079207920793,241.00742574257427,239.58663366336634,239.7648514851485,234.75,234.55445544554456,212.32673267326732,172.52722772277227,129.99257425742573,106.0,105.57920792079207,113.39356435643565,120.55445544554455,128.0,135.30940594059405
reviews_per_program,240.36881188118812,237.35643564356437,240.02475247524754,238.56435643564356,241.51237623762376,240.41831683168317,240.60148514851485,239.03960396039605,231.46782178217822,218.37871287128712,167.76237623762376,120.86633663366337,105.9950495049505,106.09158415841584,113.18564356435644,120.35148514851485,128.02722772277227,135.1410891089109
reviews_per_program,237.49752475247524,240.0049504950495,237.13861386138615,238.2351485148515,238.48019801980197,238.94059405940595,239.98267326732673,239.57920792079207,233.79455445544554,212.58168316831683,166.84653465346534,128.45544554455446,105.6559405940594,106.22029702970298,112.88118811881188,120.47277227722772,128.0891089108911,135.240099009901
reviews_per_program,238.0742574257426,240.90841584158414,241.53217821782178,243.0990099009901,236.60148514851485,238.25,240.6138613861386,237.84653465346534,234.3638613861386,212.3861386138614,170.72277227722773,128.12871287128712,105.9480198019802,106.97772277227723,113.52722772277228,120.37376237623762,127.88861386138613,135.3960396039604
reviews_per_program,239.17079207920793,238.3861386138614,240.9529702970297,242.27227722772278,237.86633663366337,238.20544554455446,238.26732673267327,239.2029702970297,233.85148514851485,216.50742574257427,170.27970297029702,128.06435643564356,108.23514851485149,105.27722772277228,112.7128712871287,120.47277227722772,127.92079207920793,135.38861386138615
reviews_per_program,242.02722772277227,239.5148514851485,239.0371287128713,239.5990099009901,237.11633663366337,240.59158415841586,237.60643564356437,235.93316831683168,234.4851485148515,211.27722772277227,170.66584158415841,130.64356435643563,105.67079207920793,106.72277227722772,113.12623762376238,120.52722772277228,127.89356435643565,135.70792079207922
reviews_per_program,240.90346534653466,238.79455445544554,238.11881188118812,238.26237623762376,239.05693069306932,236.5990099009901,241.38861386138615,238.8118811881188,234.11633663366337,213.62623762376236,171.3861386138614,127.87623762376238,106.72277227722772,106.7128712871287,113.03960396039604,120.42326732673267,128.08168316831683,135.5371287128713
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996949226410983,0.9985120183136208,0.9873095585490822,0.9609663724382272,0.9110975372740651,0.8497347209468421,0.7883055005189169,0.7335220291381429,0.6880286472803605,0.6463912144003403,0.6127004490057729
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999128350403138,0.9978255064281082,0.9908076388182219,0.9599169643129712,0.9114205508769004,0.850042101502896,0.7890885053943671,0.7335439705107951,0.6865450961064564,0.6457419890676608,0.6117922629286682
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979018044481746,0.9870416228501645,0.9643337408312959,0.9118742012557649,0.8489671002295333,0.7888411409142425,0.7339729516114868,0.6865450961064564,0.6465162151186401,0.6106301369863014
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995041574490808,0.9876882376882377,0.9612625538020086,0.9117598044661704,0.8495177833341838,0.7884642604387827,0.7338968166849615,0.6864323258869908,0.6465037128712872,0.6115796213299186
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998256548838426,0.99893219434063,0.9882273112807464,0.9603618471318114,0.9134022337056176,0.8491470535737052,0.7877780920060332,0.733076029034451,0.6875899798445149,0.6463662200568413,0.6123413374361228
