Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
unmatched_applicants,1050.0,957.0,957.0,957.0,957.0,957.0,959.0,957.0,959.0,961.0,961.0,966.0,970.0,986.0,983.0,988.0,998.0,996.0
unmatched_applicants,1056.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,963.0,967.0,971.0,985.0,987.0,990.0,997.0,999.0
unmatched_applicants,1054.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,961.0,963.0,966.0,972.0,976.0,985.0,993.0,994.0,999.0
unmatched_applicants,1060.0,957.0,957.0,957.0,957.0,957.0,957.0,959.0,959.0,960.0,965.0,963.0,976.0,975.0,986.0,994.0,997.0,999.0
unmatched_applicants,1050.0,957.0,957.0,957.0,957.0,957.0,958.0,959.0,959.0,957.0,965.0,968.0,972.0,975.0,987.0,993.0,999.0,1001.0
unmatched_applicants,1057.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,961.0,961.0,964.0,965.0,975.0,979.0,986.0,991.0,993.0,997.0
unmatched_applicants,1048.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,960.0,963.0,962.0,968.0,970.0,978.0,984.0,992.0,994.0,1001.0
unmatched_applicants,1056.0,957.0,957.0,957.0,957.0,957.0,960.0,957.0,957.0,960.0,966.0,965.0,970.0,981.0,988.0,989.0,996.0,1001.0
unmatched_applicants,1057.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,960.0,961.0,966.0,966.0,976.0,980.0,981.0,994.0,995.0,997.0
unmatched_applicants,1060.0,957.0,957.0,957.0,957.0,957.0,957.0,959.0,957.0,963.0,961.0,969.0,970.0,979.0,982.0,990.0,996.0,997.0
unfilled_spots,93.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,9.0,13.0,29.0,26.0,31.0,41.0,39.0
unfilled_spots,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,14.0,28.0,30.0,33.0,40.0,42.0
unfilled_spots,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,9.0,15.0,19.0,28.0,36.0,37.0,42.0
unfilled_spots,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,6.0,19.0,18.0,29.0,37.0,40.0,42.0
unfilled_spots,93.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,11.0,15.0,18.0,30.0,36.0,42.0,44.0
unfilled_spots,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,8.0,18.0,22.0,29.0,34.0,36.0,40.0
unfilled_spots,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,11.0,13.0,21.0,27.0,35.0,37.0,44.0
unfilled_spots,99.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,8.0,13.0,24.0,31.0,32.0,39.0,44.0
unfilled_spots,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,9.0,19.0,23.0,24.0,37.0,38.0,40.0
unfilled_spots,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,12.0,13.0,22.0,25.0,33.0,39.0,40.0
reviews_per_program,864.3142857142857,134.42857142857142,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.9142857142857,221.57142857142858,253.17142857142858,284.8285714285714,316.0571428571429,347.3142857142857,378.54285714285714,409.6,440.45714285714286,471.0285714285714,501.0857142857143,527.8857142857142
reviews_per_program,864.0857142857143,127.2,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714,253.2,284.62857142857143,316.14285714285717,347.57142857142856,379.3142857142857,408.9714285714286,439.57142857142856,471.3142857142857,500.0,528.2285714285714
reviews_per_program,877.3428571428572,174.28571428571428,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858,253.11428571428573,284.77142857142854,316.1714285714286,347.37142857142857,378.4,409.85714285714283,439.6857142857143,470.0285714285714,500.4,529.0
reviews_per_program,868.2857142857143,127.82857142857142,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.9142857142857,221.57142857142858,253.14285714285714,284.7142857142857,316.2857142857143,347.0,378.74285714285713,409.48571428571427,440.8285714285714,470.14285714285717,499.42857142857144,526.7428571428571
reviews_per_program,855.1142857142858,138.6,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.9142857142857,221.54285714285714,253.22857142857143,284.8,316.22857142857146,347.74285714285713,378.37142857142857,409.62857142857143,440.74285714285713,470.0,499.25714285714287,530.8285714285714
reviews_per_program,863.2,107.25714285714285,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.2,284.77142857142854,316.0571428571429,347.6,378.22857142857146,409.77142857142854,440.0,469.2,498.54285714285714,529.9714285714285
reviews_per_program,862.3142857142857,183.0,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.9142857142857,221.6,253.11428571428573,284.8285714285714,316.34285714285716,347.0571428571429,378.3142857142857,409.42857142857144,439.62857142857143,470.0285714285714,498.8,526.1714285714286
