Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,1044.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,970.0,976.0,986.0,990.0,995.0,1002.0,1002.0,1003.0,1001.0,1002.0,1005.0,1016.0,1021.0,1025.0,1029.0,1031.0,1027.0,1026.0
unmatched_applicants,1043.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,970.0,974.0,983.0,988.0,995.0,1002.0,1000.0,1001.0,1002.0,1004.0,1011.0,1014.0,1018.0,1023.0,1022.0,1030.0,1029.0,1028.0
unmatched_applicants,1042.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,969.0,975.0,986.0,990.0,996.0,1001.0,1002.0,1000.0,1001.0,1001.0,1010.0,1013.0,1024.0,1025.0,1030.0,1032.0,1030.0,1028.0
unmatched_applicants,1038.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,970.0,976.0,983.0,993.0,996.0,1002.0,1002.0,1003.0,1001.0,1001.0,1010.0,1020.0,1021.0,1022.0,1031.0,1029.0,1028.0,1028.0
unmatched_applicants,1044.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,971.0,976.0,985.0,990.0,996.0,1003.0,1003.0,1001.0,1004.0,1003.0,1002.0,1019.0,1018.0,1025.0,1026.0,1029.0,1027.0,1019.0
unmatched_applicants,1048.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,972.0,976.0,983.0,988.0,995.0,1001.0,1002.0,1002.0,1004.0,1003.0,1006.0,1008.0,1017.0,1023.0,1026.0,1031.0,1033.0,1029.0
unmatched_applicants,1044.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,973.0,984.0,990.0,997.0,1004.0,1002.0,1002.0,1001.0,1002.0,1007.0,1013.0,1021.0,1023.0,1028.0,1028.0,1024.0,1023.0
unmatched_applicants,1046.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,977.0,982.0,990.0,996.0,1002.0,1001.0,1002.0,1001.0,1004.0,1003.0,1018.0,1018.0,1026.0,1028.0,1027.0,1032.0,1034.0
unmatched_applicants,1041.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,970.0,977.0,983.0,988.0,996.0,1003.0,1002.0,1001.0,1002.0,1003.0,1008.0,1012.0,1020.0,1027.0,1027.0,1029.0,1025.0,1023.0
unmatched_applicants,1047.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,976.0,985.0,989.0,997.0,1003.0,1003.0,1000.0,1002.0,1002.0,1007.0,1011.0,1017.0,1025.0,1034.0,1031.0,1034.0,1023.0
unfilled_spots,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,18.0,22.0,27.0,34.0,34.0,35.0,33.0,34.0,37.0,48.0,53.0,57.0,61.0,63.0,59.0,58.0
unfilled_spots,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,15.0,20.0,27.0,34.0,32.0,33.0,34.0,36.0,43.0,46.0,50.0,55.0,54.0,62.0,61.0,60.0
unfilled_spots,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,18.0,22.0,28.0,33.0,34.0,32.0,33.0,33.0,42.0,45.0,56.0,57.0,62.0,64.0,62.0,60.0
unfilled_spots,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,25.0,28.0,34.0,34.0,35.0,33.0,33.0,42.0,52.0,53.0,54.0,63.0,61.0,60.0,60.0
unfilled_spots,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,17.0,22.0,28.0,35.0,35.0,33.0,36.0,35.0,34.0,51.0,50.0,57.0,58.0,61.0,59.0,51.0
unfilled_spots,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,15.0,20.0,27.0,33.0,34.0,34.0,36.0,35.0,38.0,40.0,49.0,55.0,58.0,63.0,65.0,61.0
unfilled_spots,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,22.0,29.0,36.0,34.0,34.0,33.0,34.0,39.0,45.0,53.0,55.0,60.0,60.0,56.0,55.0
unfilled_spots,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,22.0,28.0,34.0,33.0,34.0,33.0,36.0,35.0,50.0,50.0,58.0,60.0,59.0,64.0,66.0
unfilled_spots,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,15.0,20.0,28.0,35.0,34.0,33.0,34.0,35.0,40.0,44.0,52.0,59.0,59.0,61.0,57.0,55.0
unfilled_spots,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,21.0,29.0,35.0,35.0,32.0,34.0,34.0,39.0,43.0,49.0,57.0,66.0,63.0,66.0,55.0
reviews_per_program,857.2571428571429,551.8285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858,253.0857142857143,284.8,316.0571428571429,347.85714285714283,378.2857142857143,409.54285714285714,440.77142857142854,470.8,499.2,528.8,554.4857142857143,586.5428571428571,607.8571428571429,638.0857142857143,661.2285714285714,684.9428571428572,708.1142857142858,728.6857142857143,740.0,769.2285714285714,780.2857142857143,794.1142857142858
