Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,1028.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1023.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1030.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1029.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1021.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1035.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1030.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1020.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1028.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unmatched_applicants,1026.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
unfilled_spots,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,861.2857142857143,752.4285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858
reviews_per_program,863.9142857142857,735.6571428571428,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858
reviews_per_program,869.7428571428571,707.4,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714
reviews_per_program,867.3142857142857,739.2571428571429,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858
reviews_per_program,864.0285714285715,642.3428571428572,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714
reviews_per_program,863.0285714285715,732.0,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.5142857142857
reviews_per_program,867.3714285714286,734.9428571428572,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.4857142857143
reviews_per_program,853.6571428571428,735.7428571428571,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.9142857142857,221.54285714285714
reviews_per_program,867.7714285714286,730.4285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.5142857142857
reviews_per_program,857.3714285714286,661.9142857142857,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6
pct_interview_given_signal,0.0,0.9945848375451264,0.6132671480144405,0.40884476534296027,0.30663357400722024,0.24530685920577616,0.20442238267148014,0.17524177949709865
