Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,2277.0,1806.0,1799.0,1797.0,1797.0,1799.0,1806.0,1835.0,1821.0,1843.0,1858.0,1897.0,1895.0,1928.0,1939.0,1951.0,1993.0
unmatched_applicants,2287.0,1802.0,1797.0,1797.0,1797.0,1797.0,1802.0,1825.0,1818.0,1840.0,1875.0,1886.0,1894.0,1920.0,1934.0,1951.0,1988.0
unmatched_applicants,2264.0,1801.0,1797.0,1797.0,1797.0,1798.0,1802.0,1827.0,1825.0,1841.0,1877.0,1882.0,1912.0,1931.0,1938.0,1950.0,1993.0
unmatched_applicants,2283.0,1799.0,1798.0,1797.0,1797.0,1798.0,1806.0,1815.0,1829.0,1855.0,1869.0,1894.0,1898.0,1924.0,1940.0,1961.0,1991.0
unmatched_applicants,2299.0,1806.0,1799.0,1797.0,1797.0,1798.0,1804.0,1814.0,1831.0,1840.0,1862.0,1890.0,1905.0,1928.0,1942.0,1952.0,1996.0
unmatched_applicants,2305.0,1806.0,1797.0,1797.0,1797.0,1798.0,1806.0,1824.0,1822.0,1837.0,1875.0,1878.0,1903.0,1937.0,1933.0,1962.0,1987.0
unmatched_applicants,2280.0,1802.0,1797.0,1797.0,1797.0,1797.0,1801.0,1815.0,1820.0,1839.0,1873.0,1892.0,1917.0,1921.0,1939.0,1952.0,1980.0
unmatched_applicants,2270.0,1808.0,1797.0,1797.0,1797.0,1797.0,1803.0,1814.0,1815.0,1837.0,1861.0,1886.0,1907.0,1912.0,1938.0,1951.0,1993.0
unmatched_applicants,2255.0,1798.0,1797.0,1797.0,1797.0,1804.0,1807.0,1824.0,1829.0,1847.0,1863.0,1890.0,1915.0,1918.0,1940.0,1954.0,1984.0
unmatched_applicants,2293.0,1804.0,1799.0,1797.0,1797.0,1797.0,1811.0,1819.0,1816.0,1844.0,1859.0,1900.0,1901.0,1932.0,1934.0,1950.0,1985.0
unfilled_spots,480.0,9.0,2.0,0.0,0.0,2.0,9.0,38.0,24.0,46.0,61.0,100.0,98.0,131.0,142.0,154.0,196.0
