Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
unmatched_applicants,1639.0,1527.0,1528.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1528.0,1530.0,1527.0,1530.0,1537.0,1549.0,1540.0,1547.0,1554.0,1554.0,1565.0,1565.0,1582.0,1586.0,1582.0,1600.0,1606.0,1615.0,1615.0
unmatched_applicants,1651.0,1528.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1532.0,1527.0,1537.0,1550.0,1537.0,1543.0,1553.0,1563.0,1556.0,1560.0,1575.0,1580.0,1598.0,1598.0,1612.0,1595.0,1605.0,1616.0
unmatched_applicants,1636.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1530.0,1531.0,1551.0,1539.0,1550.0,1558.0,1552.0,1559.0,1562.0,1584.0,1582.0,1588.0,1604.0,1593.0,1601.0,1611.0
unmatched_applicants,1645.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1530.0,1530.0,1531.0,1534.0,1545.0,1538.0,1545.0,1549.0,1570.0,1572.0,1569.0,1588.0,1589.0,1600.0,1583.0,1610.0,1594.0,1606.0
unmatched_applicants,1649.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1528.0,1527.0,1531.0,1536.0,1535.0,1542.0,1559.0,1559.0,1563.0,1547.0,1579.0,1578.0,1599.0,1583.0,1596.0,1604.0,1597.0,1605.0
unmatched_applicants,1647.0,1528.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1528.0,1532.0,1546.0,1541.0,1545.0,1551.0,1553.0,1556.0,1568.0,1591.0,1594.0,1584.0,1589.0,1575.0,1599.0,1603.0,1612.0
unmatched_applicants,1632.0,1529.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1532.0,1527.0,1536.0,1538.0,1544.0,1552.0,1554.0,1576.0,1561.0,1568.0,1573.0,1584.0,1586.0,1593.0,1599.0,1604.0,1605.0,1620.0
unmatched_applicants,1647.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1531.0,1528.0,1532.0,1538.0,1543.0,1541.0,1562.0,1570.0,1560.0,1560.0,1556.0,1579.0,1590.0,1590.0,1599.0,1603.0,1610.0,1626.0
unmatched_applicants,1632.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1531.0,1531.0,1540.0,1535.0,1539.0,1540.0,1555.0,1563.0,1563.0,1583.0,1585.0,1583.0,1589.0,1601.0,1590.0,1605.0,1614.0
unmatched_applicants,1634.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1527.0,1530.0,1527.0,1535.0,1530.0,1533.0,1537.0,1546.0,1547.0,1567.0,1566.0,1559.0,1562.0,1585.0,1591.0,1587.0,1590.0,1588.0,1602.0,1609.0
