Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unmatched_applicants,1176.0,1039.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1037.0,1039.0,1047.0,1051.0,1051.0,1054.0,1072.0,1084.0,1099.0,1101.0,1101.0,1107.0
unmatched_applicants,1182.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1039.0,1045.0,1050.0,1065.0,1066.0,1068.0,1079.0,1093.0,1081.0,1091.0,1102.0,1106.0
unmatched_applicants,1181.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1040.0,1039.0,1043.0,1044.0,1066.0,1067.0,1066.0,1080.0,1081.0,1090.0,1108.0,1099.0,1115.0
unmatched_applicants,1191.0,1037.0,1036.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1040.0,1037.0,1037.0,1045.0,1055.0,1060.0,1064.0,1079.0,1080.0,1095.0,1093.0,1109.0,1119.0
unmatched_applicants,1181.0,1037.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1035.0,1040.0,1036.0,1037.0,1041.0,1052.0,1053.0,1059.0,1077.0,1085.0,1097.0,1098.0,1113.0,1130.0
unmatched_applicants,1179.0,1041.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1041.0,1048.0,1050.0,1055.0,1067.0,1068.0,1075.0,1085.0,1091.0,1105.0,1098.0,1117.0
unmatched_applicants,1183.0,1041.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1038.0,1043.0,1042.0,1046.0,1055.0,1056.0,1076.0,1076.0,1082.0,1084.0,1101.0,1106.0,1107.0
unmatched_applicants,1172.0,1039.0,1036.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1043.0,1049.0,1054.0,1060.0,1076.0,1079.0,1088.0,1094.0,1099.0,1101.0,1117.0
unmatched_applicants,1178.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1039.0,1035.0,1039.0,1048.0,1053.0,1058.0,1060.0,1089.0,1085.0,1095.0,1106.0,1117.0,1115.0
unmatched_applicants,1181.0,1039.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1036.0,1044.0,1048.0,1059.0,1066.0,1066.0,1082.0,1086.0,1090.0,1096.0,1094.0,1114.0
unfilled_spots,141.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,12.0,16.0,16.0,19.0,37.0,49.0,64.0,66.0,66.0,72.0
unfilled_spots,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,15.0,30.0,31.0,33.0,44.0,58.0,46.0,56.0,67.0,71.0
unfilled_spots,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,9.0,31.0,32.0,31.0,45.0,46.0,55.0,73.0,64.0,80.0
unfilled_spots,156.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,10.0,20.0,25.0,29.0,44.0,45.0,60.0,58.0,74.0,84.0
unfilled_spots,146.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,6.0,17.0,18.0,24.0,42.0,50.0,62.0,63.0,78.0,95.0
unfilled_spots,144.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,13.0,15.0,20.0,32.0,33.0,40.0,50.0,56.0,70.0,63.0,82.0
