Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1071.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1035.0,1040.0,1039.0,1035.0,1040.0,1042.0,1042.0,1051.0,1050.0,1045.0,1055.0,1049.0,1061.0,1061.0,1059.0,1053.0,1056.0,1060.0,1058.0,1064.0,1059.0
unmatched_applicants,1071.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1038.0,1038.0,1045.0,1037.0,1035.0,1045.0,1042.0,1042.0,1040.0,1053.0,1059.0,1055.0,1060.0,1057.0,1060.0,1057.0,1060.0,1059.0,1066.0,1054.0
unmatched_applicants,1060.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1039.0,1035.0,1039.0,1038.0,1041.0,1044.0,1041.0,1051.0,1035.0,1041.0,1055.0,1051.0,1045.0,1050.0,1052.0,1053.0,1061.0,1063.0,1062.0,1064.0,1057.0,1062.0
unmatched_applicants,1073.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1041.0,1041.0,1043.0,1039.0,1041.0,1040.0,1058.0,1043.0,1046.0,1055.0,1063.0,1041.0,1058.0,1051.0,1063.0,1070.0,1065.0,1052.0,1067.0
unmatched_applicants,1084.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1039.0,1036.0,1042.0,1041.0,1037.0,1035.0,1055.0,1047.0,1046.0,1051.0,1058.0,1055.0,1059.0,1048.0,1061.0,1060.0,1061.0,1052.0,1061.0
unmatched_applicants,1058.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1039.0,1035.0,1035.0,1035.0,1036.0,1041.0,1038.0,1048.0,1041.0,1047.0,1043.0,1050.0,1061.0,1053.0,1053.0,1061.0,1062.0,1070.0,1058.0,1063.0,1059.0,1063.0,1068.0
unmatched_applicants,1077.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1037.0,1035.0,1038.0,1043.0,1038.0,1042.0,1043.0,1042.0,1046.0,1043.0,1046.0,1043.0,1055.0,1052.0,1049.0,1049.0,1064.0,1058.0,1061.0,1053.0,1073.0
unmatched_applicants,1063.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1035.0,1038.0,1035.0,1035.0,1041.0,1042.0,1035.0,1052.0,1052.0,1050.0,1044.0,1053.0,1051.0,1052.0,1066.0,1066.0,1052.0,1066.0,1072.0,1053.0,1067.0
unmatched_applicants,1067.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1038.0,1035.0,1043.0,1039.0,1041.0,1041.0,1045.0,1047.0,1057.0,1061.0,1055.0,1055.0,1048.0,1057.0,1064.0,1061.0,1068.0,1061.0,1062.0,1066.0
unmatched_applicants,1068.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1036.0,1039.0,1038.0,1038.0,1038.0,1041.0,1052.0,1051.0,1059.0,1057.0,1061.0,1042.0,1063.0,1065.0,1062.0,1061.0,1066.0,1062.0,1056.0,1068.0
