Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,98.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,77.0,77.0,80.0,80.0,82.0,82.0,86.0
unmatched_applicants,95.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,79.0,77.0,77.0,79.0,79.0,78.0,81.0,81.0,84.0
unmatched_applicants,98.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,77.0,77.0,77.0,78.0,79.0,78.0,80.0,80.0,82.0,84.0,86.0
unmatched_applicants,93.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,77.0,79.0,76.0,77.0,82.0,80.0,83.0,83.0,84.0
unmatched_applicants,97.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,76.0,79.0,81.0,78.0,77.0,81.0,80.0,83.0,85.0
unmatched_applicants,92.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,82.0,80.0,81.0,84.0
unmatched_applicants,97.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,79.0,78.0,82.0,82.0,83.0,84.0,81.0
unmatched_applicants,97.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,79.0,78.0,79.0,80.0,81.0,80.0,82.0,81.0
unmatched_applicants,100.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,77.0,77.0,78.0,80.0,81.0,83.0,83.0
unmatched_applicants,97.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,77.0,79.0,79.0,81.0,81.0,83.0,84.0
unfilled_spots,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,6.0,6.0,10.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,8.0
unfilled_spots,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,6.0,8.0,10.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,6.0,4.0,7.0,7.0,8.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,1.0,5.0,4.0,7.0,9.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,4.0,5.0,8.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,6.0,6.0,7.0,8.0,5.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,4.0,6.0,5.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,7.0,7.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,7.0,8.0
reviews_per_program,94.675,89.275,86.55,59.9,43.325,32.8,29.5,26.325,26.0,29.25,32.5,35.75,38.875,42.2,45.1,48.4,51.65,53.775,56.975
reviews_per_program,93.4,92.5,79.25,53.55,41.775,36.725,26.55,22.75,26.0,29.25,32.5,35.7,38.925,42.025,45.25,47.95,51.475,54.075,57.625
reviews_per_program,90.575,92.9,73.675,53.65,42.025,35.225,30.775,26.925,27.475,29.25,32.5,35.75,38.925,42.05,45.275,48.55,51.475,55.05,57.4
reviews_per_program,90.2,91.15,74.325,57.525,43.575,35.4,20.775,22.75,26.0,29.25,32.5,35.525,39.0,42.225,45.075,48.125,51.5,54.075,56.875
reviews_per_program,90.725,92.0,83.525,59.65,45.275,33.9,26.3,26.45,25.95,29.25,32.5,35.6,38.875,42.225,44.925,48.2,51.325,53.9,57.2
reviews_per_program,88.075,90.0,79.525,51.475,42.5,37.175,37.975,25.275,26.0,29.25,32.475,35.7,38.7,42.125,45.375,48.175,51.65,53.75,57.3
reviews_per_program,89.25,88.275,82.5,53.7,38.325,35.925,29.975,24.3,28.275,29.25,32.5,35.675,38.95,42.2,44.95,48.125,51.35,53.8,56.85
reviews_per_program,89.975,93.05,74.0,56.025,43.15,29.275,31.525,26.6,26.0,29.125,32.35,35.625,38.95,42.075,45.075,48.275,51.2,53.85,57.0
reviews_per_program,93.95,91.95,83.9,56.25,43.65,32.175,28.525,24.9,25.925,29.1,32.175,35.725,38.875,41.875,45.175,48.45,51.15,54.325,57.3
reviews_per_program,90.55,89.65,85.525,61.75,43.675,36.4,29.85,24.075,26.0,29.25,32.5,35.725,38.9,41.925,44.975,47.725,50.95,54.375,57.275
pct_interview_given_signal,0.0,1.0,0.9807692307692307,0.8846153846153846,0.775,0.683076923076923,0.6051282051282051,0.5263736263736264,0.4673076923076923,0.4153846153846154,0.37384615384615383,0.33986013986013985,0.312540192926045,0.28791469194312796,0.26940133037694014,0.2510330578512397,0.23523717328170377,0.22594142259414227,0.2132514260640632
pct_interview_given_signal,0.0,1.0,0.9692307692307692,0.8897435897435897,0.8192307692307692,0.7107692307692308,0.6089743589743589,0.5340659340659341,0.4673076923076923,0.4153846153846154,0.37384615384615383,0.3403361344537815,0.31213872832369943,0.2891136228435455,0.26850828729281767,0.2533889468196038,0.23603691112190384,0.22468793342579751,0.21084598698481563
pct_interview_given_signal,0.0,1.0,0.9653846153846154,0.8974358974358975,0.7980769230769231,0.6907692307692308,0.6020539152759948,0.5307692307692308,0.46634615384615385,0.4153846153846154,0.37384615384615383,0.33986013986013985,0.31213872832369943,0.28894173602853745,0.26836002208724463,0.25025746652935116,0.23603691112190384,0.22070844686648503,0.21167247386759583
