Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
unmatched_applicants,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,93.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,93.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,92.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,94.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unmatched_applicants,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,94.575,93.175,95.65,88.35,87.175,69.925,49.7,35.0,30.225,29.25,32.475,35.7,38.575,42.15,45.325,48.475,51.275,54.55
reviews_per_program,94.2,92.225,90.725,93.5,91.025,75.85,45.525,30.225,29.625,29.2,32.3,35.65,38.975,42.125,45.375,48.6,51.6,54.35
reviews_per_program,90.075,91.475,93.875,87.65,87.625,77.1,48.4,33.5,30.4,29.225,32.425,35.675,38.95,42.025,45.225,48.125,51.475,54.725
reviews_per_program,95.925,91.575,91.925,95.075,86.4,80.375,45.2,32.45,27.35,29.25,32.375,35.6,38.825,42.05,45.075,48.725,51.2,54.55
reviews_per_program,90.925,95.225,90.55,89.125,93.6,70.475,48.25,30.275,28.2,29.25,32.5,35.75,38.75,42.025,45.0,48.275,51.375,54.35
reviews_per_program,97.025,92.45,93.875,93.3,93.525,75.075,51.1,30.6,29.75,29.25,32.5,35.725,38.7,42.075,45.275,48.5,51.4,54.625
reviews_per_program,95.725,94.55,92.425,95.275,88.05,68.15,50.0,30.85,26.0,29.25,32.4,35.7,38.95,42.025,45.35,48.3,51.225,54.2
reviews_per_program,88.875,92.55,91.65,91.925,90.825,79.45,48.45,32.5,26.0,29.25,32.45,35.725,38.9,42.075,45.225,48.575,51.35,54.35
reviews_per_program,90.525,87.15,91.1,95.975,84.15,76.45,42.375,30.425,26.0,29.25,32.5,35.725,38.75,41.925,45.225,48.1,51.325,54.475
reviews_per_program,89.35,91.85,92.175,92.125,91.45,77.125,57.65,28.6,27.375,31.4,32.45,35.575,38.9,42.225,45.25,48.45,51.0,54.075
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9707692307692307,0.9141025641025641,0.8208791208791208,0.7285851780558229,0.6495726495726496,0.5850654349499615,0.5322128851540616,0.49254698639014904,0.45077105575326215,0.41919470490899063,0.39195461578133056,0.3705509507557289,0.3483043079743355
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9903846153846154,0.9861538461538462,0.9346153846153846,0.8274725274725274,0.7288461538461538,0.6506849315068494,0.5882352941176471,0.5329593267882188,0.48749198203976907,0.45103857566765576,0.418732782369146,0.39094650205761317,0.3682170542635659,0.34958601655933763
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9815384615384616,0.9179487179487179,0.8241758241758241,0.7269230769230769,0.6501283147989735,0.5859676175790285,0.5325858444288718,0.4878048780487805,0.45211183819155265,0.4201216141514649,0.3948051948051948,0.36911121903836813,0.34719049794426676
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9980769230769231,0.96,0.9153846153846154,0.8263736263736263,0.7295476419634264,0.6495726495726496,0.5868725868725869,0.5337078651685393,0.489375402446877,0.4518430439952438,0.42151968940654466,0.3899435608004105,0.37109375,0.3483043079743355
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9980769230769231,0.9723076923076923,0.9115384615384615,0.8285714285714286,0.7269230769230769,0.6495726495726496,0.5846153846153846,0.5314685314685315,0.49032258064516127,0.45211183819155265,0.4222222222222222,0.3935784567581564,0.36982968369829683,0.34958601655933763
