Parameter,0,1,2,3,4
unmatched_applicants,98.0,90.0,90.0,90.0,90.0
unmatched_applicants,98.0,90.0,90.0,90.0,90.0
unmatched_applicants,98.0,90.0,90.0,90.0,90.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0
unmatched_applicants,101.0,90.0,90.0,90.0,90.0
unmatched_applicants,96.0,90.0,90.0,90.0,90.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0
unmatched_applicants,93.0,90.0,90.0,90.0,90.0
unmatched_applicants,99.0,90.0,90.0,90.0,90.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0
unfilled_spots,3.0,0.0,0.0,0.0,0.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0
reviews_per_program,88.75,89.05,92.675,82.475,60.5
reviews_per_program,92.55,92.875,94.225,81.9,53.5
reviews_per_program,90.75,93.925,91.2,85.85,53.325
reviews_per_program,95.55,94.925,95.275,89.025,55.35
reviews_per_program,95.8,91.625,90.375,85.4,63.8
reviews_per_program,98.95,92.625,90.725,91.1,48.15
reviews_per_program,89.8,93.375,95.175,97.575,64.075
reviews_per_program,92.2,89.25,92.575,87.625,54.375
reviews_per_program,93.65,93.45,93.9,83.625,60.275
reviews_per_program,96.8,90.875,89.325,78.95,58.375
pct_interview_given_signal,0.0,1.0,1.0,0.9769230769230769,0.9134615384615384
pct_interview_given_signal,0.0,1.0,1.0,0.9948717948717949,0.9538461538461539
pct_interview_given_signal,0.0,1.0,1.0,0.9794871794871794,0.9211538461538461
pct_interview_given_signal,0.0,1.0,1.0,0.9923076923076923,0.9423076923076923
pct_interview_given_signal,0.0,1.0,1.0,0.9948717948717949,0.926923076923077
pct_interview_given_signal,0.0,1.0,1.0,0.9897435897435898,0.9346153846153846
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9346153846153846
pct_interview_given_signal,0.0,1.0,1.0,0.9948717948717949,0.9153846153846154
pct_interview_given_signal,0.0,1.0,1.0,0.9871794871794872,0.948076923076923
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.925
pct_interview_given_nosignal,0.15774647887323945,0.1252913752913753,0.08703220191470844,0.05598999061620269,0.02658742571160463
pct_interview_given_nosignal,0.151269584008644,0.1199442119944212,0.08549444286121402,0.05386783589101159,0.021011162179908074
pct_interview_given_nosignal,0.15426997245179064,0.11855527984560242,0.0885478158205431,0.052678307191476766,0.02698201199200533
pct_interview_given_nosignal,0.14652014652014653,0.11726206708481048,0.08448324415657561,0.05364341085271318,0.022602518566354538
pct_interview_given_nosignal,0.14613778705636743,0.12164073550212164,0.08941877794336811,0.0510688836104513,0.024216081962123565
pct_interview_given_nosignal,0.1414855987872663,0.12027972027972028,0.08665511265164645,0.0515250222090613,0.02415932092719556
pct_interview_given_nosignal,0.155902004454343,0.11927877947295423,0.08457851705666761,0.04839168801594079,0.023642172523961662
pct_interview_given_nosignal,0.15184381778741865,0.125,0.08713331397037467,0.052599388379204894,0.026726057906458798
pct_interview_given_nosignal,0.14949279231179927,0.11917960088691797,0.08581235697940504,0.05419634561783834,0.02065351418002466
pct_interview_given_nosignal,0.1446280991735537,0.12268188302425106,0.09055236945366738,0.0532748354747728,0.02621971457019582
pct_interview_given_application,0.15774647887323945,0.15721504772599662,0.15106555165902347,0.15611931976582102,0.15065913370998116
pct_interview_given_application,0.151269584008644,0.15074024226110364,0.14858052533828603,0.15629360870778677,0.15703869882220975
pct_interview_given_application,0.15426997245179064,0.14905509715198295,0.15350877192982457,0.14858052533828603,0.15900056785917094
pct_interview_given_application,0.14652014652014653,0.14748485646563075,0.14694305956441878,0.15491009681881052,0.15482444014376556
pct_interview_given_application,0.14613778705636743,0.15279672578444747,0.15491009681881052,0.1490154337413518,0.14969259556268377
pct_interview_given_application,0.1414855987872663,0.15114709851551958,0.15045674368619022,0.14865941067162197,0.15629360870778677
pct_interview_given_application,0.155902004454343,0.1499330655957162,0.14709745206199107,0.14347937483986678,0.15342465753424658
pct_interview_given_application,0.15184381778741865,0.1568627450980392,0.15122873345935728,0.15300546448087432,0.1528801528801529
pct_interview_given_application,0.14949279231179927,0.149812734082397,0.14909478168264112,0.15473887814313347,0.1487778958554729
pct_interview_given_application,0.1446280991735537,0.15405777166437415,0.15673103834312901,0.15638089919017034,0.15850551938862156
pct_of_app_match_via_signal_given_matched,0.0,0.925,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.95,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.925,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.975,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.975,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.975,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
