Parameter,0,1,2,3,4,5,6
unmatched_applicants,88.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,90.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,87.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,86.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,90.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,90.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,93.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,93.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,85.0,76.0,76.0,76.0,76.0,76.0,76.0
unmatched_applicants,85.0,76.0,76.0,76.0,76.0,76.0,76.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,14.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,14.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,14.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,98.65,91.425,90.475,93.025,74.1,49.85,46.575
reviews_per_program,91.3,90.35,93.125,91.7,70.55,48.825,43.475
reviews_per_program,87.05,91.575,91.6,90.15,71.375,58.2,41.75
reviews_per_program,87.975,93.875,90.175,90.45,70.9,58.6,46.425
reviews_per_program,93.275,92.775,92.05,90.1,65.3,55.5,52.525
reviews_per_program,92.875,92.6,95.3,83.925,66.5,51.3,46.8
reviews_per_program,96.2,95.35,91.25,88.0,75.325,52.125,45.475
reviews_per_program,94.125,92.375,94.8,86.325,73.575,54.4,49.35
reviews_per_program,91.325,91.5,87.5,90.275,72.175,58.65,48.25
reviews_per_program,91.675,90.625,90.425,91.075,76.7,62.725,53.05
pct_interview_given_signal,0.0,1.0,1.0,0.9974358974358974,0.9692307692307692,0.9076923076923077,0.791025641025641
pct_interview_given_signal,0.0,1.0,1.0,0.9974358974358974,0.9519230769230769,0.9,0.7974358974358975
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9288461538461539,0.9015384615384615,0.8115384615384615
pct_interview_given_signal,0.0,1.0,1.0,0.9974358974358974,0.9807692307692307,0.8815384615384615,0.8205128205128205
pct_interview_given_signal,0.0,1.0,1.0,0.9923076923076923,0.9519230769230769,0.8753846153846154,0.841025641025641
pct_interview_given_signal,0.0,1.0,1.0,0.9974358974358974,0.9538461538461539,0.8846153846153846,0.8128205128205128
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9576923076923077,0.8923076923076924,0.8205128205128205
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9442307692307692,0.8753846153846154,0.8282051282051283
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9461538461538461,0.8815384615384615,0.8
pct_interview_given_signal,0.0,1.0,1.0,0.9948717948717949,0.9673076923076923,0.8953846153846153,0.8166666666666667
pct_interview_given_nosignal,0.1915864166244298,0.1774879500992345,0.14766299493896992,0.10702828813065034,0.08240680183126227,0.05820476858345021,0.04611811546118116
pct_interview_given_nosignal,0.20700985761226726,0.1796785304247991,0.14314574314574316,0.10458820176688516,0.08118195956454122,0.05593719332679097,0.0463828314295604
pct_interview_given_nosignal,0.21711659965537047,0.17718652703085197,0.14571092831962398,0.11380597014925373,0.08305445695162762,0.054732775273663874,0.04367897727272727
pct_interview_given_nosignal,0.21483375959079284,0.1726896551724138,0.14819241111443082,0.11040914560770157,0.07909967845659165,0.06035620052770448,0.040516940272441494
pct_interview_given_nosignal,0.2026266416510319,0.1748115051661547,0.14494447691408532,0.10843373493975904,0.08123249299719888,0.06133158412594293,0.03444712366517396
pct_interview_given_nosignal,0.2034993270524899,0.17515388919977617,0.13963963963963963,0.1134116192830655,0.08145363408521303,0.05726036064536539,0.04078903376797058
pct_interview_given_nosignal,0.19646569646569648,0.16992399565689467,0.1463126843657817,0.11138161898965307,0.07880268784361637,0.05958023019634394,0.038900067069081154
pct_interview_given_nosignal,0.200796812749004,0.1755960729312763,0.1404303510758777,0.11387678904791537,0.08660130718954248,0.06375724514149335,0.03843466107617051
pct_interview_given_nosignal,0.20695318915959485,0.1773371104815864,0.15308641975308643,0.11138161898965307,0.08053691275167785,0.057547169811320756,0.044715447154471545
pct_interview_given_nosignal,0.20616307608399237,0.17911301859799714,0.14775096812630326,0.11001494768310911,0.08262573481384716,0.05835010060362173,0.0373861137291863
pct_interview_given_application,0.1915864166244298,0.20672682526661199,0.20889748549323017,0.19795758051846032,0.21129122414756848,0.2158766419189035,0.1992619926199262
pct_interview_given_application,0.20700985761226726,0.20918649695628114,0.2029530201342282,0.19389587073608616,0.20240963855421687,0.20393849473968167,0.20605069501226492
pct_interview_given_application,0.21711659965537047,0.20638820638820637,0.20633187772925765,0.2096505823627288,0.19858156028368795,0.2012779552715655,0.21023359288097887
pct_interview_given_application,0.21483375959079284,0.20133155792276963,0.20959245910729138,0.2035541195476575,0.20826446280991737,0.20532319391634982,0.20752127367554213
pct_interview_given_application,0.2026266416510319,0.20371867421180276,0.20532319391634982,0.19931452675982073,0.20251808197160462,0.20437956204379562,0.20526744501764865
pct_interview_given_application,0.2034993270524899,0.2041036717062635,0.19832109129066108,0.2084942084942085,0.2036637931034483,0.19837313041196536,0.20047732696897375
pct_interview_given_application,0.19646569646569648,0.19821709491347667,0.20712328767123286,0.20565832426550598,0.1992619926199262,0.2097669256381798,0.20095693779904306
pct_interview_given_application,0.200796812749004,0.20460081190798377,0.19936708860759494,0.2097669256381798,0.2111731843575419,0.21099637175551214,0.20757825370675453
pct_interview_given_application,0.20695318915959485,0.20655737704918034,0.216,0.20565832426550598,0.1990521327014218,0.19738903394255874,0.20257234726688103
pct_interview_given_application,0.20616307608399237,0.20855172413793102,0.2090129941940835,0.20240963855421687,0.21105527638190955,0.20814977973568283,0.19076457229371688
pct_of_app_match_via_signal_given_matched,0.0,0.9814814814814815,0.9814814814814815,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9074074074074074,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9074074074074074,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0
