Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
unmatched_applicants,3470.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3460.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3460.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3456.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3449.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3472.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3468.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3462.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3463.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3473.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
unfilled_spots,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,644.3135593220339,645.0042372881356,649.1737288135594,643.9449152542373,637.1949152542373,417.79237288135596,149.08050847457628,153.38983050847457,175.26271186440678,197.1228813559322,218.98305084745763,240.6271186440678,262.1271186440678,283.4025423728813
reviews_per_program,646.792372881356,646.2457627118644,644.0593220338983,647.6228813559322,629.3644067796611,399.83898305084745,142.51271186440678,153.40677966101694,175.25,197.17796610169492,218.91101694915255,240.71186440677965,262.1737288135593,283.5042372881356
reviews_per_program,647.1059322033898,645.9915254237288,642.6949152542373,641.9237288135594,641.4067796610169,413.4237288135593,146.8771186440678,153.36864406779662,175.25423728813558,197.15254237288136,218.96186440677965,240.63983050847457,261.9406779661017,283.50847457627117
reviews_per_program,642.6228813559322,650.6567796610169,647.021186440678,650.3644067796611,640.4364406779661,408.9279661016949,144.28389830508473,153.364406779661,175.28813559322035,197.09745762711864,218.9449152542373,240.45762711864407,262.2669491525424,283.5762711864407
reviews_per_program,642.8177966101695,645.9110169491526,649.8177966101695,641.7118644067797,628.5550847457627,402.1949152542373,144.78813559322035,153.39830508474577,175.27118644067798,197.14406779661016,218.91525423728814,240.6271186440678,262.1525423728813,283.47457627118644
reviews_per_program,647.4957627118644,650.4491525423729,646.521186440678,645.1864406779661,639.4110169491526,401.2881355932203,147.03389830508473,153.39406779661016,175.2584745762712,197.13135593220338,219.0,240.57627118644066,262.24152542372883,283.29661016949154
reviews_per_program,645.8305084745763,652.6016949152543,642.542372881356,653.0254237288135,644.8220338983051,380.45762711864404,145.10593220338984,153.38135593220338,175.27542372881356,197.14406779661016,218.9449152542373,240.49576271186442,262.06779661016947,283.6101694915254
reviews_per_program,644.6440677966102,650.8686440677966,644.728813559322,645.8093220338983,632.6059322033898,388.5593220338983,138.1906779661017,153.40254237288136,175.27118644067798,197.07203389830508,218.84745762711864,240.60593220338984,262.04661016949154,283.4194915254237
reviews_per_program,649.4025423728814,642.5254237288135,644.478813559322,645.4872881355932,626.0847457627119,399.5381355932203,149.02542372881356,153.3771186440678,175.25423728813558,197.13983050847457,218.98728813559322,240.65677966101694,262.14830508474574,283.58474576271186
