Parameter,0,1,2,3,4,5
unmatched_applicants,3370.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3378.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3373.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3373.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3376.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3369.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3381.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3363.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3369.0,3312.0,3312.0,3312.0,3312.0,3312.0
unmatched_applicants,3364.0,3312.0,3312.0,3312.0,3312.0,3312.0
unfilled_spots,58.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,66.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,61.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,61.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,64.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,51.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,52.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,645.8898305084746,645.7669491525423,645.0635593220339,644.7372881355932,648.5550847457627,646.4533898305085
reviews_per_program,648.2118644067797,643.6440677966102,643.8728813559322,643.2542372881356,644.1694915254237,643.3008474576271
reviews_per_program,647.1949152542373,643.0296610169491,652.9533898305085,647.7966101694915,647.0084745762712,650.5847457627119
reviews_per_program,640.6101694915254,643.4745762711865,647.1016949152543,643.3135593220339,646.8305084745763,651.9830508474577
reviews_per_program,644.5762711864406,649.4152542372881,649.7584745762712,643.4872881355932,649.9194915254237,647.0677966101695
reviews_per_program,649.4025423728814,642.1991525423729,645.3262711864406,649.7330508474577,643.7372881355932,648.7415254237288
reviews_per_program,648.6610169491526,647.6016949152543,650.0805084745763,645.9703389830509,646.6101694915254,642.6991525423729
reviews_per_program,646.3983050847457,647.8644067796611,646.0296610169491,649.792372881356,644.1822033898305,645.6144067796611
reviews_per_program,648.2542372881356,650.1355932203389,641.8093220338983,641.6228813559322,644.8389830508474,641.8983050847457
reviews_per_program,645.1228813559322,652.5042372881356,644.7669491525423,649.2754237288135,651.0635593220339,639.0677966101695
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9998066511987626
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0
pct_interview_given_nosignal,0.2318441251722102,0.20490528360581137,0.1761633930270419,0.14507984367910307,0.11068889711492698,0.07482064355224423
pct_interview_given_nosignal,0.23101360980010197,0.20560492884793632,0.17651295812442624,0.14545241099991196,0.11156118657489188,0.07526258544447002
pct_interview_given_nosignal,0.23137660569079077,0.20580831337876834,0.17388158855815183,0.14431728837249935,0.11099495477478297,0.07424928335343599
pct_interview_given_nosignal,0.23375489469785163,0.2056609947643979,0.17556822970808866,0.14543747157131748,0.11103028098572337,0.07405787138303856
pct_interview_given_nosignal,0.232316592164081,0.2037139577284084,0.17479842516381233,0.1453937380360404,0.11042029345933847,0.0747351160443996
pct_interview_given_nosignal,0.23059004691404747,0.20608387356800809,0.17608645114932409,0.143838747360707,0.11164789612447994,0.07450311608497127
pct_interview_given_nosignal,0.23085364897703223,0.20430442497054083,0.17470557399965053,0.14477153060255746,0.11107404936624417,0.07509064711750082
pct_interview_given_nosignal,0.23166175024582103,0.20421867807532967,0.17588077596943408,0.1438241375557732,0.11155863833286381,0.07461511821931177
pct_interview_given_nosignal,0.23099850968703428,0.20348037231889923,0.17712208498968984,0.14586445142634302,0.11142713735987954,0.07546088451619065
