Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unmatched_applicants,95.0,74.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,73.0,72.0,74.0,78.0,75.0,76.0,76.0,75.0,79.0,78.0,82.0
unmatched_applicants,90.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,73.0,73.0,71.0,74.0,73.0,75.0,77.0,77.0,79.0,78.0,79.0,78.0,80.0
unmatched_applicants,94.0,70.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,74.0,72.0,74.0,76.0,73.0,77.0,76.0,78.0,78.0,76.0,79.0,79.0
unmatched_applicants,95.0,72.0,71.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,71.0,74.0,73.0,74.0,73.0,76.0,77.0,76.0,79.0,75.0,77.0,80.0,78.0,80.0
unmatched_applicants,88.0,71.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,70.0,72.0,72.0,72.0,73.0,73.0,77.0,74.0,77.0,76.0,79.0,76.0,80.0,75.0,79.0
unmatched_applicants,98.0,71.0,70.0,71.0,70.0,70.0,70.0,71.0,70.0,70.0,71.0,74.0,71.0,73.0,74.0,75.0,74.0,76.0,76.0,76.0,75.0,80.0,79.0,78.0
unmatched_applicants,94.0,72.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,70.0,72.0,72.0,72.0,72.0,75.0,75.0,73.0,74.0,78.0,75.0,79.0,76.0,78.0,79.0
unmatched_applicants,89.0,72.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,73.0,72.0,74.0,74.0,74.0,77.0,73.0,76.0,79.0,78.0,80.0,79.0,79.0
unmatched_applicants,87.0,73.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,73.0,71.0,74.0,74.0,75.0,75.0,75.0,80.0,77.0,77.0,78.0,78.0
unmatched_applicants,88.0,70.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,73.0,74.0,74.0,75.0,74.0,75.0,78.0,80.0,77.0,78.0,80.0
unfilled_spots,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,8.0,5.0,6.0,6.0,5.0,9.0,8.0,12.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,5.0,7.0,7.0,9.0,8.0,9.0,8.0,10.0
unfilled_spots,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,3.0,7.0,6.0,8.0,8.0,6.0,9.0,9.0
unfilled_spots,25.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,3.0,6.0,7.0,6.0,9.0,5.0,7.0,10.0,8.0,10.0
unfilled_spots,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,7.0,4.0,7.0,6.0,9.0,6.0,10.0,5.0,9.0
unfilled_spots,28.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,10.0,9.0,8.0
unfilled_spots,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,8.0,5.0,9.0,6.0,8.0,9.0
unfilled_spots,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,7.0,3.0,6.0,9.0,8.0,10.0,9.0,9.0
unfilled_spots,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,10.0,7.0,7.0,8.0,8.0
unfilled_spots,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,5.0,8.0,10.0,7.0,8.0,10.0
reviews_per_program,66.81818181818181,67.83116883116882,64.96103896103897,59.116883116883116,55.18181818181818,42.36363636363637,31.2987012987013,28.48051948051948,28.4025974025974,27.623376623376622,28.51948051948052,25.935064935064936,27.493506493506494,28.961038961038962,31.0,33.27272727272727,35.20779220779221,37.15584415584416,38.84415584415584,40.62337662337662,43.0,44.48051948051948,46.41558441558441,48.81818181818182
reviews_per_program,64.44155844155844,66.01298701298701,67.03896103896103,59.27272727272727,48.81818181818182,45.72727272727273,35.077922077922075,31.5974025974026,29.649350649350648,24.83116883116883,25.064935064935064,25.649350649350648,26.727272727272727,29.12987012987013,30.948051948051948,33.16883116883117,35.35064935064935,37.15584415584416,39.20779220779221,40.714285714285715,42.4025974025974,44.18181818181818,46.922077922077925,48.74025974025974
reviews_per_program,64.32467532467533,66.71428571428571,61.74025974025974,60.58441558441559,49.05194805194805,42.27272727272727,33.298701298701296,30.22077922077922,29.246753246753247,30.61038961038961,27.675324675324674,27.90909090909091,27.09090909090909,28.90909090909091,31.662337662337663,33.15584415584416,35.37662337662338,36.935064935064936,39.116883116883116,41.1948051948052,43.1948051948052,45.58441558441559,45.896103896103895,47.16883116883117
reviews_per_program,62.688311688311686,66.41558441558442,64.88311688311688,59.81818181818182,46.61038961038961,43.8051948051948,28.532467532467532,31.285714285714285,27.350649350649352,25.285714285714285,24.857142857142858,26.5974025974026,28.818181818181817,28.961038961038962,31.103896103896105,32.79220779220779,35.22077922077922,37.25974025974026,39.142857142857146,41.16883116883117,42.81818181818182,44.116883116883116,46.58441558441559,48.58441558441559
reviews_per_program,65.14285714285714,69.64935064935065,64.28571428571429,63.142857142857146,54.79220779220779,39.54545454545455,35.45454545454545,30.181818181818183,28.753246753246753,27.09090909090909,24.38961038961039,24.896103896103895,28.01298701298701,28.818181818181817,31.064935064935064,33.16883116883117,35.25974025974026,37.25974025974026,39.37662337662338,40.77922077922078,42.5974025974026,44.532467532467535,45.4025974025974,47.51948051948052
reviews_per_program,68.23376623376623,64.07792207792208,66.37662337662337,62.142857142857146,51.64935064935065,41.20779220779221,31.818181818181817,33.02597402597402,30.87012987012987,27.155844155844157,24.324675324675326,25.92207792207792,27.90909090909091,28.857142857142858,31.051948051948052,33.16883116883117,35.36363636363637,37.506493506493506,39.311688311688314,41.285714285714285,42.45454545454545,45.09090909090909,46.688311688311686,48.38961038961039
